"Id","OwnerId","IsDeleted","Name","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0oWE00000C5wOHYAZ","005al00000RVvFOAA1","false","DocMan","","132h4hk5123498yhfoin"
"a0oWE00000C5wNpYAJ","005al00000RVcKvAAL","false","Loan Decisioning","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42036220080364727"
"a0oWE00000C5wNqYAJ","005al00000RVcKvAAL","false","Retrieve Pricing Options","Create the pricing option(s) based on information in the Loan.","42064981411428099"
"a0oWE00000C5wOGYAZ","005al00000RVcKvAAL","false","Pricing Options","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42089961001116585"
"a0oWE00000CEntCYAT","005al00000RVcKvAAL","false","Construction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","42106976230413220"
"a0oWE00000C5wOCYAZ","005al00000RVcKvAAL","false","Contruction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","42115817145944385"
"a0oWE00000C5wOOYAZ","005al00000RVvFOAA1","false","Loan Policy Exception","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658"
"a0oWE00000C5wNrYAJ","005al00000RVcKvAAL","false","Proposed Pricing Option","Create the proposed pricing option based on information in the loan.","42215523819185420"
"a0oWE00000CEntHYAT","005al00000RVcKvAAL","false","Pricing Options","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42260555746068736"
"a0oWE00000C5wNsYAJ","005al00000RVcKvAAL","false","Pricing Options","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42281826358127939"
"a0oWE00000C5wOPYAZ","005al00000RVcKvAAL","false","Construction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","42287488552732632"
"a0oWE00000C5wODYAZ","005al00000RVcKvAAL","false","Credit Request","The Context for Credit Request Rules","42331471435935127"
"a0oWE00000C5wOEYAZ","005al00000RVcKvAAL","false","Loan Policy Exception","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42372261594631684"
"a0oWE00000CEntFYAT","005al00000RVcKvAAL","false","Omnichannel","","42378505971424353"
"a0oWE00000CEntEYAT","005al00000RVcKvAAL","false","WK Esign","Used to Generate Wk Docs under the context of another user","42394018476471176"
"a0oWE00000C5wNtYAJ","005al00000RVcKvAAL","false","Construction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","42434025943246173"
"a0oWE00000C5wOKYAZ","005al00000RVvFOAA1","false","Loan Decisioning","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42455223340738733"
"a0oWE00000C5wNuYAJ","005al00000RVcKvAAL","false","Pricing Options","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42457566708738680"
"a0oWE00000C5wNvYAJ","005al00000RVcKvAAL","false","Construction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","42493771740904212"
"a0oWE00000C5wOMYAZ","005al00000RVvFOAA1","false","Filter Pricing Options by DTI","Filters the pricing options based on the current max DTI","42523683381155171"
"a0oWE00000CEntBYAT","005al00000RVcKvAAL","false","Loan Policy Exception","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42656621866521845"
"a0oWE00000CEntIYAT","005al00000RVcKvAAL","false","Loan Decisioning","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42681825916088200"
"a0oWE00000C5wNwYAJ","005al00000RVcKvAAL","false","a32Hu000004edQQ","","42708528872186975"
"a0oWE00000C5wOIYAZ","005al00000RVvFOAA1","false","Retrieve Pricing Options","Create the pricing option(s) based on information in the Loan.","42746958261630058"
"a0oWE00000C5wOAYAZ","005al00000RVvFOAA1","false","Construction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","4277770875596515"
"a0oWE00000C5wOJYAZ","005al00000RVvFOAA1","false","Contruction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","42826512048831054"
"a0oWE00000C5wOLYAZ","005al00000RVvFOAA1","false","Credit Request","The Context for Credit Request Rules","42849460327380551"
