"Id","IsDeleted","Name","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","nFORCE__Active__c"
"a0pWE000006ZfjBYAS","false","RER00025","a0nWE000004iRgaYAE","Lightning-Record-002-RuleEngineDescription","2025-03-31","Lightning-Record-002-RuleEngine","Lightning-Record-002-Ref","Lightning-Record-002-Rule","2024-04-01","098654298012","false"
"a0pWE000006ZfjCYAS","false","RER00026","a0nWE000004iRgXYAU","Lightning-Record-001","2025-05-03","Lightning-Record-001","Lightning-Record-001-Ref","Lightning-Record-001-RuleEngine","2024-05-01","12378135634","false"
"a0pWE000006epLRYAY","false","RER00048","a0nWE000004pOaoYAE","","","WK_Auto_Launch","300am00000riHk1AAE","nFORCE.FlowRuleEngine:rule-engine","2021-10-17","42048563337471139","true"
"a0pWE000006epLQYAY","false","RER00047","a0nWE000004pOajYAE","","","InspectionPlaceholder","300am00000riIk7AAE","nFORCE.FlowRuleEngine:rule-engine","2020-09-01","42090685926872421","true"
"a0pWE000006ZfjDYAS","false","RER00027","a0nWE000004iRgoYAE","CLA Inspection placeholder in Document Manager-01","","Insert-InspectionPlaceholder","3008c000001JVlUAAW","Lightning-Record-103-Rule","2025-02-17","42105110371538988","true"
"a0pWE000006ZfjEYAS","false","RER00028","a0nWE000004iRgXYAU","CLA Inspection placeholder in Document Manager-02","","Lightning-Record-103","Lightning-Record-103-Ref","Lightning-Record-104-Rule","2025-02-17","42105120371538988","true"
"a0pWE000006ZfjFYAS","false","RER00029","a0nWE000004iRgqYAE","","2042-03-31","Initial_Credit_Request_Preprocessing","3005f000001YRNSAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42105220371538988","true"
"a0pWE000006ZfjGYAS","false","RER00030","a0nWE000004iRggYAE","CLA Inspection placeholder in Document Manager-01","","Initial_Credit_Request_Preprocssing","3005f000000llUtAAI","Lightning-Record-105-Rule","2025-02-17","4212510371538988","true"
"a0pWE000006ZfjHYAS","false","RER00031","a0nWE000004iRgXYAU","CLA Inspection placeholder in Document Manager-02","","Lightning-Record-001","Lightning-Record-001-Ref","Lightning-Record-106-Rule","2025-02-17","4225120371538988","true"
"a0pWE000006ZfjIYAS","false","RER00032","a0nWE000004iRgrYAE","Display Offers for Small Business","2042-03-31","Initial_Display_Offers","3005f000001YRNTAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42511303862797440","true"
"a0pWE000006ZfjJYAS","false","RER00033","a0nWE000004iRgnYAE","Retrieve pricing options by product line","2042-04-01","Initial_Retrieve_Pricing_Options","3005f000001YRNmAAO","nFORCE.FlowRuleEngine:rule-engine","2022-04-01","42681346349231765","true"
"a0pWE000006epLTYAY","false","RER00050","a0nWE000004pOapYAE","","","Application_Eligibility","300am00000riIlNAAU","nFORCE.LocalFlowRuleEngine:rule-engine","2025-02-01","42799750014930964","true"
"a0pWE000006epLSYAY","false","RER00049","a0nWE000004pOanYAE","","","Retail_Pricing_1","300am00000riIl2AAE","nFORCE.LocalFlowRuleEngine:rule-engine","2023-09-29","42921267445133187","true"
"a0pWE000006epLJYAY","false","RER00040","a0nWE000004pOagYAE","","","Retrieve_Pricing_Options_for_Mortgage_Retail_and_Commercial","300am00000riHiwAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkburEAB","true"
"a0pWE000006epLKYAY","false","RER00041","a0nWE000004pOakYAE","","","Display_Offers","300am00000riHjqAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-22","a0Xam00000AkbusEAB","true"
"a0pWE000006epLLYAY","false","RER00042","a0nWE000004pOahYAE","","","Master_LoanAutoDecision","300am00000riIkEAAU","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbutEAB","true"
"a0pWE000006epLMYAY","false","RER00043","a0nWE000004pOafYAE","","","Credit_Card_Calc_Credit_Limit","300am00000riIk5AAE","nFORCE.FlowRuleEngine:rule-engine","2020-05-01","a0Xam00000AkbuuEAB","true"
"a0pWE000006epLNYAY","false","RER00044","a0nWE000004pOalYAE","","","Generate_Proposed_Pricing_Option","300am00000riHiyAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkbuvEAB","true"
"a0pWE000006epLOYAY","false","RER00045","a0nWE000004pOamYAE","","","Credit_Request_Preprocessing","300am00000riHiuAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbuwEAB","true"
"a0pWE000006epLPYAY","false","RER00046","a0nWE000004pOaiYAE","","","LoanAutoPolExc","300am00000riHj3AAE","nFORCE.FlowRuleEngine:rule-engine","2020-04-20","a0Xam00000AkbuxEAB","true"
"a0pWE000006ZfjKYAS","false","RER00034","a0nWE000004iRgcYAE","SRC-01","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","a338c000000OC0IAAW","false"
"a0pWE000006ZfjLYAS","false","RER00035","a0nWE000004iRgjYAE","CLA Inspection placeholder in Document Manager
SRC-02","2028-06-05","InspectionPlaceholder","3008c000001JVlUAAW","nFORCE.FlowRuleEngine:rule-engine","2025-07-08","a338c000000OC0JAAW","true"
"a0pWE000006ZfjOYAS","false","RER00038","a0nWE000004iRgoYAE","CLA Inspection placeholder in Document Manager","2027-12-05","InspectionPlaceholder","3005f0000019sljAAA","nFORCE.FlowRuleEngine:rule-engine","2025-01-06","abc123","true"
"a0pWE000006ZfjPYAS","false","RER00039","a0nWE000004iRgpYAE","","2042-01-01","Initial_Loan_Auto_Decision","3005f000001YRNcAAO","nFORCE.FlowRuleEngine:rule-engine","2022-01-01","def456","true"
"a0pWE000006ZfjMYAS","false","RER00036","a0nWE000004iRgpYAE","","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","nSource000OC0I","false"
