"Id","OwnerId","IsDeleted","Name","nFORCE__Api_Value__c","nFORCE__Is_Default__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate"
"a0eWE0000058rHBYAY","005al00000RVcKvAAL","false","O-002342","","false","Online Banking","1.0","a0gWE000001WJ31YAG","005993908386246730","","","","","","",""
"a0eWE0000058rHCYAY","005al00000RVcKvAAL","false","O-002343","","false","$0 - $10,000","1.0","a0gWE000001WJ2gYAG","006906589429542707","","","","","","",""
"a0eWE0000058rHDYAY","005al00000RVcKvAAL","false","O-002344","","false","Utilities","4.0","a0gWE000001WJ2tYAG","010602627414128603","","","","","","",""
"a0eWE0000058rHEYAY","005al00000RVcKvAAL","false","O-002345","","false","Greater than $50,000","4.0","a0gWE000001WJ2eYAG","013191037297881668","","","","","","",""
"a0eWE0000058rHFYAY","005al00000RVcKvAAL","false","O-002346","","false","No","2.0","a0gWE000001WJ2vYAG","032358146071396766","","","","","","",""
"a0eWE0000058rHGYAY","005al00000RVcKvAAL","false","O-002347","","false","Yes","1.0","a0gWE000001WJ2vYAG","032459992920606313","","","","","","",""
"a0eWE0000058rHHYAY","005al00000RVcKvAAL","false","O-002348","","false","Sweep Accounts","2.0","a0gWE000001WJ31YAG","039302696472202928","","","","","","",""
"a0eWE0000058rHIYAY","005al00000RVcKvAAL","false","O-002349","","false","Credit card","2.0","a0gWE000001WJ2tYAG","045853338215918027","","","","","","",""
"a0eWE0000058rHJYAY","005al00000RVcKvAAL","false","O-002350","","false","more than 7 a year","3.0","a0gWE000001WJ2AYAW","050569214661068497","","","","","","",""
"a0eWE0000058rHKYAY","005al00000RVcKvAAL","false","O-002351","","false","No","2.0","a0gWE000001WJ30YAG","050806434477637014","","","","","","",""
"a0eWE0000058rHLYAY","005al00000RVcKvAAL","false","O-002352","","false","ATM","1.0","a0gWE000001WJ2oYAG","072559575054128919","","","","","","",""
"a0eWE0000058rHMYAY","005al00000RVcKvAAL","false","O-002353","","false","No","2.0","a0gWE000001WJ2DYAW","074917594827493192","","","","","","",""
"a0eWE0000058rHNYAY","005al00000RVcKvAAL","false","O-002354","","false","Debit card","5.0","a0gWE000001WJ2qYAG","093943846332776360","","","","","","",""
"a0eWE0000058rHOYAY","005al00000RVcKvAAL","false","O-002355","","false","Less than 1 year","1.0","a0gWE000001WJ2fYAG","108236621460288013","","","","","","",""
"a0eWE0000058rHPYAY","005al00000RVcKvAAL","false","O-002356","","false","$250,001 - $500,000","2.0","a0gWE000001WJ2bYAG","115099053626886183","","","","","","",""
"a0eWE0000058rHQYAY","005al00000RVcKvAAL","false","O-002357","","false","Payroll","1.0","a0gWE000001WJ2hYAG","115790078143153159","","","","","","",""
"a0eWE0000058rHRYAY","005al00000RVcKvAAL","false","O-002358","","false","1 - 3 a month","1.0","a0gWE000001WJ2xYAG","123392923586312257","","","","","","",""
"a0eWE0000058rHSYAY","005al00000RVcKvAAL","false","O-002359","","false","Operations","2.0","a0gWE000001WJ2hYAG","125080167941275607","","","","","","",""
"a0eWE0000058rHTYAY","005al00000RVcKvAAL","false","O-002360","","false","Mobile Payments","5.0","a0gWE000001WJ2pYAG","125126953088012838","","","","","","",""
"a0eWE0000058rHUYAY","005al00000RVcKvAAL","false","O-002361","","false","Yes","1.0","a0gWE000001WJ34YAG","128584636260785032","","","","","","",""
"a0eWE0000058rHVYAY","005al00000RVcKvAAL","false","O-002362","","false","Other","8.0","a0gWE000001WJ2pYAG","138033035995561872","","","","","","",""
"a0eWE0000058rHWYAY","005al00000RVcKvAAL","false","O-002363","","false","Yes","1.0","a0gWE000001WJ2uYAG","148863829171859675","","","","","","",""
"a0eWE0000058rHXYAY","005al00000RVcKvAAL","false","O-002364","","false","$500,001 - $5 million","3.0","a0gWE000001WJ2bYAG","149232477749760795","","","","","","",""
"a0eWE0000058rHYYAY","005al00000RVcKvAAL","false","O-002365","","false","Insurance","7.0","a0gWE000001WJ2tYAG","168011776329472013","","","","","","",""
"a0eWE0000058rHZYAY","005al00000RVcKvAAL","false","O-002366","","false","None","5.0","a0gWE000001WIzwYAG","170003956409477656","","","","","","",""
"a0eWE0000058rHaYAI","005al00000RVcKvAAL","false","O-002367","","false","PayPal","6.0","a0gWE000001WJ2pYAG","180309237267020162","","","","","","",""
"a0eWE0000058rHbYAI","005al00000RVcKvAAL","false","O-002368","","false","Student loan","8.0","a0gWE000001WJ2tYAG","186958968126203046","","","","","","",""
"a0eWE0000058rHcYAI","005al00000RVcKvAAL","false","O-002369","","false","Yes","1.0","a0gWE000001WJ2zYAG","200039482095586197","","","","","","",""
"a0eWE0000058rHdYAI","005al00000RVcKvAAL","false","O-002370","","false","Marijuana Related Business","2.0","a0gWE000001WJ2iYAG","215366858137619560","","","","","","",""
"a0eWE0000058rHeYAI","005al00000RVcKvAAL","false","O-002371","","false","$3,000 - $9,999","2.0","a0gWE000001WJ2eYAG","234222170791125600","","","","","","",""
"a0eWE0000058rHfYAI","005al00000RVcKvAAL","false","O-002372","","false","Auto","1.0","a0gWE000001WJ2tYAG","243763228692487796","","","","","","",""
"a0eWE0000058rHgYAI","005al00000RVcKvAAL","false","O-002373","","false","Direct deposit","2.0","a0gWE000001WJ2BYAW","257546983577986349","","","","","","",""
"a0eWE0000058rHhYAI","005al00000RVcKvAAL","false","O-002374","","false","ACH","3.0","a0gWE000001WJ31YAG","265040727524458558","","","","","","",""
"a0eWE0000058rHiYAI","005al00000RVcKvAAL","false","O-002375","","false","more than 7 a year","3.0","a0gWE000001WJ2rYAG","267641983629359079","","","","","","",""
"a0eWE0000058rHjYAI","005al00000RVcKvAAL","false","O-002376","","false","No","2.0","a0gWE000001WJ2CYAW","270545934887381524","","","","","","",""
"a0eWE0000058rHkYAI","005al00000RVcKvAAL","false","O-002377","","false","NGO","4.0","a0gWE000001WJ2iYAG","271161645500857483","","","","","","",""
"a0eWE0000058rHlYAI","005al00000RVcKvAAL","false","O-002378","","false","Loans","3.0","a0gWE000001WJ2tYAG","273037936602942946","","","","","","",""
"a0eWE0000058rHmYAI","005al00000RVcKvAAL","false","O-002379","","false","None","9.0","a0gWE000001WJ2tYAG","273511853344780837","","","","","","",""
"a0eWE0000058rHnYAI","005al00000RVcKvAAL","false","O-002380","","false","Greater than $50,000","3.0","a0gWE000001WJ2gYAG","274151551354253852","","","","","","",""
"a0eWE0000058rHoYAI","005al00000RVcKvAAL","false","O-002381","","false","Rent","6.0","a0gWE000001WJ2tYAG","283080958802481551","","","","","","",""
"a0eWE0000058rHpYAI","005al00000RVcKvAAL","false","O-002382","","false","No","2.0","a0gWE000001WJ2zYAG","285429824699969476","","","","","","",""
