"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Api_Key__c","nFORCE__Classification_Tag__c","nFORCE__Default_Text_Answer__c","nFORCE__Form_Type__c","nFORCE__Group__c","nFORCE__Help_Text__c","nFORCE__Is_Archived__c","nFORCE__Is_Required__c","nFORCE__Label__c","nFORCE__Maximum__c","nFORCE__Minimum__c","nFORCE__Order__c","nFORCE__Target_Answer_Field__c","nFORCE__lookupKey__c","nFORCE__Decimal_Scale__c"
"a0gWD000002Gz70YAC","005al00000RVcKvAAL","false","Q-001584","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCA22AM","","false","false","Are you or a close relative a senior political figure?","","","0.0","","42031655876829454",""
"a0gWD000002GyyLYAS","005al00000RVcKvAAL","false","Q-001047","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCBW2A2","","false","false","Do you expect that you will be receiving or sending wires to foreign countries?","","","2.0","","42080456837102176",""
"a0gWD000002Gz71YAC","005al00000RVcKvAAL","false","Q-001585","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Checkbox","a0XWD000002hCHi2AM","","false","false","Does the secured cash or CD amount exceed $25,000?","","","3.0","","42104038953305570",""
"a0gWD000002GyyMYAS","005al00000RVcKvAAL","false","Q-001048","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Is your business associated to the marijuana industry?","","","4.0","","42116193353875359",""
"a0gWD000002GyyNYAS","005al00000RVcKvAAL","false","Q-001049","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Number","a0XWD000002hCA22AM","","true","false","What is your annual gross income?","","","1.0","","42121463361747719",""
"a0gWD000002GyyOYAS","005al00000RVcKvAAL","false","Q-001050","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Number","a0XWD000002hCAQ2A2","","false","true","How many ATMs do you own/operate?","","","3.0","","42142997674747100",""
"a0gWD000002Gz8AYAS","005al00000RVcKvAAL","false","Q-001656","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the property primarily used for a residential purpose?","","","4.0","","42144060125072357",""
"a0gWD000002Gz8BYAS","005al00000RVcKvAAL","false","Q-001657","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the loan or line of credit secured by a lien on a dwelling?","","","0.0","","42192508055965268",""
"a0gWD000002GyyPYAS","005al00000RVcKvAAL","false","Q-001051","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","How is the ATM filled with currency?","","","2.0","","42236407855285710",""
"a0gWD000002GyyQYAS","005al00000RVcKvAAL","false","Q-001052","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCc2AM","","false","false","How much will your business deposit in cash on a daily basis?","","","0.0","","42250431224927151",""
"a0gWD000002Gz72YAC","005al00000RVcKvAAL","false","Q-001586","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Checkbox","a0XWD000002hCHi2AM","","false","false","Is the loan or lease secured by cash or CD (certificate of deposit)?","","","2.0","","42262513803494598",""
"a0gWD000002Gz73YAC","005al00000RVcKvAAL","false","Q-001587","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Text","a0XWD000002hCBU2A2","","false","false","To configure the Questionnaire route, you must replace this route with either an existing or a new Questionnaire route. If your financial institiution does not want to include the Questionnaire route during the loan application process, delete this route.","","","0.0","","42269224282458988",""
"a0gWD000002GyyRYAS","005al00000RVcKvAAL","false","Q-001053","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Checkbox","a0XWD000002hCHo2AM","aded for testing","false","true","Is This Fixed?","","","0.0","","42279808406732240",""
"a0gWD000002Gz8CYAS","005al00000RVcKvAAL","false","Q-001658","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the primary purpose of the funds Business or Commercial?","","","6.0","","42290332436978140",""
"a0gWD000002GyySYAS","005al00000RVcKvAAL","false","Q-001054","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Text","a0XWD000002hCA22AM","","true","false","What is your current occupation?","","","0.0","","42359603463314660",""
"a0gWD000002GyyTYAS","005al00000RVcKvAAL","false","Q-001055","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Text","a0XWD000002hCBW2A2","","false","false","List Countries:","","","3.0","","42422655914819392",""
"a0gWD000002GyyUYAS","005al00000RVcKvAAL","false","Q-001056","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCc2AM","","false","false","Are you registered as a Money Service Business with the state in which you operate?""","","","2.0","","42449084602332744",""
"a0gWD000002GyyVYAS","005al00000RVcKvAAL","false","Q-001057","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Do you own or operate an ATM at your business?","","","0.0","","42462411731520955",""
"a0gWD000002Gz8DYAS","005al00000RVcKvAAL","false","Q-001659","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Are funds being used to purchase, refinance, or improve a dwelling?","","","7.0","","42475011180799209",""
"a0gWD000002GyyWYAS","005al00000RVcKvAAL","false","Q-001058","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Text","a0XWD000002hCA22AM","","false","false","What is the position held?","","","1.0","","42501605687058924",""
"a0gWD000002Gz8EYAS","005al00000RVcKvAAL","false","Q-001660","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the primary purpose of the funds Consumer?","","","5.0","","42513372471234032",""
"a0gWD000002GyyXYAS","005al00000RVcKvAAL","false","Q-001059","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCBW2A2","","false","false","Type of wire transfer","","","1.0","","42519281191284095",""
"a0gWD000002Gz74YAC","005al00000RVcKvAAL","false","Q-001588","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCHi2AM","","false","false","What is the purpose of the loan or lease?","","","1.0","","42575751011495325",""
"a0gWD000002Gz75YAC","005al00000RVcKvAAL","false","Q-001589","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCHi2AM","","false","false","Is the loan or lease requested for a purchase or refinance?","","","0.0","","42586369831183736",""
"a0gWD000002GyyYYAS","005al00000RVcKvAAL","false","Q-001060","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Does the business engage in online/internet gambling?","","","5.0","","42628225838683887",""
"a0gWD000002Gz8FYAS","005al00000RVcKvAAL","false","Q-001661","2026-04-07T19:21:28.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the loan temporary financing? (i.e., designed to be replaced by a permanent financing)","","","1.0","","42676044820803719",""
"a0gWD000002GyyZYAS","005al00000RVcKvAAL","false","Q-001061","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCA22AM","","true","false","Are you a Senior Political Figure?","","","0.0","","42771969938266477",""
"a0gWD000002GyyaYAC","005al00000RVcKvAAL","false","Q-001062","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCA22AM","","true","false","Have you been at your current residence for 2 or more years?","","","1.0","","4278130149316819",""
"a0gWD000002GyybYAC","005al00000RVcKvAAL","false","Q-001063","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Is the ATM registered with the corresponding state banking commission?","","","1.0","","42815709322153117",""
"a0gWD000002GyycYAC","005al00000RVcKvAAL","false","Q-001064","2026-04-07T19:21:27.000Z","005al00000RVcKvAAL","2026-09-02T10:55:15.000Z","005al00000RVvFOAA1","2026-09-02T10:55:15.000Z","","","","","","Picklist","a0XWD000002hCCc2AM","","false","false","Do any of the following apply to your business?","","","1.0","","42887850024915696",""
