"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","AutorabitExtId__c"
"a1UWE000009JuFp2AK","false","CLA-BD-0001043","a1WWE000004pbOD2AY","0.0","","Cabinets / Millwork","","88.0","","","","","a23bn000001w0QTAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFq2AK","false","CLA-BD-0001044","a1WWE000004pbOD2AY","0.0","","Flooring (Rubber Floor/Silica/ Res-Tek)","","90.0","","","","","a23bn000001w0QUAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFr2AK","false","CLA-BD-0001045","a1WWE000004pbOD2AY","0.0","","Lighting Fixtures","","85.0","","","","","a23bn000001w0QVAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFs2AK","false","CLA-BD-0001046","a1WWE000004pbOD2AY","0.0","","Corporate Decor Package Installation","","93.0","","","","","a23bn000001w0QWAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFt2AK","false","CLA-BD-0001047","a1WWE000004pbOD2AY","0.0","","100 ft secondary service","","84.0","","","","","a23bn000001w0QXAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFu2AK","false","CLA-BD-0001048","a1WWE000004pbOD2AY","0.0","","Fire Extinguishers","","87.0","","","","","a23bn000001w0QYAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFv2AK","false","CLA-BD-0001049","a1WWE000004pbOD2AY","0.0","","Caulking","","91.0","","","","","a23bn000001w0QZAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFw2AK","false","CLA-BD-0001050","a1WWE000004pbOD2AY","0.0","","Toilet Partitions","","89.0","","","","","a23bn000001w0QaAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFx2AK","false","CLA-BD-0001051","a1WWE000004pbOD2AY","0.0","","Roofing","","59.0","","","","","a23bn000001w0QbAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFy2AK","false","CLA-BD-0001052","a1WWE000004pbOD2AY","0.0","","Finish Carpentry Labor","","60.0","","","","","a23bn000001w0QcAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuFz2AK","false","CLA-BD-0001053","a1WWE000004pbOD2AY","0.0","","Rough Carpentry Labor","","61.0","","","","","a23bn000001w0QdAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG02AK","false","CLA-BD-0001054","a1WWE000004pbOD2AY","0.0","","Rough Carpentry Material","","62.0","","","","","a23bn000001w0QeAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG12AK","false","CLA-BD-0001055","a1WWE000004pbOD2AY","0.0","","Sheet Metal","","63.0","","","","","a23bn000001w0QfAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG22AK","false","CLA-BD-0001056","a1WWE000004pbOD2AY","0.0","","Insulation","","64.0","","","","","a23bn000001w0QgAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG32AK","false","CLA-BD-0001057","a1WWE000004pbOD2AY","0.0","","Glass & Glazing","","65.0","","","","","a23bn000001w0QhAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG42AK","false","CLA-BD-0001058","a1WWE000004pbOD2AY","0.0","","Ceramic tile","","69.0","","","","","a23bn000001w0QiAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG52AK","false","CLA-BD-0001059","a1WWE000004pbOD2AY","0.0","","Drywall & Metal Studs","","66.0","","","","","a23bn000001w0QjAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG62AK","false","CLA-BD-0001060","a1WWE000004pbOD2AY","0.0","","Acoustic Tile","","67.0","","","","","a23bn000001w0QkAAI","0.0","0.0","0.0","0.0",""
