"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context__c","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0nWD000000siFNYAY","false","Lightning-Record-001-ContextRule","","","a0oWD00000EBgSLYA1","Lightning-Record-001-ContextRule","12387123981"
"a0nWE000004l2kAYAQ","false","WK Esign","","","a0oWE00000C9TbrYAF","Used to Generate WK Docs under the context of another user","42053228319029560"
"a0nWD000000siFaYAI","false","Retrieve Pricing Options Retail Pricing","","","a0oWD00000EBgSXYA1","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42124860362386702"
"a0nWE000004l2k9YAA","false","Retrieve Pricing Options Retail Pricing","","","a0oWE00000C9TbmYAF","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42141213278332970"
"a0nWE000004XOfZYAW","false","Loan Auto-Decision","","","a0oWD00000EBgSBYA1","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","42225489045428711"
"a0nWD000000siFOYAY","false","Retrieve Pricing Options Retail Pricing","","","a0oWD00000EBgSGYA1","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42412341569562522"
"a0nWE000004XOfaYAG","false","Retrieve Pricing Options","","","a0oWD00000EBgSCYA1","Create the pricing option(s) based on information in the Loan.","42512758419816123"
"a0nWE000004XOfbYAG","false","DuplicateContentVersion","","","a0oWD00000EBgSbYAL","","42519183972381251"
"a0nWE000004XOfcYAG","false","Proposed Pricing Option","","","a0oWD00000EBgSDYA1","Create the proposed pricing option based on information in the loan.","42586508393286456"
"a0nWD000000siFbYAI","false","Retrieve Pricing Options Retail Pricing","","","a0oWD00000EBgScYAL","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42622769876416433"
"a0nWE000004l2kBYAQ","false","Application Eligibility","","","a0oWE00000C9TbsYAF","","42707121808597513"
"a0nWE000004XOfdYAG","false","Credit Request Preprocessing","","","a0oWD00000EBgSZYA1","This is run before creating a credit request to determine the parameters for the request","42785310115177566"
"a0nWD000000siFPYAY","false","Retrieve Pricing Options Retail Pricing","","","a0oWD00000EBgSEYA1","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42808589436267268"
"a0nWE000004XOfeYAG","false","Loan Auto-Policy Exception","","","a0oWD00000EBgSaYAL","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","42840682764586852"
"a0nWE000004XOffYAG","false","Filter Pricing Options by DTI","","","a0oWD00000EBgSJYA1","Filters the pricing options based on the current max DTI","42849211174191981"
"a0nWE000004XOfgYAG","false","CLA Inspection PlaceHolder Creation","","","a0oWD00000EBgSYYA1","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","42981872108012027"
"a0nWD000000siFQYAY","false","Lightning-Record-002-ContextRule","","","a0oWD00000EBgSKYA1","Lightning-Record-002-ContextRule","98654209121456"
