"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Product_Feature__c","LLC_BI__RealEstate_Type__c","LLC_BI__RealEstate__c","LLC_BI__lookupKey__c","LLC_BI__Classification__c","LLC_BI__Description__c","LLC_BI__Learn_More__c","LLC_BI__Order__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Product_Display_Name__c","nPortal__Can_Pledge_Multiple_Collateral__c","nPortal__External_Name__c","nPortal__OA_Approval_Next_Steps__c","nPortal__OA_Auto_Decision_Enabled__c","LLC_BI__Product_Line_Name__c","LLC_BI__Product_Type_Name__c","LLC_BI__Default_App__c","LLC_BI__Screen_Section__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Maintenance_App__c","nPortal__OA_Collapsed_Offer_Card_Summary__c","nPortal__OA_Collateral_Required__c","nPortal__OA_Deposit_Funding_Failure_Next_Steps__c","nPortal__OA_Deposit_Funding_Next_Steps__c","nPortal__OA_Expanded_Offer_Summary_Card__c","nPortal__OA_Is_Hidden__c","nPortal__OA_Not_Approved_Next_Steps__c","LLC_BI__Maximum_Funding_Amount__c","LLC_BI__Minimum_Funding_Amount__c","nPortal__OA_Offers_Accepted_Next_Steps__c","nPortal__OA_Offers_Enabled__c","nPortal__OA_Product_Image__c","LLC_BI__Disable_Id_Document_Save__c","LLC_BI__Other_Disclosures_Description__c","LLC_BI__Other_Disclosures_Received__c","nPortal__Online_Application_AS_Screen__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","LLC_BI__Maintenance_Screen_Section__c","nPortal__Online_Application_Subheader_Text__c","nPortal__Online_Application_Topbar_Fieldset__c","nPortal__Online_Application_Topbar_Text__c","nPortal__Online_Application_Type__c","nPortal__Online_Application_Your_Account_Fieldset__c","nPortal__Product_Marketing__c","nPortal__Suggested_Collateral_Enabled__c","nPortal__Your_Products_Component_Field_Set__c","cm_Days_to_Close__c","cm_Gross_Annual_Micro_Bus_Revenue_Cap__c","cm_Gross_Annual_Small_Bus_Revenue_Cap__c","cm_Maximum_Micro_Business_Loan_Amount__c","cm_Maximum_Small_Business_Loan_Amount__c","cm_Product_Validation__c","cm_Static_Name__c","cm_Display_Account_Options_Online__c"
"a0ubn000004s5ejAAA","","Gold Checking","a0tbn000008f3QLAAY","a0nbn000003YMEzAAO","","","42186486278537758","","","","","","","false","Gold Checking","","false","","","","a2Fbn000000Dtt7EAC","","","","false","<p><span style=""font-size: 12px; font-family: Arial, Helvetica, sans-serif; color: rgb(0, 0, 0);"">We weren&#39;t able to begin the account funding process online. Please contact Customer Service at xxx.xxx.xxxx for assistance. </span></p>","<p><span style=""font-size: 12px; font-family: Arial, Helvetica, sans-serif; color: rgb(0, 0, 0);"">Thanks for starting the account funding process. Within 2-3 business days, we&#39;ll send several trial deposits to your account. Log on to your dashboard to verify the deposit amounts- then we&#39;ll fund your new account! </span></p>","","false","","500.0","1.0","","false","","false","","false","","true","","Your Gold Checking  Account","","This application should only take 5 minutes.","ODAO_Topbar_Fieldset","Your Gold Checking Application","Online Deposit Application","ODAO_YourAccountFieldset","<p>The best checking account ever!</p>","false","nPortal__Your_Products_Deposit","","","","","","","Gold Checking","true"
"a0ubn000004s5elAAA","","Online Banking","a0tbn000008f3QMAAY","","","","42230015687563846","","","","","","","false","Online Banking","","false","","","","a2Fbn000000DtRiEAK","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","ODAO_Topbar_Fieldset","","","","<p><span style=""background-color: rgb(255, 255, 255); font-size: 16px; color: rgb(0, 0, 0);"">View your account balances, transfer money between accounts, pay bills, and more﻿﻿.<span class=""ql-cursor"">﻿</span></span></p>","false","","","","","","","","Online Banking","false"
"a0ubn000004s5enAAA","","Platinum Savings","a0tbn000008f3QOAAY","a0nbn000003YMF1AAO","","","42504380173594471","","","","","","","false","Platinum Savings","","false","","","","a2Fbn000000Dtt9EAC","a3ybn0000002k0eAAA","","","false","We weren&#39;t able to begin the account funding process online. Please contact Customer Service at xxx.xxx.xxxx for assistance. ","Thanks for starting the account funding process. Within 2-3 business days, we&#39;ll send several trial deposits to your account. Log on to your dashboard to verify the deposit amounts- then we&#39;ll fund your new account! ","","false","","500.0","1.0","","false","","false","","false","","true","","Your Platinum Savings Account","","This application should only take 5 minutes.","ODAO_Topbar_Fieldset","Your Platinum Savings Application","Online Deposit Application","ODAO_YourAccountFieldset","","false","nPortal__Your_Products_Deposit","","","","","","","Platinum Savings","true"
"a0ubn000004s5ekAAA","","Debit Card","a0tbn000008f3QMAAY","","","","42540340976290821","","","","","","","false","Debit Card","","false","","","","a2Fbn000000DtRhEAK","","","","false","","","","false","","","","","false","","false","","false","a2Gbn000000mWf7EAE","false","","","","","ODAO_Topbar_Fieldset","","","","<p>Withdraw cash with no fees from over 1,000 locations worldwide.</p><p><br></p><p>If you agree to this <a href=""http://www.google.com"" target=""_blank"">Debit Card Disclosure</a> and would like to <a href=""http://www.google.com"" target=""_blank"">Opt-In</a> for overdrafts for your ATM and one-time debit card transactions, you can do so by clicking &quot;<i>Opt-In&quot; </i>for the <i style=""background-color: rgb(255, 255, 255); color: rgb(62, 62, 60);"">&quot;Overdraft Acknowledgement</i><span style=""background-color: rgb(255, 255, 255); color: rgb(62, 62, 60);"">&quot; below.</span></p>","false","","","","","","","","Debit Card","false"
"a0ubn000004s5emAAA","","CD 6 Mo","a0tbn000008f3QNAAY","a0nbn000003YMF0AAO","","","42707491173986443","","","","","","","false","6 Month CD","","false","","","","a2Fbn000000Dtt8EAC","a3ybn0000002k0dAAA","","","false","We weren&#39;t able to begin the account funding process online. Please contact Customer Service at xxx.xxx.xxxx for assistance. ","Thanks for starting the account funding process. Within 2-3 business days, we&#39;ll send several trial deposits to your account. Log on to your dashboard to verify the deposit amounts- then we&#39;ll fund your new account! ","","false","","500.0","1.0","","false","","false","","false","","true","","Your 6 Month CD","","This application should only take 5 minutes.","ODAO_Topbar_Fieldset","Your 6 Month CD Application","Online Deposit Application","ODAO_YourAccountFieldset","Maximize your savings with our 6 Month CD!","false","nPortal__Your_Products_Deposit","","","","","","","CD 6 Mo","true"
"a0ubn000004dcxZAAQ","","Construction","a0tbn000007pcYfAAI","a0nbn0000034pzJAAQ","","","PR-001","","","","","","","false","","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5f1AAA","","Automobile","a0tbn000008f3QTAAY","a0nbn000003YMFCAA4","","","PR-Automob0032877","","","","","","","false","Auto Loan","","false","","","","","","","nPortal__OA_Collapsed_Offer_Card_Summary","true","","","OACL_Expanded_Offer_Card","false","","","","<p><span style=""font-size: 14px;"">You&#39;ll receive and sign documents electronically, then receive your funds.</span></p>","false","","false","","false","","true","","Let's Get Started!","","The application typically takes about 10-15 minutes.","","Your Automobile Loan","Online Loan Application","","","false","","","","","","","","Automobile","false"
"a0ubn000004s5f2AAA","","Boat, Motor, Trailer","a0tbn000008f3QTAAY","a0nbn000003YMFDAA4","","","PR-BoatMot0059907","","","","","","","false","Boat, Motor, Trailer","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","Boat, Motor, Trailer","false"
"a0ubn000004dcxlAAA","","Business Checking","a0tbn000007pcYkAAI","","","","PR-BusChecking","","","","","","","false","","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5esAAA","","CD 12 Mo","a0tbn000008f3QNAAY","a0nbn000003YMF6AAO","","","PR-CD12Mo05456148","","","","","","","false","12 Month CD","","false","","","","a2Fbn000000Dtt8EAC","a3ybn0000002k0hAAA","","","false","We weren&#39;t able to begin the account funding process online. Please contact Customer Service at xxx.xxx.xxxx for assistance. ","","","false","","500.0","1.0","","false","","false","","false","","true","","Your 12 Month CD Account","","This application should only take 5 minutes.","ODAO_Topbar_Fieldset","Your 12 Month CD Application","Online Deposit Application","ODAO_YourAccountFieldset","","false","nPortal__Your_Products_Deposit","","","","","","","CD 12 Mo","true"
