"Id","IsDeleted","Name","LLC_BI__Product_Line__c","LLC_BI__Usage_Type__c","LLC_BI__configKey__c","LLC_BI__lookupKey__c","LLC_BI__Product_Count__c","LLC_BI__Is_Deposit__c","LLC_BI__Is_Loan__c","LLC_BI__Product_State_Booked_Config_Count__c","LLC_BI__Product_State_Closed_Config_Count__c","LLC_BI__Product_State_Excluded_Config_Count__c","LLC_BI__Product_State_Rdy_To_Trans_Confg_Cnt__c","LLC_BI__Category__c","LLC_BI__Default_Collateral_Type__c","LLC_BI__Default_App__c","LLC_BI__Offer_Fieldset__c","LLC_BI__Is_Mortgage_Insurance_Estimate_Required__c","LLC_BI__Enable_Offers_Auto_Applied_Fees__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","LLC_BI__Interest_Accrual_Method__c","LLC_BI__Maintenance_App__c","LLC_BI__Start_Production_Application__c","LLC_BI__Collapsed_Offer_Card_Field_Set__c","LLC_BI__Expanded_Offer_Card_Field_Set__c","LLC_BI__Loan_Information_Field_Set__c","LLC_BI__Recalculate_Offers_Field_Set__c","LLC_BI__Reference_Image__c","nPortal__Online_Application_Header_Text__c","nPortal__Online_Application_Subheader_Text__c","nRetail__Display_Monthly_Expenses__c","cm_Days_to_Close__c","cm_Static_Name__c"
"a0tbn000008f3QNAAY","false","CD","a0obn000000HlYqAAK","Global","KY_PT_00004212","42036456656074415","2.0","true","false","0.0","0.0","0.0","0.0","Certificate of Deposit","","","","false","false","false","","","","","","","","","","","","false","","CD"
"a0tbn000008f3QMAAY","false","Ancillary Services","a0obn000000KpHhAAK","Global","KY_PT_00004211","42147076811944258","2.0","false","false","0.0","0.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","","Ancillary Services"
"a0tbn000008f3QOAAY","false","Savings","a0obn000000HlYqAAK","Global","KY_PT_00004213","42294565864130575","3.0","true","false","0.0","0.0","0.0","0.0","Savings","","","","false","false","false","","","","","","","","","","","","false","","Savings"
"a0tbn000008f3QLAAY","false","Checking","a0obn000000HlYqAAK","Global","KY_PT_00004210","42997356463484892","4.0","true","false","0.0","0.0","0.0","0.0","Checking","","","","false","false","false","","","","","","","","","","","","false","","Checking"
"a0tbn000007pcYlAAI","false","Agriculture","a0obn000000HlYnAAK","Loan","KY_PT_00004204","PT-Agricul0578642","2.0","false","true","5.0","6.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000007pcYkAAI","false","Business Banking","a0obn000000HlYqAAK","Loan","KY_PT_00000003","PT-BusBanking","1.0","true","false","4.0","0.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000008f3QPAAY","false","Checking","a0obn000000KpHiAAK","Global","KY_PT_00004214","PT-Checkin0338290","2.0","true","false","0.0","0.0","0.0","0.0","Checking","","","","false","false","false","","","","","","","","","","","","false","","Checking"
"a0tbn000007pcYfAAI","false","Real Estate","a0obn000000HlYnAAK","Loan","KY_PT_00000001","PT-Com-RE","9.0","false","true","5.0","6.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000007pcYnAAI","false","Construction","a0obn000000HlYnAAK","Loan","KY_PT_00004206","PT-Constru0651195","4.0","false","true","5.0","6.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000008f3QXAAY","false","Consumer - Real Estate Installment","a0obn000000HlYoAAK","Loan","KY_PT_00004222","PT-Consume0047616","1.0","false","true","0.0","0.0","0.0","0.0","","","","","false","false","false","","","","","IBCL_Collapsed_Offer_Card_Summary","IBCL_Expanded_Offer_Card_Summary","","IBCL_Recalculate_Offers","","","","false","","Consumer - Real Estate Installment"
"a0tbn000008f3QVAAY","false","Consumer - Credit Card","a0obn000000HlYoAAK","Loan","KY_PT_00004220","PT-Consume0396854","1.0","false","true","0.0","0.0","0.0","0.0","","","","","false","false","false","","","","","IB_Credit_Card_Collapsed","Credit_Card_Expanded","","","","","","false","","Consumer - Credit Card"
"a0tbn000007pcYgAAI","false","Consumer Real Estate","a0obn000000HlYoAAK","Loan","KY_PT_00004200","PT-Consume0541007","1.0","false","true","0.0","0.0","0.0","0.0","HELOC","","veh-loan-grp","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000007pcYjAAI","false","Consumer Non-Real Estate","a0obn000000HlYoAAK","Loan","KY_PT_00004201","PT-Consume0771309","0.0","false","true","0.0","0.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000008f3QTAAY","false","Consumer - Non-Real Estate Installment","a0obn000000HlYoAAK","Loan","KY_PT_00004218","PT-Consume0839948","8.0","false","true","1.0","1.0","0.0","0.0","","","","","false","false","false","","","","","IBCL_Collapsed_Offer_Card_Summary","IBCL_Expanded_Offer_Card_Summary","","IBCL_Recalculate_Offers","","","","false","","Consumer - Non-Real Estate Installment"
"a0tbn000008f3QWAAY","false","Consumer - Real Estate Line of Credit","a0obn000000HlYoAAK","Loan","KY_PT_00004221","PT-Consume0843751","1.0","false","true","0.0","0.0","0.0","0.0","","","","","false","false","false","","","","","IBCL_Collapsed_Offer_Card_Summary","IBCL_Expanded_Offer_Card_Summary","","IBCL_Recalculate_Offers","","","","false","","Consumer - Real Estate Line of Credit"
"a0tbn000008f3QUAAY","false","Consumer - Non-Real Estate Line of Credit","a0obn000000HlYoAAK","Loan","KY_PT_00004219","PT-Consume0923009","2.0","false","true","0.0","0.0","0.0","0.0","","","","","false","false","false","","","","","LOC_Collapsed","LOC_Expanded","","IBCL_Recalculate_Offers","","","","false","","Consumer - Non-Real Estate Line of Credit"
"a0tbn000008f3QSAAY","false","IRA","a0obn000000HlYqAAK","Global","KY_PT_00004217","PT-IRA09238403652","2.0","true","false","0.0","0.0","0.0","0.0","IRA","","","","false","false","false","","","","","","","","","","","","false","","IRA"
"a0tbn000007pcYhAAI","false","Non-Real Estate","a0obn000000HlYnAAK","Loan","KY_PT_00004198","PT-NonReal0808040","6.0","false","true","5.0","6.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000008H0TeAAK","false","Small Business Non-Real Estate","a0obn000000J3yHAAS","Loan","KY_PT_00004208","PT-NonReal0872933","2.0","false","true","5.0","7.0","0.0","0.0","","","","SB_Collapsed_Offer_Card_Summary_cm","false","false","false","","","","session-redirect","SBL_Collapsed_Offer_Card_Summary","SBL_Expanded_Offer_Card_Summary","","SBL_Recalculate_Offers","","","","false","","Small Business Non-Real Estate"
"a0tbn000008H0TfAAK","false","Small Business Real Estate","a0obn000000J3yHAAS","Loan","KY_PT_00004209","PT-RealEst0789302","2.0","false","true","5.0","7.0","0.0","0.0","","","","","false","false","false","","","","session-redirect","SBL_Collapsed_Offer_Card_Summary","SBL_Expanded_Offer_Card_Summary","","SBL_Recalculate_Offers","","","","false","","Small Business Real Estate"
"a0tbn000008f3QQAAY","false","Savings","a0obn000000KpHiAAK","Global","KY_PT_00004215","PT-Savings0958900","1.0","true","false","0.0","0.0","0.0","0.0","Savings","","","","false","false","false","","","","","","","","","","","","false","","Savings"
"a0tbn000008f3QRAAY","false","Tax Favored Account Plan","a0obn000000HlYqAAK","Global","KY_PT_00004216","PT-TaxFavo0574259","1.0","true","false","0.0","0.0","0.0","0.0","IRA","","","","false","false","false","","","","","","","","","","","","false","","Tax Favored Account Plan"
"a0tbn000008H0TdAAK","false","Small Business Unsecured","a0obn000000J3yHAAS","Loan","KY_PT_00004207","PT-Unsecur0066628","3.0","false","true","5.0","7.0","0.0","0.0","","","","","false","false","false","","","","session-redirect","SBL_Collapsed_Offer_Card_Summary","SBL_Expanded_Offer_Card_Summary","","SBL_Recalculate_Offers","","","","false","","Small Business Unsecured"
"a0tbn000007pcYmAAI","false","Unsecured","a0obn000000HlYnAAK","Loan","KY_PT_00004205","PT-Unsecur0590904","4.0","false","true","5.0","6.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
"a0tbn000007pcYiAAI","false","Electronic Payments","a0obn000000HlYpAAK","Treasury Management","KY_PT_00004199","a0tbn000007pcYiAAI","1.0","false","false","0.0","0.0","0.0","0.0","","","","","false","false","false","","","","","","","","","","","","false","",""
