"Id","IsDeleted","Name","OwnerId","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000002Fm2Z2AS","false","FC-001974","005al00000RVcKvAAL","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKdgYAH","","false","","04891663700626156","Account",""
"a0SWD000002Fm3G2AS","false","FC-002017","005al00000RVcKvAAL","","","","","","","","LLC_BI__Product_Line__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKf8YAH","","false","","09451701790671658","LLC_BI__Deposit__c",""
"a0SWD000002Fm3K2AS","false","FC-002021","005al00000RVcKvAAL","","","","","","","","LLC_BI__Product_Type__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKf8YAH","","false","","13071701790671659","LLC_BI__Deposit__c",""
"a0SWD000002Fm2a2AC","false","FC-001975","005al00000RVcKvAAL","","","","","","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","","LLC_BI__Income_Type__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKe5YAH","","false","","14611666029076797","LLC_BI__Income__c",""
"a0SWD000002Fm8t2AC","false","FC-002366","005al00000RVcKvAAL","","","","","","","","Referral_Company__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKcjYAH","","false","","34762306576239","LLC_BI__Loan__c",""
"a0SWD000002Flv72AC","false","FC-001512","005al00000RVcKvAAL","","","","","","","","nFORCE__Field_Name__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKodYAH","","false","","368ac54f-72bd-5c87-41c9-43d0c2c04e31","nFORCE__Field_Configuration__c",""
"a0SWD000002Fm8u2AC","false","FC-002367","005al00000RVcKvAAL","","","","","","","","cm_Referring_Vertical__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42005809039309821","LLC_BI__Loan__c",""
"a0SWD000002Fm8v2AC","false","FC-002368","005al00000RVcKvAAL","","","","","","","","cm_Referring_Loan_Officer__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42011403114485058","LLC_BI__Loan__c",""
"a0SWD000002Fm2b2AC","false","FC-001976","005al00000RVcKvAAL","","","","","","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","","LLC_BI__Income_Type__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKcuYAH","","false","","42017678075385560","LLC_BI__Income__c",""
"a0SWD000002FmAh2AK","false","FC-002478","005al00000RVcKvAAL","","","","","","","","LLC_BI__HMDA_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKoYYAX","","false","","42030579773915075","LLC_BI__Loan__c",""
