"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Brand_Custom_CSS__c","nFORCE__Brand_JSON__c","nFORCE__Description__c","nFORCE__Is_Applied__c","nFORCE__Look_Up_Key__c","nFORCE__LookupKey__c","AutorabitExtId__c"
"a0CWD00005vM0qn2AC","005al00000RVcKvAAL","false","nSight ""vinay testing""Financial ""gfvtc""","2026-04-09T10:12:07.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".slds .slds-button--brand:hover, .slds .slds-button--brand:focus { background-color: #15aeaf;}.slds .slds-button--brand[disabled] { background-color: #e0e5ee !important;}.slds div.portal-form-container { box-shadow: none !important;}.slds .center-content .portal-dashboard-hero-content {   margin-top: -100px !important;   }input.slds-input:hover, select.slds-select:hover {  border-bottom-width: 2px;  border-color: #dadada;  border-bottom-color: #15aeaf;  outline: 0;}.slds .pill-button.portal-text-white{  color: #fff !important;}.slds-button.slds-button--brand {  background-color: #1ebfc1}.slds-button .slds-button--neutral .card-bottom-button .slds-m-right--medium .slds-button--brand:focus { bacground-color: #fff !important;}.slds .slds-input, .slds-select {height: 48px !important;}button { height: 48px !important;}/*.portal-form-container button { max-width: 260px; min-width: 240px;}[name=“onlineFormForm”] button { margin-left: calc(50% - 130px) !important;}*/.portal-questionnaire-container .slds-scope .slds-size_12-of-12{ width: 100% !important;}.slds .slds-select_container:before {   top: 14px !important;}.slds .slds-select_container:after {   bottom: 14px !important;}a.slds-button.slds-button--neutral {  height: 48px;  line-height: 48px;}","{    ""pso-section"": {        ""background-color"": ""transparent"",  ""background-position"": ""-25px""    },    ""pso-section-inner"": {    },    ""pso-wrapper"": {    },    ""pso-page-header"": {        ""color"": ""#4F6D8D"",        ""font-weight"": ""900""    },    ""pso-tile"": {        ""background-color"": ""#ffffff"",        ""color"": ""#16325c"",        ""border-color"": ""#d8dde6""    },""pso-loader-icon"": {""background-image"":""url('https://c.na52.content.force.com/servlet/servlet.ImageServer?id=0150W00000F7wwW&oid=00Dd0000000hi2e&lastMod=1560888558000')""},     ""pso-nav-area"": {    },    ""pso-section-icon"": {        ""background-color"": ""#ff5634""    },    ""pso-nav-dot-active"": {    },    ""pso-application-progress-text"": {        ""fill"": ""#000000""    },    ""pso-nav-dot-inactive"": {    },    ""pso-nav-line-active"": {    },    ""pso-nav-line-inactive"": {    },    ""pso-nav-text-parent"": {        ""color"": ""#4F6D8D""    },    ""pso-nav-text-child"": {        ""color"": ""#4F6D8D""    },    ""pso-nav-top-user-text"": {        ""color"":""#333""    },    ""pso-dashboard-nav-section"": {        ""background-color"":""#fff""    },    ""pso-button-primary"": {        ""border-color"": ""#fff""    },    ""pso-dashboard-topbar"": {        ""background-image"": ""url('https://bankr-8862--c.na59.content.force.com/servlet/servlet.ImageServer?id=015f40000016wbP&oid=00Df4000001dFxq&lastMod=1518028230000')"",        ""background-size"": ""cover"",        ""background-position"": ""center""    },        ""pso-dashboard-hero"": {        ""background-image"": ""url('https://c.na52.content.force.com/servlet/servlet.ImageServer?id=0150W00000FTCWx&oid=00Dd0000000hi2e&lastMod=1579789290000')"",        ""background-size"": ""cover"",        ""background-position"": ""center""    },    ""pso-dashboard-topbar-header"": {        ""color"":""#000"",        ""text-align"":""left"",        ""font-size"":""50px"",        ""text-shadow"": ""1px 2px #D3D3D3""},    ""pso-dashboard-topbar-smallheader"": {        ""color"":""#000"",         ""text-align"":""left"",         ""font-size"":""25px""},    ""pso-button-secondary"": {        ""background-color"": ""white"",        ""color"": ""#0070d2""    },    ""pso-action-link"": {        ""color"": ""#4F6D8D""    },    ""pso-tooltip"": {        ""color"": ""#4F6D8D""    },    ""pso-help-icon"": {        ""fill"": ""#FF5634""    },    ""pso-tooltip-popover"": {        ""background-color"": ""#ffffff""    },    ""pso-tooltip-popover-text"": {        ""color"": ""#54698d""    },    ""pso-mobile-tooltip-popover"": {        ""background-color"": ""#d9edf7""    },    ""pso-mobile-tooltip-popover-text"": {        ""color"": ""#3177af""    },    ""pso-badge"": {    },    ""pso-button-disabled"": {    },    ""pso-active-tab"": {        ""background-color"": ""#ffffff""    },    ""pso-tab-list"": {        ""background-color"": ""#ffffff""    },    ""pso-tab"": {        ""background-color"": ""#ffffff""    },    ""pso-tab-link"": {        ""background-color"": ""#ffffff"",        ""color"": ""#16325c""    },    ""pso-tab-link-active"": {        ""background-color"": ""#ffffff"",        ""color"": ""#16325c"",        ""border-color"": ""rgb(0, 85, 169)""    },    ""pso-header"": {        ""color"": ""#4F6D8D""    },    ""pso-subheader"": {        ""color"": ""#4a5e82""    },    ""pso-smallheader"": {        ""color"": ""#333""    },    ""pso-placeholder"": {    },    ""pso-highlight"": {    },    ""pso-input"": {        ""background-color"": ""#ffffffF"",        ""color"": ""#121212""    },    ""pso-select"": {        ""background-color"": ""#ffffffF"",        ""color"": ""#16325c""    },    ""pso-lookup"": {        ""background-color"": ""#ffffffF"",        ""color"": ""#16325c""    },    ""pso-lookup-text"": {        ""background-color"": ""#ffffffF"",        ""color"": ""#16325c""    },    ""pso-tile-header"": {        ""color"": ""#474747""    },    ""pso-hr"": {        ""height"": ""1px"",        ""border"": ""0"",        ""border-top"": ""1px solid #d8dde6"",        ""margin"": ""1em 0"",        ""padding"": ""0""    },    ""pso-form-label"": {        ""color"": ""#4D4D4D"",        ""font-size"": ""16px"",        ""font-weight"":""300""    },    ""pso-topbar"": {       ""background-color"": ""#ffffff""    },    ""pso-topbar-img"": {     ""height"": ""60px""    },    ""pso-topbar-login-text"": {        ""color"": ""#0070d3""    },    ""pso-topbar-login-link"": {        ""color"": ""#0070d3""    },    ""'pso-login-header'"": {        ""margin-top"": ""123px"",        ""font-weight"": ""300"",        ""font-size"": ""45px"",        ""line-height"": ""1.25""    },    ""'pso-login-subheader'"":{        ""font-size"":""25px""    },    ""pso-checkbox"": {        ""background-color"": ""#ffffff"",        ""border-color"": ""#d8dde6""    },    ""pso-card"": {    },    ""pso-card-body"": {        ""background-color"": ""#ffffff"",        ""color"": ""#16325c""    },    ""pso-card-footer"": {        ""background-color"": ""#ffffff"",        ""color"": ""#16325c""    },    ""pso-card-table"": {    },    ""pso-card-table-header"": {    },    ""pso-card-table-row"": {    },    ""pso-card-table-cell"": {    },    ""pso-tab-content"": {        ""background-color"": ""#ffffff"",        ""color"": ""#ffffff""    },    ""pso-tile-body"": {        ""color"": ""4F6D8D""    },    ""pso-review-value"": {    },    ""pso-footer"": {        ""background-color"": ""#ffffff""    },    ""pso-footer-text"": {        ""color"": ""#16325c""    },    ""pso-dashboard-nav-horizontal-a-selected"": {        ""color"": ""#333"",        ""border-bottom"":""5px solid #1b96ab""    },     ""pso-dashboard-nav-horizontal-a"": {        ""color"": ""#333""    },    ""pso-dashboard-nav-horizontal-li"": {        ""color"": ""#000000""    },         ""pso-card-header-text"": {        ""color"": ""#000000""     },     ""pso-document-name"": {        ""color"": ""#000000""     },      ""pso-wizard-item-active"": {        ""background-color"": ""#1ebfc1""     },     ""pso-wizard-bar-active"": {        ""background-color"": ""#1ebfc1""     },     ""pso-wizard-item-text-active"": {        ""color"": ""#003b71""     },     ""pso-wizard-item-text-inactive"": {        ""color"": ""#003b71""     },      ""pso-oa-topbar-header"": {        ""color"":""#fff"",        ""font-weight"":""400""     },        ""pso-oa-topbar-fieldset-label"": {        ""color"":""#fff""     },        ""pso-oa-topbar-fieldset-value"": {        ""color"":""#fff""     },      ""pso-application-hero"": {        ""background-image"":""linear-gradient(45deg, rgba(42,245,152,1) 0%,rgba(21,159,217,1) 75%,rgba(21,159,217,1) 100%)""     },     ""pso-review-card-header"": {        ""font-weight"":""500""     },     ""pso-id-scan-camera-capture-square"": {        ""max-width"":""350px""     },     ""pso-id-scan-quick-tips-body"": {        ""max-width"": ""350px""     }}","Adding description to test compare feature","true","3456346354635","","a0CWD00005v3RYB2A2"
"a0CWD00006moObW2AU","005al00000RVcKvAAL","false","Emerald Financial","2026-07-22T12:09:40.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #1a7a4c; color: #f0f8f4; } .brand-btn-primary { background-color: #28a745; border-radius: 6px; } .brand-link { color: #1a7a4c; text-decoration: underline; }","","Green-themed branding for wealth management division with emphasis on trust and growth imagery throughout the application workflow.","false","B4L8V2D6H9F3J7A1X","emerald-financial",""
"a0CWD000069wnDg2AI","005al00000RVcKvAAL","false","Corporate Blue Theme","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #003366; color: #ffffff; } .brand-footer { background-color: #001a33; } .btn-primary { background-color: #0056b3; border-color: #004999; }","","Primary corporate brand theme featuring a professional blue color palette, designed for customer-facing loan origination portals.","true","BRND00001","corporate-blue-theme",""
"a0CWD000069wnDh2AI","005al00000RVcKvAAL","false","Green Financial","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #2e7d32; color: #ffffff; } .brand-sidebar { border-left: 3px solid #4caf50; } .btn-primary { background-color: #388e3c; }","","Eco-friendly brand theme used for the sustainable lending division, emphasizing green tones and modern typography.","false","BRND00002","green-financial",""
"a0CWD000069wnDi2AI","005al00000RVcKvAAL","false","Midnight Modern","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #1a1a2e; color: #e0e0e0; } .card { border-radius: 8px; box-shadow: 0 2px 8px rgba(0,0,0,0.3); } .btn-primary { background-color: #e94560; }","","Dark mode brand theme designed for internal operations teams, reducing eye strain during extended use with a sleek midnight aesthetic.","false","BRND00003","midnight-modern",""
"a0CWD000069wnDj2AI","005al00000RVcKvAAL","false","Heritage Gold","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #4a2c0a; color: #f5deb3; } .nav-link:hover { color: #daa520; } .btn-primary { background-color: #b8860b; border-color: #996e09; }","","Classic heritage brand theme with warm gold and brown tones, crafted for wealth management and private banking client portals.","true","BRND00004","heritage-gold",""
"a0CWD000069wnDk2AI","005al00000RVcKvAAL","false","Skyline Light","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #f8f9fa; color: #212529; border-bottom: 2px solid #007bff; } .btn-primary { background-color: #007bff; } .footer { background-color: #e9ecef; }","","Clean and minimalist light theme optimized for consumer lending applications with high readability and accessibility compliance.","false","BRND00005","skyline-light",""
"a0CWD000069wnDl2AI","005al00000RVcKvAAL","false","Corporate Blue Theme","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #003366; color: #ffffff; } .brand-footer { background-color: #002244; } .btn-primary { background-color: #0066cc; border-radius: 4px; }","","Primary corporate branding theme used for customer-facing loan origination portals. Features the standard blue color palette and corporate typography.","true","BRND0001","corporate-blue-theme",""
"a0CWD000069wnDm2AI","005al00000RVcKvAAL","false","Partner Green Theme","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #2e7d32; color: #ffffff; } .brand-footer { background-color: #1b5e20; } .btn-primary { background-color: #43a047; border-radius: 6px; }","","Secondary branding theme designed for partner channel applications. Uses a green color scheme to differentiate from the primary corporate brand.","false","BRND0002","partner-green-theme",""
"a0CWD000069wnDn2AI","005al00000RVcKvAAL","false","Corporate Blue Theme","2026-05-08T12:49:32.000Z","005al00000RVcKvAAL","2026-09-02T07:36:10.000Z","005al00000RVvFOAA1","2026-09-02T07:36:10.000Z","","",".brand-header { background-color: #003366; color: #ffffff; } .brand-footer { background-color: #002244; }","","Primary corporate branding theme used for customer-facing loan origination portals with blue color palette.","true","BRND_001","corporate-blue-theme",""
