"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a0sWD00000XoBlLYAV","005al00000RVcKvAAL","false","3508 Review - Approved in Full","false","false","true","341535406464","a0sWD00000XoBlLYAV"
"a0sWE000002tqeOYAQ","005al00000RVcKvAAL","false","Collateral-Possessory-Note/Instrument","false","false","true","42012862423685131",""
"a0sWE000002XbSfYAK","005al00000RVcKvAAL","false","Default Pledged Leased Asset Edit Screen","false","false","true","42030581903935133",""
"a0sWE000002tqeVYAQ","005al00000RVcKvAAL","false","Collateral-Possessory-Bills of Lading","false","false","true","42069100893617569",""
"a0sWE000002XbSgYAK","005al00000RVcKvAAL","false","Collateral Creation Screen","false","false","true","42118336128985105",""
"a0sWE000002tqehYAA","005al00000RVcKvAAL","false","Collateral-Titled-Vessel","false","false","true","42193338758163888",""
"a0sWE000002tqeiYAA","005al00000RVcKvAAL","false","Collateral-Titled","false","false","true","42229309426024690",""
"a0sWE000002tqejYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Letter of Credit","false","false","true","42254692718045368",""
"a0sWE000002tqekYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Key Person Insurance","false","false","true","42260456631626244",""
"a0sWE000002tqelYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Warehouse Receipts","false","false","true","42280349349038997",""
"a0sWD00000XoBoMYAV","005al00000RVcKvAAL","false","Other Default Pledged Collateral Edit Screen","false","false","true","42343481268905692","a0sWD00000XoBoMYAV"
"a0sWE000002tqeqYAA","005al00000RVcKvAAL","false","Collateral-Other-Government Contracts","false","false","true","42385715917275967",""
"a0sWE000002tqerYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Credit Life","false","false","true","42394153288848601",""
"a0sWE000002tqesYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Life Insurance","false","false","true","42401059851966033",""
"a0sWD00000XoBp1YAF","005al00000RVcKvAAL","false","Real Estate Default Pledged Collateral Edit Screen","false","false","true","42434056664701194","a0sWD00000XoBp1YAF"
"a0sWE000002tqexYAA","005al00000RVcKvAAL","false","Collateral-Titled-Ship","false","false","true","42437151313046644",""
"a0sWE000002tqeyYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Savings/CDs","false","false","true","42440767386795598",""
"a0sWE000002tqezYAA","005al00000RVcKvAAL","false","Collateral-Titled-Mobile Home","false","false","true","42461395767237886",""
"a0sWE000002tqf0YAA","005al00000RVcKvAAL","false","Collateral-Possessory-Stocks","false","false","true","42463981752592188",""
"a0sWE000002tqf5YAA","005al00000RVcKvAAL","false","Default Pledged Leased Asset Edit Screen","false","false","true","42524349854296463",""
"a0sWE000002tqf8YAA","005al00000RVcKvAAL","false","Collateral-Possessory-Revocable Letter of Credit","false","false","true","42576262737384334",""
"a0sWE000002tqfAYAQ","005al00000RVcKvAAL","false","Collateral-Titled-Aircraft","false","false","true","42581909766045101",""
"a0sWD00000XoBqtYAF","005al00000RVcKvAAL","false","Titled Default Pledged Collateral Edit Screen","false","false","true","42617227847727072","a0sWD00000XoBqtYAF"
"a0sWE000002tqfGYAQ","005al00000RVcKvAAL","false","Collateral-Possessory-Mutual Fund","false","false","true","42639155007632757",""
"a0sWE000002tqfHYAQ","005al00000RVcKvAAL","false","Collateral-Possessory-Securities","false","false","true","42653954664465365",""
"a0sWE000002XbShYAK","005al00000RVcKvAAL","false","Default Collateral Edit Screen","false","false","true","42690584729983846",""
"a0sWE000002XbSiYAK","005al00000RVcKvAAL","false","UCC Collateral Screen","false","false","true","4269058472998384642",""
"a0sWE000002XbSjYAK","005al00000RVcKvAAL","false","Collateral-Heavy Equipment-Tractor-904","false","false","true","426905847299838487",""
"a0sWE000002XbSkYAK","005al00000RVcKvAAL","false","Collateral-Small Equipment-Data Collector-903","false","false","true","42690584729983849",""
"a0sWE000002tqfNYAQ","005al00000RVcKvAAL","false","Collateral-Titled-Pleasure Boat","false","false","true","42703575356168779",""
"a0sWD00000XoBs3YAF","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42742750444485483","a0sWD00000XoBs3YAF"
"a0sWE000002tqfXYAQ","005al00000RVcKvAAL","false","Collateral-Possessory-Irrevocable Letter of Credit","false","false","true","42801016480660056",""
"a0sWD00000XoBstYAF","005al00000RVcKvAAL","false","UCC Default Pledged Collateral Edit Screen","false","false","true","42823550212584926","a0sWD00000XoBstYAF"
"a0sWD00000XoBtAYAV","005al00000RVcKvAAL","false","Possessory Default Pledged Collateral Edit Screen","false","false","true","42855467987240797","a0sWD00000XoBtAYAV"
"a0sWE000002tqfZYAQ","005al00000RVcKvAAL","false","Collateral-Titled-Trailer","false","false","true","42860084203432194",""
"a0sWE000002tqfbYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Other Possessory","false","false","true","42868736103271902",""
"a0sWD00000XoCL3YAN","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42871665770611153","a0sWD00000XoCL3YAN"
"a0sWE000002tqfdYAA","005al00000RVcKvAAL","false","Collateral-Real Estate","false","false","true","42875581032868363",""
"a0sWE000002tqfgYAA","005al00000RVcKvAAL","false","Collateral-Possessory-Term Life","false","false","true","42902788784356696",""
"a0sWE000002tqfhYAA","005al00000RVcKvAAL","false","Collateral-Titled-Motor Vehicle","false","false","true","42913737407936953",""
"a0sWE000002tqfpYAA","005al00000RVcKvAAL","false","Collateral-UCC","false","false","true","42966783217336788",""
"a0sWE000002XbSlYAK","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42995953725879554",""
"a0sWD00000XoBuuYAF","005al00000RVcKvAAL","false","Test-47098","false","false","true","47098","a0sWD00000XoBuuYAF"
"a0sWE000002XbSmYAK","005al00000RVcKvAAL","false","Real Estate Screen","false","false","true","a0aam00000JSbkvAAD",""
"a0sWE000002XbSnYAK","005al00000RVcKvAAL","false","Titled-Aircraft-206","false","false","true","a0aam00000JSbkwAAD",""
"a0sWE000002XbSoYAK","005al00000RVcKvAAL","false","Titled-Mobile Home-210","false","false","true","a0aam00000JSbkxAAD",""
"a0sWE000002XbSpYAK","005al00000RVcKvAAL","false","Titled-Other Titled-300","false","false","true","a0aam00000JSbkyAAD",""
"a0sWE000002XbSqYAK","005al00000RVcKvAAL","false","Titled Pleasure Boat/Ship","false","false","true","a0aam00000JSbkzAAD",""
"a0sWE000002XbSrYAK","005al00000RVcKvAAL","false","Titled-Trailer-410","false","false","true","a0aam00000JSbl0AAD",""
"a0sWE000002XbSsYAK","005al00000RVcKvAAL","false","Farming Accessories-Combine","false","false","true","a0aam00000JSbl1AAD",""
"a0sWE000002XbStYAK","005al00000RVcKvAAL","false","Farming Accessories-Roller","false","false","true","a0aam00000JSbl2AAD",""
"a0sWE000002XbSuYAK","005al00000RVcKvAAL","false","Collateral-Titled-Motor Vehicle-215","false","false","true","a0aam00000JSbmEAAT",""
