"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Category__c"
"a238c0000054Ij4AAE","false","CLA-BD-0008234","a258c000004VBCXAA4","","Landscaping","","250.0","","","0.0","","0.0","0.0","","","02eswj73js99umg1vc","Hard cost"
"a238c0000054J8IAAU","false","CLA-BD-0009572","a258c000004VBKLAA4","","Gutters and Downspouts","","140.0","","","0.0","","","0.0","","","077la94tgch2xw1r50","Hard cost"
"a238c0000054J8JAAU","false","CLA-BD-0009573","a258c000004VBKMAA4","1200.0","Permits / Fees","","10.0","","","0.0","100.0","","1200.0","","","07iktk76gpjzem8txw","Soft cost"
"a238c0000054J8KAAU","false","CLA-BD-0009574","a258c000004VBKJAA4","","Shingles","","211.0","","","0.0","","","0.0","","","0ac6h743h6ur16ecqu","Hard cost"
"a238c0000054Ij5AAE","false","CLA-BD-0008235","a258c000004VBCVAA4","","Stairs","","110.0","","","0.0","","0.0","0.0","","","0cb3l7aexh2jummpbu",""
"a238c0000054J8LAAU","false","CLA-BD-0009575","a258c000004VBKLAA4","850.0","Surveys","","11.0","","","0.0","100.0","","850.0","","","0dspxzlayab0a1vv0r","Soft cost"
"a238c0000054Ij6AAE","false","CLA-BD-0008236","a258c000004VBCXAA4","","Bonds & Insurance","","6.0","","","0.0","","0.0","0.0","","","0k1rh0jhewymbgej1e","Soft cost"
"a238c0000054Ij7AAE","false","CLA-BD-0008237","a258c000004VBK5AAO","","Water Pump","","80.0","","","0.0","","","0.0","","","0kifxe0sc23zfovsyq",""
"a238c0000054Ij8AAE","false","CLA-BD-0008238","a258c000004VBCVAA4","","Steel","","50.0","","","0.0","","0.0","0.0","","","0m3h6jm084u88tpgvr",""
"a238c0000054J8MAAU","false","CLA-BD-0009576","a258c000004VBKKAA4","5000.0","Commission & Fees","","510.0","","","0.0","100.0","","5000.0","","","0pwhz9wi5tosx4s61j","Soft cost"
"a238c0000054J8NAAU","false","CLA-BD-0009577","a258c000004VBK4AAO","900.0","Impact Fees","","20.0","","","0.0","100.0","0.06","900.0","","","0qwxgpyr1699ph3zky",""
"a238c0000054J8OAAU","false","CLA-BD-0009578","a258c000004VBKIAA4","67500.0","Painting","","210.0","","","0.0","100.0","4.5","67500.0","","","0su63lv8ep8egz51ff",""
"a238c0000054Ij9AAE","false","CLA-BD-0008239","a258c000004VBCXAA4","","Painting","","210.0","","","0.0","","0.0","0.0","","","0t16qe1fc0w5o970jq","Hard cost"
"a238c0000054IjAAAU","false","CLA-BD-0008240","a258c000004VBCVAA4","","Siding","","130.0","","","0.0","","0.0","0.0","","","0x0a1d4jew8g8dqjql",""
"a238c0000054J8PAAU","false","CLA-BD-0009579","a258c000004VBK4AAO","8000.0","Electrical","","160.0","","","0.0","100.0","0.5333","8000.0","","","118wh8tgz0p8h8zy7h",""
"a238c0000054J8QAAU","false","CLA-BD-0009580","a258c000004VBKIAA4","850.0","Surveys","","11.0","","","0.0","100.0","0.0567","850.0","","","12st9rzg9cc3yptx5i",""
"a238c0000054IjBAAU","false","CLA-BD-0008241","a258c000004VBCUAA4","50000.0","Plumbing","","150.0","","","0.0","100.0","3.3333","50000.0","","0.0","13njzml60u9p8l3783","Hard cost"
"a238c0000054J8RAAU","false","CLA-BD-0009581","a258c000004VBKJAA4","550.0","Surveys","","501.0","","","0.0","100.0","","550.0","","","1516aiydques6zylkp","Soft cost"
"a238c0000054J8SAAU","false","CLA-BD-0009582","a258c000004VBKKAA4","","Doors","","212.0","","","0.0","","","0.0","","","1e883ba1xdyxe9ugyd","Hard cost"
"a238c0000054J8TAAU","false","CLA-BD-0009583","a258c000004VBK4AAO","800.0","Water & Sewer Inspection","","30.0","","","0.0","100.0","0.0533","800.0","","","1fh74hg0mkihq7o9q2",""
"a238c0000054J8UAAU","false","CLA-BD-0009584","a258c000004VBKLAA4","","HVAC","","180.0","","","0.0","","","0.0","","","1mblcygaxd64ioxdjx","Hard cost"
"a238c0000054J8VAAU","false","CLA-BD-0009585","a258c000004VBKLAA4","","Architectural & Engineering","","2.0","","","0.0","","","0.0","","","1qzf3txc45cp1q084l","Soft cost"
"a238c0000054J8WAAU","false","CLA-BD-0009586","a258c000004VBKMAA4","","Insulation","","190.0","","","0.0","","","0.0","","","1r3u13md22mtywk87p","Hard cost"
"a238c0000054J8XAAU","false","CLA-BD-0009587","a258c000004VBKIAA4","85000.0","Tile & Carpet","","230.0","","","0.0","100.0","5.6667","85000.0","","","1u773ylypqs3p21s5c",""
"a238c0000054IjCAAU","false","CLA-BD-0008242","a258c000004VBCUAA4","64100.0","Framing & Trusses","","60.0","","","0.0","100.0","4.2733","64100.0","","0.0","1xzk3aoi3l1xo8lmdd","Hard cost"
"a238c0000054IjDAAU","false","CLA-BD-0008243","a258c000004VBCWAA4","1200.0","Permits / Fees","","10.0","0.0","","75.0","25.0","0.0649","300.0","","900.0","246l4or91vsp542g7o",""
"a238c0000054IjEAAU","false","CLA-BD-0008244","a258c000004VBCUAA4","","Siding","","130.0","","","0.0","","0.0","0.0","","","25z4m1wwon3cak9y56","Hard cost"
"a238c0000054IjFAAU","false","CLA-BD-0008245","a258c000004VBCXAA4","","Offsite Expenses","","30.0","","","0.0","","0.0","0.0","","","26jct880ewup6v8lol","Land cost"
