"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWD000006OWio2AG","false","CLA-BD-0005439","a1WWD0000034F7O2AU","","Hard cost","Landscaping","","250.0","","","","","02eswj73js99umg1vc","0.0","","0.0","0.0"
"a1UWD000006OWip2AG","false","CLA-BD-0005440","a1WWD0000034F7Q2AU","","Hard cost","Gutters and Downspouts","","140.0","","","","","077la94tgch2xw1r50","0.0","","","0.0"
"a1UWD000006OWiq2AG","false","CLA-BD-0005441","a1WWD0000034F7R2AU","1200.0","Soft cost","Permits / Fees","","10.0","","","","","07iktk76gpjzem8txw","0.0","100.0","","1200.0"
"a1UWD000006OWir2AG","false","CLA-BD-0005442","a1WWD0000034F7L2AU","","Hard cost","Shingles","","211.0","","","","","0ac6h743h6ur16ecqu","0.0","","","0.0"
"a1UWD000006OWis2AG","false","CLA-BD-0005443","a1WWD0000034F7K2AU","","","Stairs","","110.0","","","","","0cb3l7aexh2jummpbu","0.0","","0.0","0.0"
"a1UWD000006OWit2AG","false","CLA-BD-0005444","a1WWD0000034F7Q2AU","850.0","Soft cost","Surveys","","11.0","","","","","0dspxzlayab0a1vv0r","0.0","100.0","","850.0"
"a1UWD000006OWiu2AG","false","CLA-BD-0005445","a1WWD0000034F7O2AU","","Soft cost","Bonds & Insurance","","6.0","","","","","0k1rh0jhewymbgej1e","0.0","","0.0","0.0"
"a1UWD000006OWiv2AG","false","CLA-BD-0005446","a1WWD0000034F762AE","","","Water Pump","","80.0","","","","","0kifxe0sc23zfovsyq","0.0","","","0.0"
"a1UWD000006OWiw2AG","false","CLA-BD-0005447","a1WWD0000034F7K2AU","","","Steel","","50.0","","","","","0m3h6jm084u88tpgvr","0.0","","0.0","0.0"
"a1UWD000006OWix2AG","false","CLA-BD-0005448","a1WWD0000034F7P2AU","5000.0","Soft cost","Commission & Fees","","510.0","","","","","0pwhz9wi5tosx4s61j","0.0","100.0","","5000.0"
