"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c","AutorabitExtId__c","YM_ExternalIDSource__c"
"a1WWD00000355vG2AQ","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template","2026-09-01T11:01:15.000Z","005al00000RVvFOAA1","2026-09-01T11:01:38.000Z","005al00000RVvFOAA1","2026-09-01T11:01:38.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.148370662279463","","","","","","","","0.0","0.0","",""
"a1WWD00000353EF2AY","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template Update","2026-09-01T11:01:08.000Z","005al00000RVvFOAA1","2026-09-01T11:01:33.000Z","005al00000RVvFOAA1","2026-09-01T11:01:33.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.651364292424185","","","","","","","","0.0","0.0","",""
"a1WWD00000355zl2AA","005al00000RVcKvAAL","false","TrainingBudget","2026-09-01T11:01:16.000Z","005al00000RVvFOAA1","2026-09-01T11:01:41.000Z","005al00000RVvFOAA1","2026-09-01T11:01:41.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.848738963329156","","","","","","","","0.0","0.0","",""
"a1WWD00000353uC2AQ","005al00000RVcKvAAL","false","AA budget 1","2026-09-01T11:01:10.000Z","005al00000RVvFOAA1","2026-09-01T11:01:36.000Z","005al00000RVvFOAA1","2026-09-01T11:01:36.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.063708712381819","","","","","","","","0.0","0.0","",""
"a1WWD00000355T62AI","005al00000RVcKvAAL","false","a1WWD000002VhFj","2026-09-01T11:01:14.000Z","005al00000RVvFOAA1","2026-09-01T11:01:37.000Z","005al00000RVvFOAA1","2026-09-01T11:01:37.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.104973285856683","","","","","","","","0.0","0.0","",""
"a1WWD00000354FJ2AY","005al00000RVcKvAAL","false","LLC BI  Budget 007-1ebe92","2026-09-01T11:01:11.000Z","005al00000RVvFOAA1","2026-09-01T11:01:37.000Z","005al00000RVvFOAA1","2026-09-01T11:01:37.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.926842983444812","","","","","","","","0.0","0.0","",""
"a1WWD00000354Qt2AI","005al00000RVcKvAAL","false","a1WWD000002VOhh","2026-09-01T11:01:11.000Z","005al00000RVvFOAA1","2026-09-01T11:01:37.000Z","005al00000RVvFOAA1","2026-09-01T11:01:37.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001032734554083","","","","","","","","0.0","0.0","",""
"a1WWD00000356iV2AQ","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","2026-09-01T11:01:18.000Z","005al00000RVvFOAA1","2026-09-01T11:01:42.000Z","005al00000RVvFOAA1","2026-09-01T11:01:42.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001064988434645","","","","","","","","0.0","0.0","",""
"a1WWD000003570l2AA","005al00000RVcKvAAL","false","new annual budget","2026-09-01T11:01:19.000Z","005al00000RVvFOAA1","2026-09-01T11:01:43.000Z","005al00000RVvFOAA1","2026-09-01T11:01:43.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001162066606083","","","","","","","","0.0","0.0","",""
"a1WWD00000356rv2AA","005al00000RVcKvAAL","false","LLC BI  Budget 009-9c3f69","2026-09-01T11:01:18.000Z","005al00000RVvFOAA1","2026-09-01T11:01:40.000Z","005al00000RVvFOAA1","2026-09-01T11:01:40.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001213068220771","","","","","","","","0.0","0.0","",""
"a1WWD00000357Sx2AI","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-09-01T11:01:20.000Z","005al00000RVvFOAA1","2026-09-01T11:01:41.000Z","005al00000RVvFOAA1","2026-09-01T11:01:41.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001216090501359","","","","","","","","0.0","0.0","",""
"a1WWD00000353dx2AA","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","2026-09-01T11:01:09.000Z","005al00000RVvFOAA1","2026-09-01T11:01:32.000Z","005al00000RVvFOAA1","2026-09-01T11:01:32.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001216902056210","","","","","","","","0.0","0.0","",""
"a1WWD00000357ej2AA","005al00000RVcKvAAL","false","RS budget 79","2026-09-01T11:01:20.000Z","005al00000RVvFOAA1","2026-09-01T11:01:44.000Z","005al00000RVvFOAA1","2026-09-01T11:01:44.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001222531098921","","","","","","","","0.0","0.0","",""
"a1WWD00000352MZ2AY","005al00000RVcKvAAL","false","Budget-2","2026-09-01T11:01:06.000Z","005al00000RVvFOAA1","2026-09-01T11:01:31.000Z","005al00000RVvFOAA1","2026-09-01T11:01:31.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001283967858187","","","","","","","","0.0","0.0","",""
