"Id","OwnerId","IsDeleted","Name","nFORCE__Api_Key__c","nFORCE__Classification_Tag__c","nFORCE__Default_Text_Answer__c","nFORCE__Form_Type__c","nFORCE__Group__c","nFORCE__Help_Text__c","nFORCE__Is_Archived__c","nFORCE__Is_Required__c","nFORCE__Label__c","nFORCE__Maximum__c","nFORCE__Minimum__c","nFORCE__Order__c","nFORCE__Target_Answer_Field__c","nFORCE__lookupKey__c","nFORCE__Decimal_Scale__c"
"a0gWD000002Gz70YAC","005al00000RVvFOAA1","false","Q-001584","","","","Picklist","a0XWD000002hCA22AM","","false","false","Are you or a close relative a senior political figure?","","","0.0","","42031655876829454",""
"a0gWD000002GyyLYAS","005al00000RVvFOAA1","false","Q-001047","","","","Picklist","a0XWD000002hCBW2A2","","false","false","Do you expect that you will be receiving or sending wires to foreign countries?","","","2.0","","42080456837102176",""
"a0gWD000002Gz71YAC","005al00000RVvFOAA1","false","Q-001585","","","","Checkbox","a0XWD000002hCHi2AM","","false","false","Does the secured cash or CD amount exceed $25,000?","","","3.0","","42104038953305570",""
"a0gWD000002GyyMYAS","005al00000RVvFOAA1","false","Q-001048","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Is your business associated to the marijuana industry?","","","4.0","","42116193353875359",""
"a0gWD000002GyyNYAS","005al00000RVvFOAA1","false","Q-001049","","","","Number","a0XWD000002hCA22AM","","true","false","What is your annual gross income?","","","1.0","","42121463361747719",""
"a0gWD000002GyyOYAS","005al00000RVvFOAA1","false","Q-001050","","","","Number","a0XWD000002hCAQ2A2","","false","true","How many ATMs do you own/operate?","","","3.0","","42142997674747100",""
"a0gWD000002Gz8AYAS","005al00000RVvFOAA1","false","Q-001656","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the property primarily used for a residential purpose?","","","4.0","","42144060125072357",""
"a0gWD000002Gz8BYAS","005al00000RVvFOAA1","false","Q-001657","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the loan or line of credit secured by a lien on a dwelling?","","","0.0","","42192508055965268",""
"a0gWD000002GyyPYAS","005al00000RVvFOAA1","false","Q-001051","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","How is the ATM filled with currency?","","","2.0","","42236407855285710",""
"a0gWD000002GyyQYAS","005al00000RVvFOAA1","false","Q-001052","","","","Picklist","a0XWD000002hCCc2AM","","false","false","How much will your business deposit in cash on a daily basis?","","","0.0","","42250431224927151",""
"a0gWD000002Gz72YAC","005al00000RVvFOAA1","false","Q-001586","","","","Checkbox","a0XWD000002hCHi2AM","","false","false","Is the loan or lease secured by cash or CD (certificate of deposit)?","","","2.0","","42262513803494598",""
"a0gWD000002Gz73YAC","005al00000RVvFOAA1","false","Q-001587","","","","Text","a0XWD000002hCBU2A2","","false","false","To configure the Questionnaire route, you must replace this route with either an existing or a new Questionnaire route. If your financial institiution does not want to include the Questionnaire route during the loan application process, delete this route.","","","0.0","","42269224282458988",""
"a0gWD000002GyyRYAS","005al00000RVcKvAAL","false","Q-001053","","","","Checkbox","a0XWD000002hCHo2AM","aded for testing","false","true","Is This Fixed?","","","0.0","","42279808406732240",""
"a0gWD000002Gz8CYAS","005al00000RVvFOAA1","false","Q-001658","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the primary purpose of the funds Business or Commercial?","","","6.0","","42290332436978140",""
"a0gWD000002GyySYAS","005al00000RVvFOAA1","false","Q-001054","","","","Text","a0XWD000002hCA22AM","","true","false","What is your current occupation?","","","0.0","","42359603463314660",""
"a0gWD000002GyyTYAS","005al00000RVvFOAA1","false","Q-001055","","","","Text","a0XWD000002hCBW2A2","","false","false","List Countries:","","","3.0","","42422655914819392",""
"a0gWD000002GyyUYAS","005al00000RVvFOAA1","false","Q-001056","","","","Picklist","a0XWD000002hCCc2AM","","false","false","Are you registered as a Money Service Business with the state in which you operate?""","","","2.0","","42449084602332744",""
"a0gWD000002GyyVYAS","005al00000RVvFOAA1","false","Q-001057","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Do you own or operate an ATM at your business?","","","0.0","","42462411731520955",""
"a0gWD000002Gz8DYAS","005al00000RVvFOAA1","false","Q-001659","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Are funds being used to purchase, refinance, or improve a dwelling?","","","7.0","","42475011180799209",""
"a0gWD000002GyyWYAS","005al00000RVvFOAA1","false","Q-001058","","","","Text","a0XWD000002hCA22AM","","false","false","What is the position held?","","","1.0","","42501605687058924",""
"a0gWD000002Gz8EYAS","005al00000RVvFOAA1","false","Q-001660","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the primary purpose of the funds Consumer?","","","5.0","","42513372471234032",""
"a0gWD000002GyyXYAS","005al00000RVvFOAA1","false","Q-001059","","","","Picklist","a0XWD000002hCBW2A2","","false","false","Type of wire transfer","","","1.0","","42519281191284095",""
"a0gWD000002Gz74YAC","005al00000RVvFOAA1","false","Q-001588","","","","Picklist","a0XWD000002hCHi2AM","","false","false","What is the purpose of the loan or lease?","","","1.0","","42575751011495325",""
"a0gWD000002Gz75YAC","005al00000RVvFOAA1","false","Q-001589","","","","Picklist","a0XWD000002hCHi2AM","","false","false","Is the loan or lease requested for a purchase or refinance?","","","0.0","","42586369831183736",""
"a0gWD000002GyyYYAS","005al00000RVvFOAA1","false","Q-001060","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Does the business engage in online/internet gambling?","","","5.0","","42628225838683887",""
"a0gWD000002Gz8FYAS","005al00000RVvFOAA1","false","Q-001661","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the loan temporary financing? (i.e., designed to be replaced by a permanent financing)","","","1.0","","42676044820803719",""
"a0gWD000002GyyZYAS","005al00000RVvFOAA1","false","Q-001061","","","","Picklist","a0XWD000002hCA22AM","","true","false","Are you a Senior Political Figure?","","","0.0","","42771969938266477",""
"a0gWD000002GyyaYAC","005al00000RVvFOAA1","false","Q-001062","","","","Picklist","a0XWD000002hCA22AM","","true","false","Have you been at your current residence for 2 or more years?","","","1.0","","4278130149316819",""
"a0gWD000002GyybYAC","005al00000RVvFOAA1","false","Q-001063","","","","Picklist","a0XWD000002hCAQ2A2","","false","true","Is the ATM registered with the corresponding state banking commission?","","","1.0","","42815709322153117",""
"a0gWD000002GyycYAC","005al00000RVvFOAA1","false","Q-001064","","","","Picklist","a0XWD000002hCCc2AM","","false","false","Do any of the following apply to your business?","","","1.0","","42887850024915696",""
"a0gWD000002GyydYAC","005al00000RVcKvAAL","false","Q-001065","","","","Checkbox","a0XWD000002hCHn2AM","addition","false","false","Query","","","0.0","","42897978205611547",""
"a0gWD000002Gz8GYAS","005al00000RVvFOAA1","false","Q-001662","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the loan primarily for agricultural purposes?","","","2.0","","42913313880277573",""
"a0gWD000002GyyeYAC","005al00000RVvFOAA1","false","Q-001066","","","","Picklist","a0XWD000002hCBW2A2","","false","false","Do you expect to use Wire Transfer Services?","","","0.0","","42931928143619244",""
"a0gWD000002Gz8HYAS","005al00000RVvFOAA1","false","Q-001663","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the dwelling located on a mixed-use property?","","","3.0","","42971529947554304",""
"a0gWD000002GyyfYAC","005al00000RVcKvAAL","false","Q-001067","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is this loan secured by a residential dwelling including: 1-2 Family home (condominium) Manufactured housing (with or without land) Multi-family dwelling (five or more units)?","","","0.0","","a304S0000008XYUQA2",""
"a0gWD000002GyygYAC","005al00000RVcKvAAL","false","Q-001068","","","","Picklist","a0XWD000002hCCp2AM","","true","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","","","4.0","","a304S0000008XYVQA2",""
"a0gWD000002GyyhYAC","005al00000RVcKvAAL","false","Q-001069","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is this loan purpose to purchase, improve, or refinance a dwelling?","","","1.0","","a304S0000008XYWQA2",""
"a0gWD000002GyyiYAC","005al00000RVcKvAAL","false","Q-001070","","","","Picklist","a0XWD000002hCCp2AM","","true","false","Is the loan (not secured by residential dwelling) for the purpose of imporving (repair, rehabilitation, or renovating) a residential dwelling AND the bank classified it as a home improvement loan?","","","2.0","","a304S0000008XYXQA2",""
"a0gWD000002GyyjYAC","005al00000RVcKvAAL","false","Q-001071","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is this loan a construction-only, bridge loan, or other temporary financing expected to be replaced with permanent financing?","","","3.0","","a304S0000008XYYQA2",""
"a0gWD000002GyykYAC","005al00000RVcKvAAL","false","Q-001072","","","","Picklist","a0XWD000002hCCp2AM","","true","false","I certify that this loan IS NOT HMDA Reportable.","","","4.0","","a304S0000008XYZQA2",""
"a0gWD000002GyylYAC","005al00000RVcKvAAL","false","Q-001073","","","","Picklist","a0XWD000002hCCv2AM","","false","false","Is any borrower, co-borrower, or guarantor an executive officer, director, or principal shareholder of that bank, of a bank holding company of which the member bank is a subsidiary, and of any other subsidiary of that bank holding company?","","","0.0","","a304S0000008XYaQAM",""
"a0gWD000002GyymYAC","005al00000RVcKvAAL","false","Q-001074","","","","Picklist","a0XWD000002hCCv2AM","","true","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","","","1.0","","a304S0000008XYbQAM",""
"a0gWD000002GyynYAC","005al00000RVcKvAAL","false","Q-001075","","","","Picklist","a0XWD000002hCCv2AM","","true","false","I certify this loan has been marked as ""Reg O Reportable"".","","","2.0","","a304S0000008XYcQAM",""
