"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a0sWE000002OkgUYAS","005al00000RVcKvAAL","false","3508 Review - Approved in Full","false","false","true","341535406464",""
"a0sWE000002OkIPYA0","005al00000RVcKvAAL","false","Collateral-Possessory-Note/Instrument","false","false","true","42012862423685131",""
"a0sWE000002OkIXYA0","005al00000Q6IbCAAV","false","Collateral-Possessory-Bills of Lading","false","false","true","42069100893617569",""
"a0sWE000002OkIMYA0","005al00000RVcKvAAL","false","Collateral-Titled-Vessel","false","false","true","42193338758163888",""
"a0sWE000002OkIaYAK","005al00000RVcKvAAL","false","Collateral-Titled","false","false","true","42229309426024690",""
"a0sWE000002OkIfYAK","005al00000RVcKvAAL","false","Collateral-Possessory-Letter of Credit","false","false","true","42254692718045368",""
"a0sWE000002OkIJYA0","005al00000Q6IbCAAV","false","Collateral-Possessory-Key Person Insurance","false","false","true","42260456631626244",""
"a0sWE000002OkIhYAK","005al00000Q6IbCAAV","false","Collateral-Possessory-Warehouse Receipts","false","false","true","42280349349038997",""
"a0sWE000002OkjVYAS","005al00000RVcKvAAL","false","Other Default Pledged Collateral Edit Screen","false","false","true","42343481268905692",""
"a0sWE000002OkIHYA0","005al00000RVcKvAAL","false","Collateral-Other-Government Contracts","false","false","true","42385715917275967",""
"a0sWE000002OkIbYAK","005al00000Q6IbCAAV","false","Collateral-Possessory-Credit Life","false","false","true","42394153288848601",""
"a0sWE000002OkIeYAK","005al00000RVcKvAAL","false","Collateral-Possessory-Life Insurance","false","false","true","42401059851966033",""
"a0sWE000002OkkAYAS","005al00000RVcKvAAL","false","Real Estate Default Pledged Collateral Edit Screen","false","false","true","42434056664701194",""
"a0sWE000002OkIUYA0","005al00000RVcKvAAL","false","Collateral-Titled-Ship","false","false","true","42437151313046644",""
"a0sWE000002OkIdYAK","005al00000RVcKvAAL","false","Collateral-Possessory-Savings/CDs","false","false","true","42440767386795598",""
"a0sWE000002OkIOYA0","005al00000RVcKvAAL","false","Collateral-Titled-Mobile Home","false","false","true","42461395767237886",""
"a0sWE000002OkITYA0","005al00000Q6IbCAAV","false","Collateral-Possessory-Stocks","false","false","true","42463981752592188",""
"a0sWE000002OkIKYA0","005al00000RVcKvAAL","false","Default Pledged Leased Asset Edit Screen","false","false","true","42524349854296463",""
"a0sWE000002OkIRYA0","005al00000Q6IbCAAV","false","Collateral-Possessory-Revocable Letter of Credit","false","false","true","42576262737384334",""
"a0sWE000002OkIYYA0","005al00000RVcKvAAL","false","Collateral-Titled-Aircraft","false","false","true","42581909766045101",""
"a0sWE000002Okm2YAC","005al00000RVcKvAAL","false","Titled Default Pledged Collateral Edit Screen","false","false","true","42617227847727072",""
"a0sWE000002OkIIYA0","005al00000Q6IbCAAV","false","Collateral-Possessory-Mutual Fund","false","false","true","42639155007632757",""
"a0sWE000002OkIZYA0","005al00000RVcKvAAL","false","Collateral-Possessory-Securities","false","false","true","42653954664465365",""
"a0sWE000002OkISYA0","005al00000RVcKvAAL","false","Collateral-Titled-Pleasure Boat","false","false","true","42703575356168779",""
"a0sWE000002OknCYAS","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42742750444485483",""
"a0sWE000002OkILYA0","005al00000Q6IbCAAV","false","Collateral-Possessory-Irrevocable Letter of Credit","false","false","true","42801016480660056",""
"a0sWE000002Oko2YAC","005al00000RVcKvAAL","false","UCC Default Pledged Collateral Edit Screen","false","false","true","42823550212584926",""
"a0sWE000002OkoJYAS","005al00000RVcKvAAL","false","Possessory Default Pledged Collateral Edit Screen","false","false","true","42855467987240797",""
"a0sWE000002OkINYA0","005al00000RVcKvAAL","false","Collateral-Titled-Trailer","false","false","true","42860084203432194",""
"a0sWE000002OkIcYAK","005al00000RVcKvAAL","false","Collateral-Possessory-Other Possessory","false","false","true","42868736103271902",""
"a0sWE000002OlGCYA0","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42871665770611153",""
"a0sWE000002OkIQYA0","005al00000RVcKvAAL","false","Collateral-Real Estate","false","false","true","42875581032868363",""
"a0sWE000002OkIVYA0","005al00000Q6IbCAAV","false","Collateral-Possessory-Term Life","false","false","true","42902788784356696",""
"a0sWE000002OkIgYAK","005al00000RVcKvAAL","false","Collateral-Titled-Motor Vehicle","false","false","true","42913737407936953",""
"a0sWE000002OkIWYA0","005al00000RVcKvAAL","false","Collateral-UCC","false","false","true","42966783217336788",""
"a0sWE000002Okq3YAC","005al00000RVcKvAAL","false","Test-47098","false","false","true","47098",""
