"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWE00000DmG6JYAV","false","SC-000019582","a0qWE00000RmhNFYAZ","1.01","Pledge_Collateral_Override","","","false","","","","","false","123471263486124956","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6KYAV","false","SC-000019583","a0qWE00000RmhNHYAZ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","128346834124926912","LLC_BI__Collateral__c"
"a0vWE00000DmKnLYAV","false","SC-000020638","a0qWE00000RmlAbYAJ","1.01","","","","false","","","","","false","2435764","test-object"
"a0vWE00000DmG6LYAV","false","SC-000019584","a0qWE00000RmhNdYAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","345665435346723627545","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6MYAV","false","SC-000019585","a0qWE00000RmhMwYAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","34566786551456374667","LLC_BI__Collateral__c"
"a0vWE00000DmG6NYAV","false","SC-000019586","a0qWE00000RmhNKYAZ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","34597864358734287569","LLC_BI__Collateral__c"
"a0vWE00000DmG6OYAV","false","SC-000019587","a0qWE00000RmhNWYAZ","1.01","Pledge_Collateral_Override","","","false","","","","","false","366562457038518356","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6PYAV","false","SC-000019588","a0qWE00000RmhMpYAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42001121331500796","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6QYAV","false","SC-000019589","a0qWE00000RmhN8YAJ","1.01","UCC_Collateral_Valuation","","0.0","false","","","Collateral Valuation","","false","42001690159558524","LLC_BI__Collateral__c"
"a0vWE00000DmG6RYAV","false","SC-000019590","a0qWE00000RmhMuYAJ","1.01","Collateral_Valuation_Titled_Ship","","0.0","false","","","Collateral Valuation","","false","42012762933282167","LLC_BI__Collateral__c"
"a0vWE00000DmG6SYAV","false","SC-000019591","a0qWE00000RmhN4YAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016530666628131","LLC_BI__Collateral__c"
"a0vWE00000DmG6TYAV","false","SC-000019592","a0qWE00000RmhNkYAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016811662619443","LLC_BI__Collateral__c"
"a0vWE00000DmG6UYAV","false","SC-000019593","a0qWE00000RmhMtYAJ","1.01","Collateral_Valuation_Titled_Aircraft","","0.0","false","","","Collateral Valuation","","false","42017258841327368","LLC_BI__Collateral__c"
"a0vWE00000DmKiqYAF","false","SC-000020359","a0qWE00000Rmjg1YAB","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42021803137064143","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6VYAV","false","SC-000019594","a0qWE00000RmhN6YAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42035299851856958","LLC_BI__Collateral__c"
"a0vWE00000DmG6WYAV","false","SC-000019595","a0qWE00000RmhNEYAZ","1.01","Collateral_Valuation_Possessory_Securiti","","","false","","","","","false","42056536356227109","LLC_BI__Collateral__c"
"a0vWE00000DmG6XYAV","false","SC-000019596","a0qWE00000RmhN3YAJ","1.01","Collateral_Valuation_Possessory_Other","","","false","","","","","false","42062414693837949","LLC_BI__Collateral__c"
"a0vWE00000DmKisYAF","false","SC-000020361","a0qWE00000RmkZxYAJ","1.01","SBL_Pledge_Collateral_Override","","","false","","","","","false","42080298160439060","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmKpwYAF","false","SC-000020799","a0qWE00000Rmjd0YAB","1.01","LLC_BI__Bulk_Pledge_Details","","","false","","","","","false","42102009094136500","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6YYAV","false","SC-000019597","a0qWE00000RmhMhYAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42105504139904275","LLC_BI__Collateral__c"
"a0vWE00000DmG6FYAV","false","SC-000019578","a0qWE00000RmhMTYAZ","1.01","LLC_BI__Collateral_Modal_Details","","","false","","","Details","","false","42107958853547987","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmKiwYAF","false","SC-000020365","a0qWE00000RmkcIYAR","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42143434852308312","LLC_BI__Collateral__c"
"a0vWE00000DmG6ZYAV","false","SC-000019598","a0qWE00000RmhMxYAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42147866350266157","LLC_BI__Collateral__c"
"a0vWE00000DmG6aYAF","false","SC-000019599","a0qWE00000RmhMyYAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42159007666787935","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6GYAV","false","SC-000019579","a0qWE00000RmhMWYAZ","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42166220978297466","LLC_BI__Loan_Collateral2__c"
"a0vWE00000DmG6bYAF","false","SC-000019600","a0qWE00000RmhNpYAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42183608085695102","LLC_BI__Collateral__c"
