"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Description__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a4eWD000000f5AFYAY","005al00000RVvFOAA1","false","Loan Assistant","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","42146639854510830"
"a4eWD000000f5AGYAY","005al00000Q6IbCAAV","false","Loan Processor","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","42353013574271057"
"a4eWD000000f5AHYAY","005al00000Q6IbCAAV","false","Document Specialist","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","42904076123240639"
"a4eWE0000018jYsYAI","005al00000RVcKvAAL","false","Borrower","2026-06-26T15:12:06.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","Primary borrower responsible for the loan obligation","","ROLE_BRW01"
"a4eWE0000018jYuYAI","005al00000RVcKvAAL","false","Co-Borrower","2026-06-26T15:12:06.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","Secondary borrower sharing responsibility for the loan","","ROLE_CBR03"
"a4eWE0000018jYvYAI","005al00000RVcKvAAL","false","Collateral Owner","2026-06-26T15:12:06.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","Owner of collateral pledged against the credit facility","","ROLE_COW04"
"a4eWE0000018jYtYAI","005al00000RVcKvAAL","false","Guarantor","2026-06-26T15:12:06.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","Individual or entity guaranteeing repayment of the loan","","ROLE_GRT02"
"a4eWE0000018jYrYAI","005al00000RVcKvAAL","false","Trustee","2026-06-26T15:12:06.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","Fiduciary party managing assets on behalf of the trust","","ROLE_TRS05"
"a4eWD000000f5AEYAY","005al00000Q6IbCAAV","false","Credit Analyst / Underwriter","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nal00000H3k69AAB"
"a4eWD000000f5AIYAY","005al00000Q6IbCAAV","false","Closer","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nal00000H3k6AAAR"
"a4eWD000000f5AJYAY","005al00000Q6IbCAAV","false","Portfolio Manager","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nal00000H3k6BAAR"
"a4eWD000000f5AKYAY","005al00000Q6IbCAAV","false","Loan Ops","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nal00000H3k6CAAR"
"a4eWD000000f5ADYAY","005al00000Q6IbCAAV","false","Loan Officer","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nal00000H3k6DAAR"
"a4eWE000001CwNpYAK","005al00000RVvFOAA1","false","Credit Analyst / Underwriter","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nbn000001OLhLAAW"
"a4eWE000001CwNqYAK","005al00000RVvFOAA1","false","Closer","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nbn000001OLhMAAW"
"a4eWE000001CwNrYAK","005al00000RVvFOAA1","false","Portfolio Manager","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nbn000001OLhNAAW"
"a4eWE000001CwNsYAK","005al00000RVvFOAA1","false","Loan Approver","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","","a1nbn000001OLhOAAW"
"a4eWE000001CwNtYAK","005al00000RVvFOAA1","false","Loan Approver Queue","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","","a1nbn000001OLhPAAW"
"a4eWE000001CwNuYAK","005al00000RVvFOAA1","false","Loan Ops","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nbn000001OLhQAAW"
"a4eWE000001CwNvYAK","005al00000RVvFOAA1","false","Loan Officer","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nbn000001OLhRAAW"
"a4eWE000001CwNwYAK","005al00000RVvFOAA1","false","Special Assets","2026-07-20T11:41:44.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","TEAM_ROLES","a1nbn000001OLhSAAW"
"a4eWE0000019kr3YAA","005al00000RVcKvAAL","false","Universal Banker","2026-07-05T04:39:58.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","Team_Member__c","a3Wam000000DHPdEAO"
"a4eWE0000019kr4YAA","005al00000RVcKvAAL","false","Underwriter","2026-07-05T04:39:58.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","Team_Member__c","a3Wam000000DHPeEAO"
"a4eWE0000019kr5YAA","005al00000RVcKvAAL","false","Processor","2026-07-05T04:39:58.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","Team_Member__c","a3Wam000000DHPfEAO"
"a4eWE0000019kr6YAA","005al00000RVcKvAAL","false","Doc Prep","2026-07-05T04:39:58.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","Team_Member__c","a3Wam000000DHPgEAO"
"a4eWE0000019kr7YAA","005al00000RVcKvAAL","false","Relationship Manager","2026-07-05T04:39:58.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","Team_Member__c","a3Wam000000DHPhEAO"
"a4eWE0000019kr8YAA","005al00000RVcKvAAL","false","Approving Manager","2026-07-05T04:39:58.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","005al00000RVcKvAAL","2026-07-22T14:41:04.000Z","","","","","Team_Member__c","a3Wam000000DHPiEAO"
