"Id","OwnerId","IsDeleted","Name","nFORMS__Description__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c","nFORMS__Document_Output_Type__c"
"a5rWD000000E0szYAC","005al00000RVcKvAAL","false","Test-QA-FormTemplate","Test","true","true","","General","true","pdf","Inches","","Form","false","HTML","123456796123","PDF"
"a5rWD000000E0t0YAC","005al00000RVcKvAAL","false","QA-Lightning-FormsTemplate002-Name","","true","true","","General","true","Test","Inches","","Account","true","HTML","123875271856312","PDF"
"a5rWD000000E0t1YAC","005al00000RVcKvAAL","false","QA-Lightning-FormsManager-002","","true","true","","General","true","DocumentType_Output","Inches","","Account","true","HTML","127652138712836","HTML"
"a5rWD000000E0tIYAS","005al00000RVcKvAAL","false","FM045 Personal Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","4.20206E+16","Word"
"a5rWD000000E0tJYAS","005al00000RVcKvAAL","false","FM055 Prec Joint & Several Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20424E+16","Word"
"a5rWD000000E0tKYAS","005al00000RVcKvAAL","false","LT018 Removal of Financial Covenant","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20559E+16","Word"
"a5rWD000000E0tLYAS","005al00000RVcKvAAL","false","FM075 Trust Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20719E+16","Word"
"a5rWD000000E0tMYAS","005al00000RVcKvAAL","false","LT014 Consent to Lease","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2071E+16","Word"
"a5rWD000000E0tNYAS","005al00000RVcKvAAL","false","FM072 Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20774E+16","Word"
"a5rWD000000E0t2YAC","005al00000RVcKvAAL","false","Standard Commercial Form","Standard Commercial Form","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","4.2081E+16","HTML"
"a5rWD000000E0tOYAS","005al00000RVcKvAAL","false","FM051 Prec Cross Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20821E+16","Word"
"a5rWD000000E0tPYAS","005al00000RVcKvAAL","false","FM027 Indicative Offer","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20938E+16","Word"
"a5rWD000000E0tQYAS","005al00000RVcKvAAL","false","LT019 Undertaking/Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2098E+16","Word"
"a5rWD000000E0tRYAS","005al00000RVcKvAAL","false","LT004 Redemption Statement","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21035E+16","Word"
"a5rWD000000E0tSYAS","005al00000RVcKvAAL","false","FM074 Trust Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21088E+16","Word"
"a5rWD000000E0tTYAS","005al00000RVcKvAAL","false","Third Party Report","","true","true","","General","false","Word","Inches","","LLC_BI__third_party_report__c","false","Word","4.21301E+16","Word"
"a5rWD000000E0tUYAS","005al00000RVcKvAAL","false","FM071 Precedent CP Schedule","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21815E+16","Word"
"a5rWD000000E0tVYAS","005al00000RVcKvAAL","false","LT015 Fin Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21909E+16","Word"
"a5rWD000000E0tWYAS","005al00000RVcKvAAL","false","LT021 Consent to Security","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2198E+16","Word"
"a5rWD000000E0tXYAS","005al00000RVcKvAAL","false","Small Business Credit Memo - TEST","","true","true","","Credit Memo","false","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.22163E+16","HTML"
"a5rWD000000E0tYYAS","005al00000RVcKvAAL","false","FM013 Third Party report Request","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.22676E+16","Word"
"a5rWD000000E0tZYAS","005al00000RVcKvAAL","false","Modification Request","Modification Template","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","true","HTML","4.22876E+16","HTML"
"a5rWD000000E0taYAC","005al00000RVcKvAAL","false","FM052 Prec Debenture","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23218E+16","Word"
"a5rWD000000E0tbYAC","005al00000RVcKvAAL","false","FM070 B2L Loan Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23228E+16","Word"
"a5rWD000000E0tcYAC","005al00000RVcKvAAL","false","Jay Test","","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.23431E+16","HTML"
"a5rWD000000E0t3YAC","005al00000RVcKvAAL","false","FM032 Short Form Review","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2391E+16","Word"
"a5rWD000000E0tdYAC","005al00000RVcKvAAL","false","FM076 Business Profile Additional info","","true","true","","General","false","Word","Inches","","Account","false","Word","4.24092E+16","Word"
"a5rWD000000E0teYAC","005al00000RVcKvAAL","false","LT020 Undertaking/Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24464E+16","Word"
"a5rWD000000E0tfYAC","005al00000RVcKvAAL","false","LT022 Consent to Security follow up","","true","true","","General","false","Word","Inches","","Account","false","Word","4.24643E+16","Word"
"a5rWD000000E0t4YAC","005al00000RVcKvAAL","false","FM065 DS1 Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24733E+16","Word"
"a5rWD000000E0tgYAC","005al00000RVcKvAAL","false","FM061 Board Minutes","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24795E+16","Word"
"a5rWD000000E0thYAC","005al00000RVcKvAAL","false","LT023 Cert of Covenant Compliance","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24897E+16","Word"
"a5rWD000000E0tiYAC","005al00000RVcKvAAL","false","LT017 Letter of Non Crystalisation","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24958E+16","Word"
"a5rWD000000E0tjYAC","005al00000RVcKvAAL","false","FM056 Prec Legal Charge B2L","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25084E+16","Word"
"a5rWD000000E0t5YAC","005al00000RVcKvAAL","false","FM036 Borrowers Application Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25126E+16","Word"
"a5rWD000000E0tkYAC","005al00000RVcKvAAL","false","FM068 Sole Director Resolution","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25171E+16","Word"
"a5rWD000000E0tlYAC","005al00000RVcKvAAL","false","FM069 B2L Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25281E+16","Word"
"a5rWD000000E0tmYAC","005al00000RVcKvAAL","false","FM066 Report on Title","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25508E+16","Word"
"a5rWD000000E0tnYAC","005al00000RVcKvAAL","false","LT005 Decline Letter","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2569E+16","Word"
"a5rWD000000E0toYAC","005al00000RVcKvAAL","false","FM058 Prec Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.259E+16","Word"
"a5rWD000000E0tpYAC","005al00000RVcKvAAL","false","FM067 Board Resolution","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.26561E+16","Word"
"a5rWD000000E0tqYAC","005al00000RVcKvAAL","false","IN009 Watchlist 2a Action Plan","","true","true","","General","false","Word","Inches","","Account","false","Word","4.26612E+16","Word"
