"Id","OwnerId","IsDeleted","Name","LLC_BI__Formula__c","LLC_BI__Order_Number__c","LLC_BI__Schedule_Entry__c","LLC_BI__Schedule__c","LLC_BI__Show_Total__c","LLC_BI__Source_Section__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c","LLC_BI__Dropdown_Items__c","LLC_BI__Hide_Schedule_Section__c","LLC_BI__Is_Restricted_Dropdown__c","LLC_BI__Debt_Schedule__c","LLC_BI__Is_Sticky__c","LLC_BI__Rent_Roll__c"
"a4Zbn000000Qi4oEAC","005bn000003k2JdAAI","","SS-000000161","","800.0","Notes__c","a4sbn000000MUfdAAG","false","","","42001680138445361","","false","false","","false",""
"a4Zbn000000Qi3HEAS","005bn000003k2JdAAI","","SS-000000066","","10.0","LLC_BI__Creditor_Name__c","","false","","","42004410845919223","","false","false","a4fbn000000DpJKAA0","false",""
"a4Zbn000000Qi8lEAC","005bn000003k2JdAAI","","SS-000000406","","220.0","Utilities__c","a4sbn000000MUgLAAW","true","","a18bn000001a1tBAAQ","42005797611333848","","false","false","","false",""
"a4Zbn000000Qi9FEAS","005bn000003k2JdAAI","","SS-000000436","","120.0","Utilities__c","a4sbn000000MUgQAAW","true","","a18bn000001a1PxAAI","42007815133967189","","false","false","","false",""
"a4Zbn000000Qi6YEAS","005bn000003k2JdAAI","","SS-000000269","","100.0","Description__c","a4sbn000000MUg9AAG","false","","","42007872039110311","","false","false","","false",""
"a4Zbn000000Qi76EAC","005bn000003k2JdAAI","","SS-000000303","","30.0","Advertising__c","a4sbn000000MUgEAAW","true","","a18bn000001a1p6AAA","42011048586444604","","false","false","","false",""
"a4Zbn000000Qi7gEAC","005bn000003k2JdAAI","","SS-000000339","","200.0","Revenue__c","a4sbn000000MUgHAAW","true","","","42011975828383138","","false","false","","false",""
"a4Zbn000000Qi6GEAS","005bn000003k2JdAAI","","SS-000000250","","300.0","Weight__c","a4sbn000000MUg4AAG","false","","","42021223580333414","","false","false","","false",""
"a4Zbn000000Qi9IEAS","005bn000003k2JdAAI","","SS-000000439","","150.0","Other_Expenses__c","a4sbn000000MUgQAAW","true","","a18bn000001a1Q0AAI","42023061181797750","","false","false","","false",""
"a4Zbn000000Qi6TEAS","005bn000003k2JdAAI","","SS-000000264","","400.0","Price_Per_Unit__c","a4sbn000000MUg6AAG","false","","","42024702448802114","","false","false","","false",""
"a4Zbn000000Qi8cEAC","005bn000003k2JdAAI","","SS-000000397","","120.0","Interest_Paid_to_Banks__c","a4sbn000000MUgLAAW","true","","a18bn000001a1t0AAA","42028936442343918","","false","false","","false",""
"a4Zbn000000Qi3QEAS","005bn000003k2JdAAI","","SS-000000075","","50.0","LLC_BI__Principal_Balance__c","","true","","","42031540866216966","","false","false","a4fbn000000DpJLAA0","false",""
"a4Zbn000000Qi98EAC","005bn000003k2JdAAI","","SS-000000429","","60.0","Commissions__c","a4sbn000000MUgQAAW","true","","a18bn000001a1PtAAI","42033828303213370","","false","false","","false",""
"a4Zbn000000Qi7lEAC","005bn000003k2JdAAI","","SS-000000344","","220.0","Debt_Service__c","a4sbn000000MUgMAAW","true","","","42037810754716752","","false","false","","false",""
"a4Zbn000000Qi7cEAC","005bn000003k2JdAAI","","SS-000000335","","800.0","Other_Interest__c","a4sbn000000MUgHAAW","true","","a18bn000001a1q0AAA","42043901550370310","","false","false","","false",""
"a4Zbn000000Qi8NEAS","005bn000003k2JdAAI","","SS-000000382","","50.0","Car_and_Truck_Expense__c","a4sbn000000MUgLAAW","true","","a18bn000001a1gAAAQ","42046492615679982","","false","false","","false",""
"a4Zbn000000Qi3EEAS","005bn000003k2JdAAI","","SS-000000063","","70.0","Current_Interest_Rate__c","","false","","","42049484514766096","","false","false","a4fbn000000DpJKAA0","false",""
"a4Zbn000000Qi3xEAC","005bn000003k2JdAAI","","SS-000000108","{{scheduleEntry:principalBalance}}-{{scheduleEntry:currentPrincipal}}","130.0","Long_Term_Principal__c","","true","","","42050970431523868","","false","false","a4fbn000000DpJMAA0","false",""
"a4Zbn000000Qi7dEAC","005bn000003k2JdAAI","","SS-000000336","{{scheduleEntry:grossIncome}} / {{scheduleEntry:revenue}}","500.0","Gross_Profit_Margin__c","a4sbn000000MUgHAAW","false","","","42051997752248089","","false","false","","false",""
"a4Zbn000000Qi3eEAC","005bn000003k2JdAAI","","SS-000000089","{{scheduleEntry:principalBalance}}-{{scheduleEntry:currentPrincipal}}","130.0","Long_Term_Principal__c","","true","","","42052361358644235","","false","false","a4fbn000000DpJIAA0","false",""
"a4Zbn000000Qi3hEAC","005bn000003k2JdAAI","","SS-000000091","","150.0","LLC_BI__Excluded_Reason__c","","false","","","42054818289403308","","false","false","a4fbn000000DpJIAA0","false",""
"a4Zbn000000Qi8vEAC","005bn000003k2JdAAI","","SS-000000416","{{scheduleEntry:cashFlow}}/{{scheduleEntry:debtService}}","190.0","Debt_Service_Coverage__c","a4sbn000000MUgQAAW","false","","","42055410117547414","","false","false","","false",""
"a4Zbn000000Qi8rEAC","005bn000003k2JdAAI","","SS-000000412","","70.0","Contract_Labor__c","a4sbn000000MUgLAAW","true","","a18bn000001a1gBAAQ","42056282217323977","","false","false","","false",""
"a4Zbn000000Qi2iEAC","005bn000003k2JdAAI","","SS-000000031","","905.0","LLC_BI__Date_Of_Last_Payment__c","","false","","","42058460097744502","","false","false","a4fbn000000DpJJAA0","false",""
"a4Zbn000000Qi5cEAC","005bn000003k2JdAAI","","SS-000000211","","200.0","Value__c","a4sbn000000MUfxAAG","true","","a18bn000001a1dzAAA","42066580084518130","","false","false","","false",""
"a4Zbn000000Qi5TEAS","005bn000003k2JdAAI","","SS-000000202","","100.0","Description__c","a4sbn000000MUfsAAG","false","","","42068121315975744","","false","false","","false",""
"a4Zbn000000Qi7nEAC","005bn000003k2JdAAI","","SS-000000346","{{scheduleEntry:netIncome}}+{{scheduleEntry:interestPaidToBanks}}+{{scheduleEntry:otherInterest}}+{{scheduleEntry:depreciationOrDepletion}}+{{scheduleEntry:amortization}}","210.0","Cash_Flow__c","a4sbn000000MUgMAAW","true","","","42073157570008701","","false","false","","false",""
"a4Zbn000000Qi2cEAC","005bn000003k2JdAAI","","SS-000000025","IF(AND({{scheduleEntry:creditor}}!==""Ours"",{{scheduleEntry:type}}===""Intermediate""), ({{scheduleEntry:principalBalance}}-{{scheduleEntry:principalPerYear}}),0)","1500.0","Intermediate_Portion_Other__c","","true","","a18bn000001a1dsAAA","42074868296660854","","true","false","a4fbn000000DpJJAA0","false",""
"a4Zbn000000Qi3JEAS","005bn000003k2JdAAI","","SS-000000068","","20.0","LLC_BI__Account_Number__c","","false","","","42076530565069305","","false","false","a4fbn000000DpJLAA0","false",""
"a4Zbn000000Qi5PEAS","005bn000003k2JdAAI","","SS-000000198","","200.0","Number__c","a4sbn000000MUfrAAG","false","","","42078752161633393","","false","false","","false",""
