"Id","OwnerId","IsDeleted","Name","LLC_BI__Bundle__c","LLC_BI__Is_Template__c","LLC_BI__Source_Schedule__c","LLC_BI__Table_Format__c","LLC_BI__lookupKey__c"
"a4sbn000000MUfZAAW","005bn000003k2JdAAI","","Marketable Securities","a1Gbn00002PhBaREAV","true","","Horizontal","42005522092018489"
"a4sbn000000MUfjAAG","005bn000003k2JdAAI","","Other Intermediate Assets","a1Gbn00002PhBaREAV","true","","Horizontal","42020575344400210"
"a4sbn000000MUg3AAG","005bn000003k2JdAAI","","Purchased Breeding Stock","a1Gbn00002PhBaREAV","true","","Horizontal","42060876273378323"
"a4sbn000000MUfiAAG","005bn000003k2JdAAI","","CPLTD - Other Unsecured","a1Gbn00002PhBaREAV","true","","Horizontal","42085234356390714"
"a4sbn000000MUgKAAW","005bn000003k2JdAAI","","Schedule D LT","a1Gbn00002PhBaUEAV","true","","Horizontal","42105279659591027"
"a4sbn000000MUffAAG","005bn000003k2JdAAI","","Personal Current Assets","a1Gbn00002PhBaREAV","true","","Horizontal","42123985821903498"
"a4sbn000000MUfeAAG","005bn000003k2JdAAI","","Land","a1Gbn00002PhBaREAV","true","","Horizontal","42124396946743761"
"a4sbn000000MUfuAAG","005bn000003k2JdAAI","","Other Long Term Liabs","a1Gbn00002PhBaREAV","true","","Horizontal","42130523076239758"
"a4sbn000000MUgHAAW","005bn000003k2JdAAI","","Schedule C Cash Flow","a1Gbn00002PhBaSEAV","true","","Horizontal","42170351103052138"
"a4sbn000000MUgJAAW","005bn000003k2JdAAI","","Value Closely Held Business Entities","a1Gbn00002PhBaSEAV","true","","Horizontal","42175303307171269"
"a4sbn000000MUfYAAW","005bn000003k2JdAAI","","Personal Long Term Assets","a1Gbn00002PhBaREAV","true","","Horizontal","42177075772391707"
"a4sbn000000MUg0AAG","005bn000003k2JdAAI","","Buildings and Improvements","a1Gbn00002PhBaREAV","true","","Horizontal","42204147522193345"
"a4sbn000000MUg8AAG","005bn000003k2JdAAI","","Custom Hire Income","a1Gbn00002PhBaREAV","true","","Horizontal","42213704764804994"
"a4sbn000000MUgFAAW","005bn000003k2JdAAI","","Other Deductions","a1Gbn00002PhBaTEAV","true","","Horizontal","42235764856677396"
"a4sbn000000MUg9AAG","005bn000003k2JdAAI","","Coop Distributions","a1Gbn00002PhBaREAV","true","","Horizontal","42246427034137002"
"a4sbn000000MUgGAAW","005bn000003k2JdAAI","","Schedule K-1 Cash Flow","a1Gbn00002PhBaSEAV","true","","Horizontal","42304004981047515"
"a4sbn000000MUfTAAW","005bn000003k2JdAAI","","Raised Breeding Stock","a1Gbn00002PhBaREAV","true","","Horizontal","42316516319954740"
"a4sbn000000MUgQAAW","005bn000003k2JdAAI","","8825","a1Gbn00002PhBaYEAV","true","","Horizontal","42319344205716625"
"a4sbn000000MUflAAG","005bn000003k2JdAAI","","CPLTD - Bank","a1Gbn00002PhBaREAV","true","","Horizontal","42331698754215651"
"a4sbn000000MUgDAAW","005bn000003k2JdAAI","","Investment Real Estate","a1Gbn00002PhBaSEAV","true","","Horizontal","42342820650198756"
"a4sbn000000MUfyAAG","005bn000003k2JdAAI","","Accounts Receivable","a1Gbn00002PhBaREAV","true","","Horizontal","42360513494564750"
"a4sbn000000MUg7AAG","005bn000003k2JdAAI","","Other Farm Income","a1Gbn00002PhBaREAV","true","","Horizontal","42400142598444462"
"a4sbn000000MUfgAAG","005bn000003k2JdAAI","","Notes Payable ST","a1Gbn00002PhBaREAV","true","","Horizontal","42428192116296309"
"a4sbn000000MUfWAAW","005bn000003k2JdAAI","","Other Intermediate Liabs","a1Gbn00002PhBaREAV","true","","Horizontal","42432732517824191"
"a4sbn000000MUfvAAG","005bn000003k2JdAAI","","Personal Intermediate Liabs","a1Gbn00002PhBaREAV","true","","Horizontal","42444984599768069"
"a4sbn000000MUgPAAW","005bn000003k2JdAAI","","K-1","a1Gbn00002PhBaUEAV","true","","Horizontal","42446894436491784"
"a4sbn000000MUfbAAG","005bn000003k2JdAAI","","Personal Intermediate Assets","a1Gbn00002PhBaREAV","true","","Horizontal","42450894091756145"
"a4sbn000000MUfOAAW","005bn000003k2JdAAI","","Other Current Assets","a1Gbn00002PhBaREAV","true","","Horizontal","42466371207829934"
"a4sbn000000MUgNAAW","005bn000003k2JdAAI","","Wages and Salaries","a1Gbn00002PhBaUEAV","true","","Horizontal","42470188168168484"
"a4sbn000000MUg6AAG","005bn000003k2JdAAI","","Milk Sales","a1Gbn00002PhBaREAV","true","","Horizontal","42479871184641853"
"a4sbn000000MUfcAAG","005bn000003k2JdAAI","","Long Term Debt - Other","a1Gbn00002PhBaREAV","true","","Horizontal","42480252274117442"
"a4sbn000000MUg2AAG","005bn000003k2JdAAI","","Livestock Product Sales","a1Gbn00002PhBaREAV","true","","Horizontal","42489681420879809"
"a4sbn000000MUg1AAG","005bn000003k2JdAAI","","Crop Inventory","a1Gbn00002PhBaREAV","true","","Horizontal","42498874137862684"
"a4sbn000000MUfRAAW","005bn000003k2JdAAI","","Growing Crops","a1Gbn00002PhBaREAV","true","","Horizontal","42507675843513607"
"a4sbn000000MUfQAAW","005bn000003k2JdAAI","","Personal Current Liabs","a1Gbn00002PhBaREAV","true","","Horizontal","42508531213337908"
"a4sbn000000MUgOAAW","005bn000003k2JdAAI","","Schedule D ST","a1Gbn00002PhBaUEAV","true","","Horizontal","42508599067507986"
"a4sbn000000MUfPAAW","005bn000003k2JdAAI","","Prepaids Deferreds","a1Gbn00002PhBaREAV","true","","Horizontal","42508931665425631"
"a4sbn000000MUgMAAW","005bn000003k2JdAAI","","Schedule E","a1Gbn00002PhBaUEAV","true","","Horizontal","42531502403564000"
"a4sbn000000MUgEAAW","005bn000003k2JdAAI","","8825","a1Gbn00002PhBaTEAV","true","","Horizontal","42553884797608418"
"a4sbn000000MUg4AAG","005bn000003k2JdAAI","","Market Livestock & Poultry","a1Gbn00002PhBaREAV","true","","Horizontal","42571218804606993"
"a4sbn000000MUfsAAG","005bn000003k2JdAAI","","Long Term Debt - Ours","a1Gbn00002PhBaREAV","true","","Horizontal","42605650745623607"
"a4sbn000000MUgBAAW","005bn000003k2JdAAI","","Non Farm Income","a1Gbn00002PhBaREAV","true","","Horizontal","42607727193867563"
"a4sbn000000MUfhAAG","005bn000003k2JdAAI","","ST Loans","a1Gbn00002PhBaREAV","true","","Horizontal","42611089819075921"
"a4sbn000000MUgIAAW","005bn000003k2JdAAI","","Schedule E Cash Flow","a1Gbn00002PhBaSEAV","true","","Horizontal","42638975926063816"
"a4sbn000000MUfXAAW","005bn000003k2JdAAI","","Other Long Term Assets","a1Gbn00002PhBaREAV","true","","Horizontal","42647037124213217"
"a4sbn000000MUfwAAG","005bn000003k2JdAAI","","Machinery & Equipment","a1Gbn00002PhBaREAV","true","","Horizontal","42679104824064788"
"a4sbn000000MUfpAAG","005bn000003k2JdAAI","","Intermediate Term Debt - Ours","a1Gbn00002PhBaREAV","true","","Horizontal","42690687179248519"
"a4sbn000000MUfxAAG","005bn000003k2JdAAI","","Personal Long Term Liabs","a1Gbn00002PhBaREAV","true","","Horizontal","42725788486858476"
"a4sbn000000MUgLAAW","005bn000003k2JdAAI","","Schedule C","a1Gbn00002PhBaUEAV","true","","Horizontal","42725931228468132"
"a4sbn000000MUfrAAG","005bn000003k2JdAAI","","Breeding Stock Inventory","a1Gbn00002PhBaREAV","true","","Horizontal","42727808209802180"
"a4sbn000000MUfmAAG","005bn000003k2JdAAI","","Other Fixed Assets","a1Gbn00002PhBaREAV","true","","Horizontal","42739764442826991"
"a4sbn000000MUgCAAW","005bn000003k2JdAAI","","Grain Inventory","a1Gbn00002PhBaREAV","true","","Horizontal","42756148719438925"
"a4sbn000000MUfdAAG","005bn000003k2JdAAI","","Crop Sales","a1Gbn00002PhBaREAV","true","","Horizontal","42759711623913651"
"a4sbn000000MUfzAAG","005bn000003k2JdAAI","","Market Livestock & Poultry Sales","a1Gbn00002PhBaREAV","true","","Horizontal","42765370311618128"
"a4sbn000000MUg5AAG","005bn000003k2JdAAI","","Land Rent Expense","a1Gbn00002PhBaREAV","true","","Horizontal","42796709441318891"
"a4sbn000000MUfaAAG","005bn000003k2JdAAI","","Other Operating Current Liabs","a1Gbn00002PhBaREAV","true","","Horizontal","42798594000515058"
"a4sbn000000MUfqAAG","005bn000003k2JdAAI","","Intermediate Term Debt - Other","a1Gbn00002PhBaREAV","true","","Horizontal","42826088656480771"
"a4sbn000000MUfNAAW","005bn000003k2JdAAI","","Vehicles","a1Gbn00002PhBaREAV","true","","Horizontal","42831930911276950"
"a4sbn000000MUfoAAG","005bn000003k2JdAAI","","Accrued Interest","a1Gbn00002PhBaREAV","true","","Horizontal","42834703266872278"
"a4sbn000000MUfkAAG","005bn000003k2JdAAI","","Accounts Payable Trade","a1Gbn00002PhBaREAV","true","","Horizontal","42847524418680948"
"a4sbn000000MUfSAAW","005bn000003k2JdAAI","","Cash and Equivalents","a1Gbn00002PhBaREAV","true","","Horizontal","42851390577153853"
"a4sbn000000MUgAAAW","005bn000003k2JdAAI","","Other Farm Expenses","a1Gbn00002PhBaREAV","true","","Horizontal","42859530099586731"
"a4sbn000000MUfVAAW","005bn000003k2JdAAI","","CPLTD - Other Secured","a1Gbn00002PhBaREAV","true","","Horizontal","42920118052537431"
"a4sbn000000MUgRAAW","005bn000003k2JdAAI","","Other Deductions","a1Gbn00002PhBaYEAV","true","","Horizontal","42930150758613031"
"a4sbn000000MUfUAAW","005bn000003k2JdAAI","","Stock in Co Ops","a1Gbn00002PhBaREAV","true","","Horizontal","42943694647962238"
"a4sbn000000MUftAAG","005bn000003k2JdAAI","","Livestock Products","a1Gbn00002PhBaREAV","true","","Horizontal","42979153893028348"
"a4sbn000000MUfnAAG","005bn000003k2JdAAI","","Income Taxes Payable","a1Gbn00002PhBaREAV","true","","Horizontal","42983388598168466"
