"Id","OwnerId","IsDeleted","Name","nFORMS__Description__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Primary_Object__c","nFORMS__Filter__c","nFORMS__Enforce_Masking__c","nFORMS__Save_To_Docman__c","nFORMS__lookupKey__c","nFORMS__Form_Purpose__c","nFORMS__Enable_FLS__c","nFORMS__Document_Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Template_Input_Type__c"
"a1sbn0000010aXcAAI","005bn000003k2JdAAI","false","Standard Commercial Form","Standard Commercial Form","true","HTML","LLC_BI__Product_Package__c","","true","false","42081037088623546","Credit Memo","true","HTML","","","HTML"
"a1sbn0000010aXbAAI","005bn000003k2JdAAI","false","Modification Request","Modification Template","true","HTML","LLC_BI__Product_Package__c","","true","true","42287555452295220","Credit Memo","true","HTML","","","HTML"
"a1sbn0000010aXaAAI","005bn000003k2JdAAI","false","Boarding Data Sheet","Loan Boarding Data Sheet","true","Word","LLC_BI__Loan__c","","true","false","42720351860149510","General","true","Word","","","Word"
"a1sbn0000010aXdAAI","005bn000003k2JdAAI","false","Standard Commercial Short Form","Use this credit template for standard commercial loans.","true","HTML","LLC_BI__Product_Package__c","","true","false","42739175983591357","Credit Memo","true","HTML","","","HTML"
"a1sbn0000014PeTAAU","005bn000003k2JdAAI","false","Small Business Credit Memo","Credit Memo for all Small Business loans","true","HTML","LLC_BI__Loan__c","","true","true","42782395031682678","Credit Memo","true","HTML","","","HTML"
"a1sbn0000010aXnAAI","005bn000003k2JdAAI","false","Review Credit Memo","Review Credit Memo","true","HTML","LLC_BI__Review__c","","true","false","42939755381098155","Credit Memo","true","HTML","","","HTML"
"a1sbn0000010aXoAAI","005bn000003k2JdAAI","false","Commerial Credit Memo","","true","HTML","LLC_BI__Product_Package__c","","true","false","42966989010402205","Credit Memo","true","HTML","Inches","","HTML"
"a1sbn0000010aXeAAI","005bn000003k2JdAAI","false","Commitment Letter / Term Sheet","Generic Term Sheet","true","PDF","LLC_BI__Loan__c","","true","false","42972107535279122","General","true","PDF","","","Word"
"a1sbn0000010aXZAAY","005bn000003k2JdAAI","false","Authorization to Pull Credit","Use this form to collect a customer signature to pull credit score","true","Word","Account","","false","false","a1sbn0000010aXZAAY","","false","Word","","","Word"
"a1sbn0000010aXfAAI","005bn000003k2JdAAI","false","Document Checklist","","false","Word","LLC_BI__Loan__c","","true","false","a1sbn0000010aXfAAI","Credit Memo","false","Word","","","Word"
"a1sbn0000010aXgAAI","005bn000003k2JdAAI","false","Adverse Action Letter","nCino Gold Standard Adverse Action Letter.","true","Word","LLC_BI__Loan__c","","false","false","a1sbn0000010aXgAAI","","false","Word","","","Word"
"a1sbn0000010aXhAAI","005bn000003k2JdAAI","false","Fees Checklist for Closing","Fee Summary Document to help the bank closers prepare GL tickets.","false","Word","LLC_BI__Loan__c","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" NOT=""Card""}}{{ENDIF}}","false","false","a1sbn0000010aXhAAI","Credit Memo","false","Word","","","Word"
"a1sbn0000010aXiAAI","005bn000003k2JdAAI","false","General Ledger Tickets","General Ledger Ticket that can used to process the Banks loan fees.","false","Word","LLC_BI__Loan__c","","false","false","a1sbn0000010aXiAAI","Credit Memo","false","Word","","","Word"
"a1sbn0000010aXjAAI","005bn000003k2JdAAI","false","MSA SCH A Change Service Form","Use this form to remove Treasury Services","true","Word","LLC_BI__Treasury_Service__c","","false","false","a1sbn0000010aXjAAI","","false","Word","","","Word"
"a1sbn0000010aXkAAI","005bn000003k2JdAAI","false","Covenant Letter","Form letter used to notify my relationship accounts of when covenants are coming due","true","Word","Account","","false","false","a1sbn0000010aXkAAI","","false","Word","","","Word"
"a1sbn0000010aXlAAI","005bn000003k2JdAAI","false","Master Services Agreement","Master Services Agreement for nCino Financial Treasury Services","true","Word","LLC_BI__Treasury_Service__c","","false","false","a1sbn0000010aXlAAI","","false","Word","","","Word"
"a1sbn0000010aXmAAI","005bn000003k2JdAAI","false","Executive Pricing Summary","Treasury Service- Executive Pricing Summary for nCino Financial Treasury Services","true","Word","LLC_BI__Scenario__c","","false","false","a1sbn0000010aXmAAI","","false","Word","","","Word"
"a1sbn0000010aXpAAI","005bn000003k2JdAAI","false","Proposal Letter","nCino Gold Standard Proposal Letter.","true","Word","LLC_BI__Loan__c","","false","false","a1sbn0000010aXpAAI","","false","Word","","","Word"
