"Id","OwnerId","IsDeleted","Name","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c"
"a1WWD000002WF1u2AG","005al00000RVcKvAAL","false","LLC BI  Budget 001-3b8992","FE15428229","","Automated credit analysis and risk assessment parameters","true","false","477.34","684.61","431.24","417.56","354.75","27.21","415.89","42005505772755189","158.7538","96.8278","82.2628","6.3097","-107.5179","-58.7538","96.4405","-463.66","-253.37"
"a1WWD000002WF2c2AG","005al00000RVcKvAAL","false","a1WWD000002Vb0a","","a1WWD000002WF2S2AW","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013481852284536","","","","","","","","0.0","0.0"
"a1WWD000002WF3R2AW","005al00000RVcKvAAL","false","nov24","","","this is a description from me","true","false","0.0","4532.0","213.0","0.0","0.0","0.0","0.0","42015382099793331","2127.6995","0.0","0.0","0.0","100.0","-2027.6995","0.0","213.0","-4319.0"
"a1WWD000002V38i2AC","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42021036359002676","","","","","","","","0.0","0.0"
"a1WWD000002WF3S2AW","005al00000RVcKvAAL","false","RS budget 65","","","","true","false","0.0","634.0","0.0","763.0","0.0","0.0","0.0","42024469346205912","","","","","","","","-763.0","-634.0"
"a1WWD000002WF3M2AW","005al00000RVcKvAAL","false","a1WWD000002VhFi","","a1WWD000002WF3C2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42026726401074624","","","","","","","","0.0","0.0"
"a1WWD000002WF3p2AG","005al00000RVcKvAAL","false","Budgets-05","","","Updated","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42041988819572484","","","","","","","","0.0","0.0"
"a1WWD000002WF212AG","005al00000RVcKvAAL","false","LLC BI  Budget 008-248f83","RQ82991954","","Approval routing and delegation authority configuration","true","false","414.65","757.77","945.99","493.76","54.85","339.25","848.86","42051585902899248","80.1034","52.1951","5.7982","35.8619","3.9726","19.8966","89.7324","37.58","188.22"
"a1WWD000002WF3D2AW","005al00000RVcKvAAL","false","a1WWD000002VhE7","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42052679731092714","","","","","","","","0.0","0.0"
"a1WWD000002V39T2AS","005al00000RVcKvAAL","false","NcinoRecord-01","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42056301407591363","","","","","","","","0.0","0.0"
"a1WWD000002WF1n2AG","005al00000RVcKvAAL","false","LLC BI  Budget 004-37032e","NR04515366","","Document collection and verification workflow settings","true","false","737.15","0.0","687.96","166.0","0.0","0.0","0.0","42058164946591045","0.0","24.1293","0.0","0.0","-31.2794","100.0","0.0","-215.19","687.96"
"a1WWD000002WF232AG","005al00000RVcKvAAL","false","LLC BI  Budget 010-b54e75","CU38774194","","Document collection and verification workflow settings","true","true","431.45","601.39","703.57","250.43","809.87","663.9","877.22","42060931192168149","85.4769","35.5942","115.1087","94.3616","3.0828","14.5231","124.6813","21.69","102.18"
"a1WWD000002WF1L2AW","005al00000RVcKvAAL","false","Elite budget","","","","true","false","0.0","5344.0","643.0","6873.0","0.0","0.0","0.0","42069451525749142","831.1042","1068.8958","0.0","0.0","-968.8958","-731.1042","0.0","-6230.0","-4701.0"
"a1WWD000002WF1K2AW","005al00000RVcKvAAL","false","Contract budget","","","","true","false","0.0","7444.0","43684.0","67464.0","0.0","0.0","0.0","42081875638704092","17.0406","154.4364","0.0","0.0","-54.4364","82.9594","0.0","-23780.0","36240.0"
"a1WWD000002WF2g2AG","005al00000RVcKvAAL","false","a1WWD000002Vb0e","","a1WWD000002WF2W2AW","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42082837881536120","","","","","","","","0.0","0.0"
"a1WWD000002WF3b2AG","005al00000RVcKvAAL","false","Budget-4","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42083606090626195","","","","","","","","0.0","0.0"
"a1WWD000002WF3N2AW","005al00000RVcKvAAL","false","a1WWD000002VhFj","","a1WWD000002WF3D2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42085349333259218","","","","","","","","0.0","0.0"
"a1WWD000002WF2x2AG","005al00000RVcKvAAL","false","a1WWD000002VbDV","","a1WWD000002WF2n2AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42087584025622953","","","","","","","","0.0","0.0"
"a1WWD000002WF2z2AG","005al00000RVcKvAAL","false","a1WWD000002VbDX","","a1WWD000002WF2p2AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42094280605347725","","","","","","","","0.0","0.0"
"a1WWD000002WF1x2AG","005al00000RVcKvAAL","false","LLC BI  Budget 004-db7112","LS98900006","","Approval routing and delegation authority configuration","true","true","384.07","502.49","810.49","81.14","903.85","475.07","469.13","42098170434288921","61.9983","10.0112","111.519","58.6152","42.6014","38.0017","57.8823","345.28","308.0"
"a1WWD000002WF2K2AW","005al00000RVcKvAAL","false","a1WWD000002VP10","","a1WWD000002WF2A2AW","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42098983329829927","","","","","","","","0.0","0.0"
"a1WWD000002WF2Y2AW","005al00000RVcKvAAL","false","a1WWD000002Vaz4","","","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42106908378709618","","","","","","","","0.0","0.0"
"a1WWD000002WF2I2AW","005al00000RVcKvAAL","false","a1WWD000002VOzW","XF73024264","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42107756816783001","","","","","","","","0.0","0.0"
"a1WWD000002WF3f2AG","005al00000RVcKvAAL","false","RS budget 1","","","","true","false","0.0","87654.0","0.0","0.0","0.0","0.0","0.0","42109752430563757","","","","","","","","0.0","-87654.0"
"a1WWD000002V39E2AS","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42110583086880417","","","","","","","","0.0","0.0"
"a1WWD000002WF2S2AW","005al00000RVcKvAAL","false","a1WWD000002Vayy","","","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42121432935058658","","","","","","","","0.0","0.0"
"a1WWD000002WF3T2AW","005al00000RVcKvAAL","false","RS budget 87","","","","true","false","0.0","7634.0","43.0","63.0","0.0","0.0","0.0","42133970703519148","17753.4884","146.5116","0.0","0.0","-46.5116","-17653.4884","0.0","-20.0","-7591.0"
"a1WWD000002V38X2AS","005al00000RVcKvAAL","false","NcinoAuto","","","","true","false","0.0","343535.0","131.0","0.0","0.0","0.0","0.0","42139450485325634","262240.458","0.0","0.0","0.0","100.0","-262140.458","0.0","131.0","-343404.0"
"a1WWD000002WF1g2AG","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template7","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42140180774962834","","","","","","","","0.0","0.0"
"a1WWD000002WF2n2AG","005al00000RVcKvAAL","false","a1WWD000002VbAP","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42141918922785378","","","","","","","","0.0","0.0"
"a1WWD000002WF282AG","005al00000RVcKvAAL","false","a1WWD000002VOhh","","a1WWD000002WF1o2AG","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42148255259136630","","","","","","","","0.0","0.0"
"a1WWD000002V39g2AC","005al00000RVcKvAAL","false","New Rec 62 updated","","","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42152289717499210","","","","","","","","0.0","0.0"
"a1WWD000002WF2h2AG","005al00000RVcKvAAL","false","a1WWD000002Vb0f","","a1WWD000002WF2X2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42160076075780914","","","","","","","","0.0","0.0"
"a1WWD000002WF222AG","005al00000RVcKvAAL","false","LLC BI  Budget 009-9c3f69","AX41691623","","Document collection and verification workflow settings","false","false","549.85","387.49","588.86","710.19","545.76","351.06","136.97","42166404865180826","65.8034","120.6042","92.6808","59.6169","-113.9796","34.1966","23.2602","-671.18","201.37"
"a1WWD000002WF1T2AW","005al00000RVcKvAAL","false","Services budget","","","","true","false","883.0","8394.0","744.0","843.0","0.0","0.0","0.0","42172159694687762","1128.2258","113.3065","0.0","0.0","-131.9892","-1028.2258","0.0","-982.0","-7650.0"
"a1WWD000002WF2t2AG","005al00000RVcKvAAL","false","a1WWD000002VbDR","","a1WWD000002WF2j2AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42172743122636932","","","","","","","","0.0","0.0"
"a1WWD000002WF3n2AG","005al00000RVcKvAAL","false","Budgets-03","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42175720256524217","","","","","","","","0.0","0.0"
"a1WWD000002WF242AG","005al00000RVcKvAAL","false","a1WWD000002VOhd","","a1WWD000002WF1k2AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42175761375143624","","","","","","","","0.0","0.0"
"a1WWD000002WF3e2AG","005al00000RVcKvAAL","false","test budget commit 6","","","","true","false","664235.0","4313.0","123.0","6453.0","0.0","0.0","0.0","42179866980529847","3506.5041","5246.3415","0.0","0.0","-545174.7967","-3406.5041","0.0","-670565.0","-4190.0"
"a1WWD000002WF1k2AG","005al00000RVcKvAAL","false","LLC BI  Budget 001-686539","EK76763162","","Borrower financial statement analysis and spreading setup","false","true","573.43","0.0","722.57","941.49","0.0","0.0","0.0","42183412158137337","0.0","130.2974","0.0","0.0","-109.6572","100.0","0.0","-792.35","722.57"
"a1WWD000002WF3h2AG","005al00000RVcKvAAL","false","RS budget 3","","","","true","false","7634.0","443.0","0.0","673.0","0.0","0.0","0.0","42189252146923568","","","","","","","","-8307.0","-443.0"
"a1WWD000002WF1o2AG","005al00000RVcKvAAL","false","LLC BI  Budget 005-dc3d9c","EA59122599","","Financial covenant monitoring and exception handling rules","false","false","888.91","0.0","660.93","318.97","0.0","0.0","0.0","42190089374001220","0.0","48.2608","0.0","0.0","-82.7546","100.0","0.0","-546.95","660.93"
"a1WWD000002V3932AC","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42190861640379324","","","","","","","","0.0","0.0"
"a1WWD000002V38j2AC","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","","a1WWD000002V38m2AC","","false","false","0.0","0.0","500000.0","0.0","0.0","0.0","0.0","42191334335403812","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","500000.0"
"a1WWD000002WF3j2AG","005al00000RVcKvAAL","false","RS budget 5","","","","true","false","0.0","45.0","0.0","6734.0","0.0","0.0","0.0","42197800232089144","","","","","","","","-6734.0","-45.0"
"a1WWD000002V38Y2AS","005al00000RVcKvAAL","false","NcinoAuto2","","","","true","false","0.0","1.2343323E7","1213.0","0.0","0.0","0.0","0.0","42199536471413409","1017586.3974","0.0","0.0","0.0","100.0","-1017486.3974","0.0","1213.0","-1.234211E7"
"a1WWD000002WF1j2AG","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template10","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42211392248066533","","","","","","","","0.0","0.0"
"a1WWD000002WF202AG","005al00000RVcKvAAL","false","LLC BI  Budget 007-ed7281","TM28893682","","Customer onboarding documentation and verification requirements","false","true","766.65","412.1","591.32","960.44","156.15","475.53","659.03","42217024812812746","69.6915","162.4231","26.407","80.4184","-192.0737","30.3085","111.4507","-1135.77","179.22"
"a1WWD000002V38k2AC","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","","a1WWD000002V38l2AC","","false","false","0.0","0.0","500000.0","0.0","0.0","0.0","0.0","42228810885640343","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","500000.0"
"a1WWD000002WF2V2AW","005al00000RVcKvAAL","false","a1WWD000002Vaz1","","","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42234621913730576","","","","","","","","0.0","0.0"
"a1WWD000002V39l2AC","005al00000RVcKvAAL","false","newJob001","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42235077918149309","","","","","","","","0.0","0.0"
"a1WWD000002WF2o2AG","005al00000RVcKvAAL","false","a1WWD000002VbAQ","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42235384201867798","","","","","","","","0.0","0.0"
"a1WWD000002WF3L2AW","005al00000RVcKvAAL","false","a1WWD000002VhFh","","a1WWD000002WF3B2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42236744575269341","","","","","","","","0.0","0.0"
"a1WWD000002WF3m2AG","005al00000RVcKvAAL","false","Budgets-02","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42241532426087773","","","","","","","","0.0","0.0"
"a1WWD000002V38d2AC","005al00000RVcKvAAL","false","New Budgets 01","","a1WWD000002V38e2AC","","false","false","0.0","0.0","500000.0","0.0","0.0","0.0","0.0","42244306118689534","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","500000.0"
"a1WWD000002V3942AC","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42253046241412123","","","","","","","","0.0","0.0"
"a1WWD000002WF2M2AW","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template Update","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42269482166486289","","","","","","","","0.0","0.0"
"a1WWD000002WF1l2AG","005al00000RVcKvAAL","false","LLC BI  Budget 002-317174","XQ77004251","","Standard configuration for loan processing workflow","true","true","378.44","0.0","268.84","276.45","0.0","0.0","0.0","42274985946343905","0.0","102.8307","0.0","0.0","-143.5984","100.0","0.0","-386.05","268.84"
"a1WWD000002WF2A2AW","005al00000RVcKvAAL","false","a1WWD000002VOzO","LO73981742","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42275923994502123","","","","","","","","0.0","0.0"
"a1WWD000002WF1t2AG","005al00000RVcKvAAL","false","LLC BI  Budget 010-6b5a1e","KC90928483","","Automated credit analysis and risk assessment parameters","true","false","522.2","162.37","715.63","500.01","819.14","43.07","311.76","42280499388174972","22.6891","69.8699","114.4642","6.0185","-42.8406","77.3109","43.5644","-306.58","553.26"
"a1WWD000002WF252AG","005al00000RVcKvAAL","false","a1WWD000002VOhe","","a1WWD000002WF1l2AG","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42282738233076570","","","","","","","","0.0","0.0"
"a1WWD000002WF3o2AG","005al00000RVcKvAAL","false","Budgets-04","","","Updated the record CIJobs","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42284020141843699","","","","","","","","0.0","0.0"
"a1WWD000002WF3q2AG","005al00000RVcKvAAL","false","Budgets-06","","","Updated","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42290087171957017","","","","","","","","0.0","0.0"
"a1WWD000002WF1F2AW","005al00000RVcKvAAL","false","A budget 2","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42290867984417717","","","","","","","","0.0","0.0"
"a1WWD000002WF1p2AG","005al00000RVcKvAAL","false","LLC BI  Budget 006-cece0a","TE54444438","","Standard configuration for loan processing workflow","false","false","709.1","371.33","804.27","44.3","69.51","101.56","967.62","42295012831997532","46.1698","5.5081","8.6426","12.6276","6.325","53.8302","120.3103","50.87","432.94"
"a1WWD000002WF2q2AG","005al00000RVcKvAAL","false","a1WWD000002VbAS","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42295431494171946","","","","","","","","0.0","0.0"
