"Id","OwnerId","IsDeleted","Name","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Address_Part__c","nPortal__Picklist_Buttons_Enabled__c"
"a3Tbn000000NX5eEAG","005bn000003k2JdAAI","","FC-000241","ZIP","","","","Mailing_Zip_code_nCino__c","","false","","","false","false","false","","a2Ebn000000ECGDEA4","2.0","","","false","","00821598381727928","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6FEAW","005bn000003k2JdAAI","","FC-000278","","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2Ebn000000ECGIEA4","","","","false","","02641598553324136","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX5gEAG","005bn000003k2JdAAI","","FC-000243","Is your mailing address the same as your physical address?","","","","cm_Mailing_Same_as_Physical__c","","false","","","false","false","false","","a2Ebn000000ECGDEA4","","","","false","","03801598381727928","Contact","false","","false","false","","","false","false","false","","","true"
"a3Tbn000000MFQlEAO","005bn000003k2JdAAI","","FC-000147","","","","","cm_Passport_Number__c","","false","","","false","false","false","","a2Ebn000000DJuPEAW","2.0","","","false","","03801666029076777","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX5pEAG","005bn000003k2JdAAI","","FC-000252","","","","","LLC_BI__Employer_Name__c","","false","","","true","false","false","","a2Ebn000000ECGDEA4","2.0","","","false","","03891598381727932","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX69EAG","005bn000003k2JdAAI","","FC-000272","","","","","BirthDate","","false","","","false","false","false","","a2Ebn000000ECGIEA4","2.0","","","false","","04591598553324134","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFQTEA4","005bn000003k2JdAAI","","FC-000129","","","","","LLC_BI__Total_Direct_Exposure__c","","false","","","false","true","false","","","","a2Fbn000000CzGnEAK","","false","","04891663700626156","Account","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFQrEAO","005bn000003k2JdAAI","","FC-000153","","","Customer Reported","","LLC_BI__Income_Source__c","","false","","","true","false","false","","a2Ebn000000DJuQEAW","","","","false","","06241666029076781","LLC_BI__Income__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFR4EAO","005bn000003k2JdAAI","","FC-000166","Physical Address","","","","MailingStreet","","false","","","false","false","false","","a2Ebn000000DJuPEAW","","","","false","","06381666029076786","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX5zEAG","005bn000003k2JdAAI","","FC-000262","City","","","","LLC_BI__Home_City__c","","false","","","false","false","false","","a2Ebn000000ECGIEA4","","","","false","","08301598553324130","Contact","false","","false","false","","","false","false","false","","","false"
