"Id","OwnerId","IsDeleted","Name","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Group__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Primary_Button_Text__c","nFORCE__Question_Group__c","nFORCE__Route__c","nFORCE__Visibility_Criteria__c","nFORCE__lookupKey__c","Route_App_Name__c","Route_Screen__c","nPortal__Is_Portal_Enabled__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nPortal__OA_Credit_Pull_Required__c"
"a0jWE00000I6vpjYAB","005al00000RVvFOAA1","false","23263","","{{IF=""A AND B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" NOT=""Booked""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" NOT=""Complete""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDTA2A2","false","true","false","false","1625.0","a0mWE000003FDQeYAO","","","a0mWE000003FDQgYAO","","00041619447513221","post-approval-team-members","<a href=""/a0sWE000002YqW2"" target=""_blank"">Team Members</a>","","","",""
"a0jWE00000I6vt4YAB","005al00000RVvFOAA1","false","23470","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDS42AM","false","false","false","false","1510.0","a0mWE000003FDRWYA4","","","a0mWE000003FCpyYAG","","00731620937670249","booked-approved-details","<a href=""/a0sWE000002YqPl"" target=""_blank"">Approved Details</a>","","","",""
"a0jWE00000I6vpkYAB","005al00000RVvFOAA1","false","23264","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Is_Participation__c"" IS=""True""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDTA2A2","false","false","false","false","11000.0","","","","a0mWE000003FDMJYA4","","00871619447513222","post-approval-participations","<a href=""/a0sWE000002Yqgj"" target=""_blank"">Participations</a>","","","",""
"a0jWE00000I6usUYAR","005al00000RVvFOAA1","false","19590","","{{IF=""A OR B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Next_Steps__c"" IS=""Manual Underwriting""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.cm_Next_Steps__c"" IS=""Manual Underwriting - Counter Offer""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDSF2A2","false","false","false","true","1500.0","a0mWE000003FD9HYAW","","","a0mWE000003FD97YAG","","01111663700614616","small-business-loan-post-approval-ui-underwriting-summary2","<a href=""/a0sWE000002YqY4"" target=""_blank"">Underwriting Details1</a>","","","",""
"a0jWE00000I6usVYAR","005al00000RVvFOAA1","false","19591","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Are_you_applying_with_a_Business__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDPi2AM","false","false","false","false","30.0","a0mWE000003FDCqYAO","","","a0mWE000003FDCSYA4","","02031666029062600","small-business-loan-online-application-your-business","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vtFYAR","005al00000RVvFOAA1","false","23481","","","a0XWE000002gDPb2AM","false","false","false","false","8500050.0","a0mWE000003FDQpYAO","","a0XWE000002gDSv2AM","a0mWE000003FD0vYAG","","02581615577844334","comm-accel-loan-cra","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vtJYAR","005al00000RVvFOAA1","false","23485","","","a0XWE000002gDS42AM","false","false","false","false","1400.0","","","","a0mWE000003FDRWYA4","","02781620937670269","booked-approved-details2","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vtOYAR","005al00000RVvFOAA1","false","23490","","","a0XWE000002gDS42AM","false","false","false","false","8500060.0","a0mWE000003FD2wYAG","","","a0mWE000003FD2vYAG","","03921620937670241","booked-certifications","<a href=""/a0sWE000002YqWV"" target=""_blank"">Certifications</a>","","","",""
"a0jWE00000I6vtSYAR","005al00000RVvFOAA1","false","23494","","","a0XWE000002gDS42AM","false","false","false","false","2510.0","a0mWE000003FD28YAG","","","a0mWE000003FD28YAG","","04391620937670260","booked-borrowing-structure","<a href=""/a0sWE000002YqWK"" target=""_blank"">Borrowing Structure Information</a>","","","",""
"a0jWE00000I6vplYAB","005al00000RVvFOAA1","false","23265","","","a0XWE000002gDTA2A2","false","false","false","false","3000.0","","","","a0mWE000003FDReYAO","","04681619447513224","post-approval-collateral","<a href=""/"" target=""_blank""> </a>","","","",""
