"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nFORCE__Optional_Configuration__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","LastViewedDate","LastReferencedDate"
"a2Fbn000000CWQjEAO","","Loan","a2Gbn000000isG1EAI","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","000009C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","","","","",""
"a2Fbn000000CWQkEAO","","Entity Involvement","a2Gbn000000isG1EAI","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","000011C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","","","","",""
"a2Fbn000000CWQlEAO","","Fee","a2Gbn000000isG1EAI","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","000014C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","","","","",""
"a2Fbn000000CWQmEAO","","Collateral Pledged","a2Gbn000000isG1EAI","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","000017C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","","","","",""
"a2Fbn000000CWQnEAO","","Loan Covenant","a2Gbn000000isG1EAI","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","000020C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","","","","",""
"a2Fbn000000CWQoEAO","","Loan Team Member","a2Gbn000000isG1EAI","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","000023C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","","","","",""
"a2Fbn000000CWQpEAO","","Loan Pricing Information","a2Gbn000000isG1EAI","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","000026C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","","","","",""
"a2Fbn000000CzH5EAK","","SBL Eligibility Business","a2Gbn000000kG3qEAE","false","false","false","false","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","00201666029075344","Account","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3k2EAC","","Participations","a2Gbn000000hcgjEAA","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","a2Ibn000000M69nEAC","MappedSObjectHierarchyScreenResource","","00551620937672162","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3dhEAC","","Risk Ratings","a2Gbn000000hcevEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","00601585604341051","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
