"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2Gbn000000isG1EAI","005bn000003pcUiAAI","","ReviewSubmitLoan","false","false","000008C4_2C2C_4944_8EBC_E365C3EC842C","false","","","",""
"a2Gbn000000hcgHEAQ","005bn000003k2JdAAI","","CRA Screen","false","true","01051619447514585","false","","","",""
"a2Gbn000000hcdDEAQ","005bn000003k2JdAAI","","Borrowing Structure Information","false","true","02551560278745076","false","","","",""
"a2Gbn000000hcdNEAQ","005bn000003kBWnAAM","","Underwriting Details","false","true","03471560278867077","false","","","",""
"a2Gbn000000hcgcEAA","005bn000003k2JdAAI","","Change Memo","false","true","04391620937671559","false","","","",""
"a2Gbn000000hcddEAA","005bn000003k2JdAAI","","Product Summary","false","true","05641567002571747","false","","","",""
"a2Gbn000000kG3SEAU","005bn000003k2JdAAI","","Underwriting Details1","false","true","06031640791247589","false","","","",""
"a2Gbn000000kG3YEAU","005bn000003k2JdAAI","","Loan Team","false","true","06901640791247591","false","","","",""
"a2Gbn000000hcfsEAA","005bn000003k2JdAAI","","Editable Fields","false","true","07281585604340854","false","","","",""
"a2Gbn000000hcevEAA","005bn000003k2JdAAI","","Risk Ratings","false","true","08891585604340856","false","","","",""
"a2Gbn000000hcfPEAQ","005bn000003k2JdAAI","","Product Summary","false","true","09911567002550278","false","","","",""
"a2Gbn000000hcfpEAA","005bn000003k2JdAAI","","Narrative Booked","false","true","10941585604340854","false","","","",""
"a2Gbn000000kG3mEAE","005bn000003k2JdAAI","","Adverse Actions/Counter Offers","false","true","11031663700624864","false","","","",""
"a2Gbn000000kG3NEAU","005bn000003k2JdAAI","","Adverse Actions","false","true","11381640791247587","false","","","",""
"a2Gbn000000hcg2EAA","005bn000003k2JdAAI","","Pricing Required Fields","false","true","11671619447514581","false","","","",""
"a2Gbn000000hcgREAQ","005bn000003k2JdAAI","","Draw History Screen","false","true","12061619447514587","false","","","",""
"a2Gbn000000hcgJEAQ","005bn000003k2JdAAI","","HMDA Screen 1","false","true","12431619447514585","false","","","",""
"a2Gbn000000hcgvEAA","005bn000003k2JdAAI","","Budget Details","false","true","14841620937671564","false","","","",""
"a2Gbn000000hcfvEAA","005bn000003k2JdAAI","","Memos Booked","false","true","15561585604340854","false","","","",""
"a2Gbn000000hceZEAQ","005bn000003k2JdAAI","","Memos","false","true","16221585604340856","false","","","",""
"a2Gbn000000kG3oEAE","005bn000003k2JdAAI","","SBL Personal","false","true","17701666029074779","false","","","",""
"a2Gbn000000hcfQEAQ","005bn000003k2JdAAI","","Balance Details","false","true","18751585604340855","false","","","",""
"a2Gbn000000hcfZEAQ","005bn000003k2JdAAI","","Deposit Products","false","true","18931562008881233","false","","","",""
"a2Gbn000000hceTEAQ","005bn000003k2JdAAI","","Adverse Actions","false","true","19891585604340855","false","","","",""
"a2Gbn000000hcfTEAQ","005bn000003k2JdAAI","","Loan Dashboard Summary Screen","false","true","19961585604340855","false","","","",""
"a2Gbn000000kG3uEAE","005bn000003k2JdAAI","","Add Beneficial Owner OA","false","true","20221666029074782","false","","","",""
"a2Gbn000000hceAEAQ","005bn000003k2JdAAI","","Key Dates","false","true","23001585604340855","false","","","",""
"a2Gbn000000kG3XEAU","005bn000003k2JdAAI","","Approval Details","false","true","23611640791247590","false","","","",""
"a2Gbn000000kG3QEAU","005bn000003k2JdAAI","","Enhanced Fees Management","false","true","23851640791247588","false","","","",""
"a2Gbn000000hcgVEAQ","005bn000003k2JdAAI","","Rate & Payment Structure","false","true","24751619447514588","false","","","",""
"a2Gbn000000hcgaEAA","005bn000003k2JdAAI","","Risk Rating","false","true","25211620937671559","false","","","",""
"a2Gbn000000hcfrEAA","005bn000003k2JdAAI","","Balance Details Booked","false","true","25741585604340854","false","","","",""
"a2Gbn000000hcg5EAA","005bn000003k2JdAAI","","Enhanced Fees Management","false","true","25961619447514580","false","","","",""
"a2Gbn000000kG3wEAE","005bn000003k2JdAAI","","Other Expenses","false","true","26701666029074783","false","","","",""
"a2Gbn000000hcgLEAQ","005bn000003k2JdAAI","","Borrowing Structure Information","false","true","27381619447514580","false","","","",""
"a2Gbn000000hcgGEAQ","005bn000003k2JdAAI","","Collateral2","false","true","27781619447514580","false","","","",""
"a2Gbn000000hceYEAQ","005bn000003k2JdAAI","","Loan Team Member Information","false","true","28761585604340855","false","","","",""
"a2Gbn000000kG3eEAE","005bn000003k2JdAAI","","Enhanced Fees Management","false","true","29231663700624862","false","","","",""
"a2Gbn000000hcgiEAA","005bn000003k2JdAAI","","Approved Details","false","true","29281620937671561","false","","","",""
"a2Gbn000000hcbXEAQ","005bn000003k2JdAAI","","Editable Fields","false","true","30481620937671566","false","","","",""
"a2Gbn000000kG3gEAE","005bn000003k2JdAAI","","Underwriting Details1","false","true","31001663700624862","false","","","",""
"a2Gbn000000hcgnEAA","005bn000003k2JdAAI","","Balance Details","false","true","31161620937671562","false","","","",""
"a2Gbn000000hcgpEAA","005bn000003k2JdAAI","","Collateral2","false","true","31331620937671558","false","","","",""
"a2Gbn000000hcgkEAA","005bn000003k2JdAAI","","Pricing Approved","false","true","31801620937671562","false","","","",""
"a2Gbn000000hcdMEAQ","005bn000003k2JdAAI","","Collateral2","false","true","32281560278867079","false","","","",""
"a2Gbn000000mZAHEA2","005bn000003k2JdAAI","","ReviewSubmitDeposit","false","false","32784779_5423_4348_B702_0A3978035931","false","","","",""
"a2Gbn000000hcgqEAA","005bn000003k2JdAAI","","CRA Screen","false","true","33681620937671563","false","","","",""
"a2Gbn000000hcg0EAA","005bn000003k2JdAAI","","Certifications","false","true","33961619447514579","false","","","",""
"a2Gbn000000hceIEAQ","005bn000003k2JdAAI","","Approved Details","false","true","34361585604340855","false","","","",""
"a2Gbn000000kG3ZEAU","005bn000003k2JdAAI","","Adverse Actions/Counter Offers","false","true","35151640791247591","false","","","",""
"a2Gbn000000mZA0EAM","005bn000003k2JdAAI","","Deposit Details","false","true","36861701790670787","true","","","",""
"a2Gbn000000kG3UEAU","005bn000003k2JdAAI","","Credit Authorization/Joint Intent","false","true","37941640791247589","false","","","",""
"a2Gbn000000hcgBEAQ","005bn000003k2JdAAI","","Pricing Approved","false","true","38031619447514583","false","","","",""
"a2Gbn000000hcflEAA","005bn000003k2JdAAI","","Supplementary Details","false","true","38211585604340854","false","","","",""
"a2Gbn000000kG3lEAE","005bn000003k2JdAAI","","Loan Team","false","true","39231663700624864","false","","","",""
"a2Gbn000000kG3PEAU","005bn000003k2JdAAI","","Collateral Summary","false","true","39781640791247588","false","","","",""
"a2Gbn000000hce6EAA","005bn000003k2JdAAI","","Collateral Value","false","true","40481585604340855","false","","","",""
