"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","LLC_BI__Automate_Collateral_Pledge__c","LLC_BI__Collateral_Type__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Filter_In_Branch_Collateral__c","LLC_BI__Filter_In_Branch_Leased_Asset__c","LLC_BI__Is_Default__c","LLC_BI__Product__c","LLC_BI__Valuation_Providers__c","LLC_BI__lookupKey__c","nPortal__Is_Portal_Enabled__c"
"a3rWE000001OkfdYAC","005al00000RVvFOAA1","false","PCT-00000012","","","false","a1lWE000002f2qqYAA","","false","false","false","a48WE000000fKB9YAM","","42067453078286121",""
"a3rWE000001OkfSYAS","005al00000RVvFOAA1","false","PCT-00000001","","","false","a1lWE000002f2qmYAA","","false","false","false","a48WE000000fKB8YAM","","42080064210953874",""
"a3rWE000001OkfYYAS","005al00000RVvFOAA1","false","PCT-00000007","","","false","a1lWE000002f2r7YAA","","false","false","false","a48WE000000fKB8YAM","","42082128476127682",""
"a3rWE000001OkfbYAC","005al00000RVvFOAA1","false","PCT-00000010","","","false","a1lWE000002f2rKYAQ","","false","false","false","a48WE000000fKB3YAM","","42082224992716307",""
"a3rWE000001OkfeYAC","005al00000RVvFOAA1","false","PCT-00000013","","","false","a1lWE000002f2r6YAA","","false","false","false","a48WE000000fKB9YAM","","42330343645059870",""
"a3rWE000001OkfZYAS","005al00000RVvFOAA1","false","PCT-00000008","","","false","a1lWE000002f2quYAA","","false","false","false","a48WE000000fKB3YAM","","42395615082121958",""
"a3rWE000001OkfUYAS","005al00000RVvFOAA1","false","PCT-00000003","","","false","a1lWE000002f2qqYAA","","false","false","false","a48WE000000fKB8YAM","","42446717035563040",""
"a3rWE000001OkfhYAC","005al00000RVvFOAA1","false","PCT-00000016","","","false","a1lWE000002f2r7YAA","","false","false","false","a48WE000000fKB7YAM","","42479331933660465",""
"a3rWE000001OkfaYAC","005al00000RVvFOAA1","false","PCT-00000009","","","false","a1lWE000002f2rFYAQ","","false","false","false","a48WE000000fKB3YAM","","42493838306586662",""
"a3rWE000001OkfXYAS","005al00000RVvFOAA1","false","PCT-00000006","","","false","a1lWE000002f2qtYAA","","false","false","false","a48WE000000fKB8YAM","","42495165643102811",""
"a3rWE000001OkfWYAS","005al00000RVvFOAA1","false","PCT-00000005","","","false","a1lWE000002f2qrYAA","","false","false","false","a48WE000000fKB8YAM","","42521698846750838",""
"a3rWE000001OkfVYAS","005al00000RVvFOAA1","false","PCT-00000004","","","false","a1lWE000002f2r6YAA","","false","false","false","a48WE000000fKB8YAM","","42740069098375523",""
"a3rWE000001OkfcYAC","005al00000RVvFOAA1","false","PCT-00000011","","","false","a1lWE000002f2rMYAQ","","false","false","false","a48WE000000fKB3YAM","","42751680411984640",""
"a3rWE000001OkfTYAS","005al00000RVvFOAA1","false","PCT-00000002","","","false","a1lWE000002f2qpYAA","","false","false","false","a48WE000000fKB8YAM","","42769340570301526",""
"a3rWE000001OkfgYAC","005al00000RVvFOAA1","false","PCT-00000015","","","false","a1lWE000002f2qtYAA","","false","false","false","a48WE000000fKB9YAM","","42830253017540857",""
"a3rWE000001OkfRYAS","005al00000RVvFOAA1","false","PCT-00000000","","","false","a1lWE000002f2qlYAA","","false","false","false","a48WE000000fKB7YAM","","42934236837933053",""
"a3rWE000001OkffYAC","005al00000RVvFOAA1","false","PCT-00000014","","","false","a1lWE000002f2qrYAA","","false","false","false","a48WE000000fKB9YAM","","42961656754603237",""
