"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWE00000W9iRrYAJ","false","Bulk Pledge Details","","","a0sWE000002tqeqYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42015509310499837","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9iS9YAJ","false","Bulk Pledge Details","","","a0sWE000002tqf5YAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42025930690024950","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWD00000GTAGKYA5","false","SBL OA Titled Screen","","","a0sWD00000XoBsFYAV","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42030451632328954","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iSeYAJ","false","Bulk Pledge Details","","","a0sWE000002tqfZYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42046627643535532","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9iSjYAJ","false","Collateral Search Results","","","a0sWE000002tqf5YAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42050289151740779","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iSrYAJ","false","Collateral Valuation","","","a0sWE000002tqeqYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42056211837392803","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iSsYAJ","false","Collateral Details","","","a0sWE000002tqeiYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42056851150727842","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9iSxYAJ","false","Collateral Valuation","","","a0sWE000002tqezYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42059091386076696","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iTVYAZ","false","Collateral Search Results","","","a0sWE000002tqeOYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42088901239606259","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iU0YAJ","false","Bulk Pledge Details","","","a0sWE000002tqfdYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42112852178994770","LLC_BI__Loan_Collateral2__c","","","",""
