"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a0sWD00000XoBlNYAV","005al00000RVcKvAAL","false","SBL OA Real Estate Screen","false","false","true","3456789643451","a0sWD00000XoBlNYAV","","","",""
"a0sWD00000XnsdzYAB","005al00000RVcKvAAL","false","Collateral-Possessory-Note/Instrument","false","false","true","42012862423685131","a0sWD00000XnsdzYAB","","","",""
"a0sWD00000XnseAYAR","005al00000RVcKvAAL","false","Collateral-Titled","false","false","true","42229309426024690","a0sWD00000XnseAYAR","","","",""
"a0sWD00000XnseFYAR","005al00000RVcKvAAL","false","Collateral-Possessory-Letter of Credit","false","false","true","42254692718045368","a0sWD00000XnseFYAR","","","",""
"a0sWD00000XoBohYAF","005al00000RVcKvAAL","false","SBL OA Possessory Screen","false","false","true","423819221918922441","a0sWD00000XoBohYAF","","","",""
"a0sWD00000XnsdrYAB","005al00000RVcKvAAL","false","Collateral-Other-Government Contracts","false","false","true","42385715917275967","a0sWD00000XnsdrYAB","","","",""
"a0sWD00000XnseEYAR","005al00000RVcKvAAL","false","Collateral-Possessory-Life Insurance","false","false","true","42401059851966033","a0sWD00000XnseEYAR","","","",""
"a0sWD00000Xnse4YAB","005al00000RVcKvAAL","false","Collateral-Titled-Ship","false","false","true","42437151313046644","a0sWD00000Xnse4YAB","","","",""
"a0sWD00000XnseDYAR","005al00000RVcKvAAL","false","Collateral-Possessory-Savings/CDs","false","false","true","42440767386795598","a0sWD00000XnseDYAR","","","",""
"a0sWD00000XnsdyYAB","005al00000RVcKvAAL","false","Collateral-Titled-Mobile Home","false","false","true","42461395767237886","a0sWD00000XnsdyYAB","","","",""
"a0sWD00000XnsduYAB","005al00000RVcKvAAL","false","Default Pledged Leased Asset Edit Screen","false","false","true","42524349854296463","a0sWD00000XnsduYAB","","","",""
"a0sWD00000Xnse8YAB","005al00000RVcKvAAL","false","Collateral-Titled-Aircraft","false","false","true","42581909766045101","a0sWD00000Xnse8YAB","","","",""
"a0sWD00000Xnse9YAB","005al00000RVcKvAAL","false","Collateral-Possessory-Securities","false","false","true","42653954664465365","a0sWD00000Xnse9YAB","","","",""
"a0sWD00000Xnse2YAB","005al00000RVcKvAAL","false","Collateral-Titled-Pleasure Boat","false","false","true","42703575356168779","a0sWD00000Xnse2YAB","","","",""
"a0sWD00000XoBsFYAV","005al00000RVcKvAAL","false","SBL OA Titled","false","false","true","427563125353764331","a0sWD00000XoBsFYAV","","","",""
"a0sWD00000XnsdxYAB","005al00000RVcKvAAL","false","Collateral-Titled-Trailer","false","false","true","42860084203432194","a0sWD00000XnsdxYAB","","","",""
"a0sWD00000XnseCYAR","005al00000RVcKvAAL","false","Collateral-Possessory-Other Possessory","false","false","true","42868736103271902","a0sWD00000XnseCYAR","","","",""
"a0sWD00000XoCL3YAN","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42871665770611153","a0sWD00000XoCL3YAN","","","",""
"a0sWD00000Xnse0YAB","005al00000RVcKvAAL","false","Collateral-Real Estate","false","false","true","42875581032868363","a0sWD00000Xnse0YAB","","","",""
"a0sWD00000XoBtfYAF","005al00000RVcKvAAL","false","SBL OA UCC Screen","false","false","true","429034805094343451","a0sWD00000XoBtfYAF","","","",""
"a0sWD00000XnseGYAR","005al00000RVcKvAAL","false","Collateral-Titled-Motor Vehicle","false","false","true","42913737407936953","a0sWD00000XnseGYAR","","","",""
"a0sWD00000Xnse6YAB","005al00000RVcKvAAL","false","Collateral-UCC","false","false","true","42966783217336788","a0sWD00000Xnse6YAB","","","",""
