"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWE00000GwXtGYAV","false","SC-000032189","a0qWE00000W9iViYAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42001121331500796","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXtIYAV","false","SC-000032191","a0qWE00000W9ibBYAR","1.01","UCC_Collateral_Valuation","","0.0","false","","","Collateral Valuation","","false","42001690159558524","LLC_BI__Collateral__c"
"a0vWE00000GwXtSYAV","false","SC-000032201","a0qWE00000W9iX9YAJ","1.01","Collateral_Valuation_Titled_Ship","","0.0","false","","","Collateral Valuation","","false","42012762933282167","LLC_BI__Collateral__c"
"a0vWE00000GwXtTYAV","false","SC-000032202","a0qWE00000W9iZZYAZ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016530666628131","LLC_BI__Collateral__c"
"a0vWE00000GwXtUYAV","false","SC-000032203","a0qWE00000W9iHbYAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016811662619443","LLC_BI__Collateral__c"
"a0vWE00000GwXtVYAV","false","SC-000032204","a0qWE00000W9iX8YAJ","1.01","Collateral_Valuation_Titled_Aircraft","","0.0","false","","","Collateral Valuation","","false","42017258841327368","LLC_BI__Collateral__c"
"a0vWD00000B9kSqYAJ","false","SC-000023622","a0qWD00000GSLXhYAP","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42021803137064143","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXthYAF","false","SC-000032216","a0qWE00000W9iaYYAR","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42035299851856958","LLC_BI__Collateral__c"
"a0vWD00000B9ke9YAB","false","SC-000024223","a0qWD00000GTAMoYAP","1.01","SBL_OA_UCC","","0.0","false","","","","","false","420418067217157461","LLC_BI__Collateral__c"
"a0vWD00000B9kSsYAJ","false","SC-000023624","a0qWD00000GT9VZYA1","1.01","SBL_Pledge_Collateral_Override","","","false","","","","","false","42080298160439060","LLC_BI__Loan_Collateral2__c"
