"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a2Bbn000000J53YEAS","005bn000003k2JdAAI","","Commercial Accelerate Loan","comm-accel-loan","12091615577844223","false","false","false","","","comm-accel-loan","","","","","","","false",""
"a2Bbn000000KMCWEA4","005bn000003k2JdAAI","","Small Business Loan Online Application","small-business-loan-online-application","41241666029060795","false","false","false","","","portal-sbloan","Online Application","","","","","Applicant","true",""
"a2Bbn000000J53KEAS","005bn000003k2JdAAI","","MASTER-Loan","m-loan","42044771180104939","false","false","false","","","m-loan","","","","","","","false",""
"a2Bbn000000J53OEAS","005bn000003k2JdAAI","","Memo","memo","42064981524503220","false","false","false","","","memo","","","","","","","false",""
"a2Bbn000000J53DEAS","005bn000003k2JdAAI","","Relationship - Individual","relationship-individual","42074912432256224","false","false","false","","","relationship-individual","","","","","","","false",""
"a2Bbn000000J533EAC","005bn000003k2JdAAI","","Deposit Product Details Maintenance","dep-pm-details","42075960643920713","false","false","false","","","dep-pm-details","","","","","","","false",""
"a2Bbn000000J52WEAS","005bn000003k2JdAAI","","HVCRE","","42088290342052409","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J53XEAS","005bn000003k2JdAAI","","Deposit Product Creation","dep-pc","42103181906180590","false","false","false","","","dep-pc","","","","","","","false",""
"a2Bbn000000LQnVEAW","005bn000003k2JdAAI","","DAO-Individual-KYC","dao-ind-kyc","42109377760315962","false","false","true","","","dao-ind-kyc","","","Individual Account","","","","true",""
"a2Bbn000000J52gEAC","005bn000003k2JdAAI","","Secured Small Business Loan Application","portal-sbl-secured","42144815564389495","false","false","false","","","portal-sbl-secured","","","","","","","false",""
"a2Bbn000000J537EAC","005bn000003k2JdAAI","","Deposit Ancillary Services Maintenance","dep-pm-ancillary-services","42154253801321945","false","false","false","","","dep-pm-ancillary-services","","","","","","","false",""
"a2Bbn000000LQnZEAW","005bn000003k2JdAAI","","Retail Loan ADD","","42161599347242956","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J52aEAC","005bn000003k2JdAAI","","HMDA Questionnaire","","42198546854157256","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J532EAC","005bn000003k2JdAAI","","Deposit Product Maintenance","dep-pm","42226489752753856","false","false","false","","","dep-pm","","","","","","","false",""
"a2Bbn000000J53EEAS","005bn000003k2JdAAI","","Relationship - Business","relationship-business","42245014383349897","false","false","false","","","relationship-business","","","","","","","false",""
"a2Bbn000000LQnXEAW","005bn000003k2JdAAI","","ODAO- Business KYC","odao-bus-kyc","42245829912861432","false","false","true","","","odao-bus-kyc","","","Business Account","","","","true",""
"a2Bbn000000J52bEAC","005bn000003k2JdAAI","","Individual KYC","","42245838511199639","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J52lEAC","005bn000003kBWnAAM","","zzzSession (Not Used) - Unsecured Line of Credit","loc","42260030052001085","false","false","false","","","loc","","","","Packaged - Do not use as this is not maintained (Summer 19)","","","false",""
"a2Bbn000000J52sEAC","005bn000003k2JdAAI","","MASTER-Relationship","master-relationship","42261562008922327","false","false","false","","","master-relationship","","","","","","","false",""
"a2Bbn000000LTFZEA4","005bn000003k2JdAAI","","Deposit Online Application (Individual)","portal-dep-odao","42263871326145242","false","false","false","","","portal-dep-odao","Online Application","a2Cbn000002VbE2EAK","Deposit","","","Applicant","true","portal-dep-odao.dep-eid-individual"
"a2Bbn000000J52uEAC","005bn000003k2JdAAI","","ACH Origination","tmmg-Treasury00-00","42266445183227207","false","false","false","","a2Gbn000000hccLEAQ","tmmg-Treasury00-00","","","","","","","false",""
"a2Bbn000000J53FEAS","005bn000003k2JdAAI","","zzzMASTER-Loan - SBA","m-sba","42298379943381721","false","false","false","","","m-sba","","","","PSO Clone - Not Used","","","false",""
"a2Bbn000000J53GEAS","005bn000003k2JdAAI","","zzzMASTER-Loan - Construction","m-construction","42321562673586733","false","false","false","","","m-construction","","","","PSO Clone - Not Used","","","false",""
"a2Bbn000000J52fEAC","005bn000003k2JdAAI","","Treasury Service Maintenance","treasury-service-maintenance","42328704188845287","false","false","false","","a2Gbn000000hccKEAQ","treasury-service-maintenance","","","","","","","false",""
"a2Bbn000000J52PEAS","005bn000003k2JdAAI","","DMW Deposit Income Group","DMW_Ancillary_Revenue_Modal_Parent","42342387996332449","false","false","false","","a2Gbn000000hccIEAQ","","","","","","","","false",""
"a2Bbn000000J53TEAS","005bn000003k2JdAAI","","Deposit Customer Creation Business","dep-cc-bus","42346516231822941","false","false","false","","","dep-cc-bus","","","","","","","false",""
"a2Bbn000000J53WEAS","005bn000003k2JdAAI","","Customer Creation: Product Line Selection","cc-product-line","42365870589859264","false","false","false","","","cc-product-line","","","","","","","false",""
"a2Bbn000000J52UEAS","005bn000003k2JdAAI","","Reg O Loan Questionnaire","","42403246748782453","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J53JEAS","005bn000003k2JdAAI","","zzzMASTER-Loan - Consumer","m-consumer","42410464651584665","false","false","false","","","m-consumer","","","","PSO Clone - Not Used","","","false",""
