"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","nPortal__Portal_Header_Text__c","nFORCE__Taxonomy_Id__c","nPortal__Portal_Icon_Path__c","nFORCE__Parameters__c","nPortal__Portal_Subheader_Text__c","nPortal__Search_Object_Filter__c","nPortal__Search_Object_Type__c","nPortal__Search_Results_Fieldset__c","nPortal__Search_Select_Active_Text__c","nFORCE__Body_Type__c","nFORCE__Description__c","nPortal__Search_Select_Text__c"
"a2Ebn000000CwcwEAC","005bn000003pcUiAAI","","Reserve Loan Number","atbk-reserve-loan-id","atbk__automatedbooking","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","000002D7206F463C894475D996B83C58","","","","","","","","","","","",""
"a2Ebn000000CwcxEAC","005bn000003pcUiAAI","","Reserve Loan Number","action-atbk-reserve-loan-id","atbk__automatedbooking","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","000003D7206F463C894475D996B83C58","","","","","","","","","","","",""
"a2Ebn000000CwczEAC","005bn000003pcUiAAI","","Automated Booking","atbk-booking-loan","atbk__reviewsubmit","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","000005D7206F463C894475D996B83C58","","","","","","","","","","","",""
"a2Ebn000000Cwd1EAC","005bn000003pcUiAAI","","Core-Specific Information","atbk-booking-core-specific-loan","atbk__corespecific","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","000007D7206F463C894475D996B83C58","","","","","","","","","","","",""
"a2Ebn000000Cwd2EAC","005bn000003pcUiAAI","","Review and Submit","atbk-booking-review-submit-loan","atbk__reviewsubmit","","n-icon-entity","false","nforce__navigation","","","a2Gbn000000isG1EAI","nforce__sub_navigation","","nforce__topbar","000028D7206F463C894475D996B83C58","","","","","","","","","","","",""
"a2Ebn000000Cwd5EAC","005bn000003pcUiAAI","","Automated Booking Summary","atbk-booking-summary-loan","atbk__summary","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","000043D7206F463C894475D996B83C58","","","","","","","","","","","",""
"a2Ebn000000Cwd3EAC","005bn000003k2JdAAI","","Review and Submit","atbk-booking-review-submit-deposit","atbk__reviewsubmit","","n-icon-entity","false","nforce__navigation","","","a2Gbn000000mZAHEA2","nforce__sub_navigation","","nforce__nctopbar","001E287401674A6AB9692C79331F4B17","","","","summaryRouteApp=atbk-booking-summary-deposit-maintenance","","","","","","","",""
"a2Ebn000000CRQmEAO","005bn000003k2JdAAI","","Fees","booked-fees","nforce__blank","","n-icon-relationship","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","00391620937670675","","booked-fees","","","","","","","","","",""
"a2Ebn000000CRPQEA4","005bn000003k2JdAAI","","Compliance","post-approval-compliance","llc_bi__hmda_applicants","","n-icon-hmda","false","nforce__navigation","","","a2Gbn000000hcgJEAQ","nforce__sub_navigation","","nforce__topbar","00581619447513732","","post-approval-compliance","","","","","","","","","",""
"a2Ebn000000DJtLEAW","005bn000003k2JdAAI","","Approval Details","small-business-loan-ui-approval-details","nforce__ncdatagrid","","","false","nforce__navigation","","","a2Gbn000000kG3XEAU","nforce__sub_navigation","","nforce__topbar","00661640791244942","","approval-details","","","","","","","","Visualforce Page","",""
"a2Ebn000000DJtREAW","005bn000003k2JdAAI","","Adverse Action","action-small-business-loan-ui-adverse-action","llc_bi__adverseaction","","n-icon-reject","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","00731640791244947","","action-m-retail-adverse-action","","","","","","","","","",""
"a2Ebn000000CRQYEA4","005bn000003k2JdAAI","","Budget Administration","booked-budget-administration2","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","01581620937670667","","booked-budget-administration2","","","","","","","","","",""
"a2Ebn000000DJuGEAW","005bn000003k2JdAAI","","Authorized Signers","small-business-loan-post-approval-ui-authorized-signers","llc_bi__multitierinvolvement","","n-icon-loan","false","nFORCE__navigation","","","a2Gbn000000kG3nEAE","nFORCE__sub_navigation","","nforce__topbar","01761663700623998","","retail-loan-ui-application","","","","","","","","","",""
"a2Ebn000000CRPOEA4","005bn000003k2JdAAI","","Covenants","post-approval-covenants","llc_bi__loancovenantrelatedlist","","n-icon-covenant","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","02061619447513731","","post-approval-covenants","","","","","","","","","",""
"a2Ebn000000Cwd4EAC","005bn000003k2JdAAI","","Automated Booking Summary","atbk-booking-summary-deposit","atbk__summary","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","02306B4D724A4B62B46F517142067F34","","","","","","","","","","","",""
"a2Ebn000000DJtqEAG","005bn000003k2JdAAI","","Adverse Actions","small-business-loan-post-approval-ui-adverse-actions","nforce__ncrelatedlist","","n-icon-reject","false","nforce__navigation","","","a2Gbn000000kG3dEAE","nforce__sub_navigation","","nforce__topbar","02311663700623961","","adverse-actions","","readonly=true","","","","","","","",""
"a2Ebn000000CRPpEAO","005bn000003k2JdAAI","","Reg O","booked-reg-o","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","03791620937670640","","booked-reg-o","","","","","","","","","",""
"a2Ebn000000ECIfEAO","005bn000003k2JdAAI","","Reserve Account Number","deposit-account-origination---baseline-reserve-account-number","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","04581701790670184","","reserve-account-number-parent_2023R1","","","","","","","","","",""
