"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Branch_Id__c","LLC_BI__City__c","LLC_BI__County__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Institution__c","LLC_BI__Location__Latitude__s","LLC_BI__Location__Longitude__s","LLC_BI__Location__c","LLC_BI__Mortgage_License_State__c","LLC_BI__Mortgage_License__c","LLC_BI__NMLS__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Zip_Code__c","LLC_BI__lookupKey__c"
"a1TWD000001oxEY2AY","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","","","","","","","","","","","IL","","","""813154123"""
"a1TWD000001oxEj2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","","","","","","","","","","","","","","""Test123"""
"a1TWD000001oxEb2AI","005al00000RVcKvAAL","false","DT-5180-Record02-SingleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","","","","","","","","","","","IL","","","'8612354123'"
"a1TWD000001oxEb2AI","005al00000RVcKvAAL","false","DT-5180-Record02-SingleQuote","","","","","","","","","","","","","","","","","","","IL","","","'8612354123'"
"a1TWD000001oxEk2AI","005al00000RVcKvAAL","false","Singlequote-DT5180","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","Denver","","","","","","","","","","CO","909 N Lafayette St","80218","'Test123'"
"a1TWD000001oxEk2AI","005al00000RVcKvAAL","false","Singlequote-DT5180","","","","","","","","","Denver","","","","","","","","","","CO","909 N Lafayette St","80218","'Test123'"
"a1TWD000001ox7l2AA","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-08-26T12:46:47.000Z","005al00000RVvFOAA1","2026-08-26T12:46:47.000Z","","","","","","","","","","","","","","IL","","","/""813154123/"""
"a1TWD000001oxEs2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","","","","","","","","","","","","","","/""Test123/"""
"a1TWD000001oxO82AI","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","","","","","","","","","","","IL","","","//""813154123//"""
"a1TWD000001ox7m2AA","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-08-26T12:46:47.000Z","005al00000RVvFOAA1","2026-08-26T12:46:47.000Z","","","","","","","","","","","","","","","","","//""Test123//"""
"a1TWD000001oxO92AI","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","","","","","","","","","","","IL","","","///""813154123///"""
"a1TWD000001oxXe2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-08-26T12:46:49.000Z","005al00000RVvFOAA1","2026-08-26T12:46:49.000Z","","","","","","","","","","","","","","","","","///""Test123///"""
"a1TWD000001oxOC2AY","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-08-26T12:46:48.000Z","005al00000RVvFOAA1","2026-08-26T12:46:48.000Z","","","","","","","","","","","","","","IL","","","////""813154123////"""
"a1TWD000001oxXf2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-08-26T12:46:49.000Z","005al00000RVvFOAA1","2026-08-26T12:46:49.000Z","","","","","","","","","","","","","","","","","////""Test123////"""
"a1TWD000001oxYf2AI","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-08-26T12:46:49.000Z","005al00000RVvFOAA1","2026-08-26T12:46:49.000Z","","","","","","","","","","","","","","IL","","","/////""813154123/////"""
"a1TWD000001oxXj2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-08-26T12:46:49.000Z","005al00000RVvFOAA1","2026-08-26T12:46:49.000Z","","","","","","","","","","","","","","","","","/////""Test123/////"""
