"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWD000006OG532AG","false","CLA-BD-0004428","a1WWD0000033wfF2AQ","0.0","","Fire Protection","","26.0","","","","","a23al000006gvs9AAA","0.0","0.0","","0.0"
"a1UWD000006OG542AG","false","CLA-BD-0004429","a1WWD0000033wfF2AQ","0.0","","Joint Sealers","","13.0","","","","","a23al000006gvsAAAQ","0.0","0.0","","0.0"
"a1UWD000006OG552AG","false","CLA-BD-0004430","a1WWD0000033wfF2AQ","0.0","","Resilient and Carpet Flooring","","20.0","","","","","a23al000006gvsBAAQ","0.0","0.0","","0.0"
"a1UWD000006OG562AG","false","CLA-BD-0004431","a1WWD0000033wfF2AQ","0.0","","Building Excavator","","4.0","","","","","a23al000006gvsCAAQ","0.0","0.0","","0.0"
"a1UWD000006OG572AG","false","CLA-BD-0004432","a1WWD0000033wfF2AQ","0.0","","Painting","","21.0","","","","","a23al000006gvsDAAQ","0.0","0.0","","0.0"
"a1UWD000006OG582AG","false","CLA-BD-0004433","a1WWD0000033wfF2AQ","0.0","","Sitework","","1.0","","","","","a23al000006gvsEAAQ","0.0","0.0","","0.0"
"a1UWD000006OG592AG","false","CLA-BD-0004434","a1WWD0000033wfF2AQ","0.0","","Misc. Specialities","","22.0","","","","","a23al000006gvsFAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5A2AW","false","CLA-BD-0004435","a1WWD0000033wfF2AQ","0.0","","Electrical","","28.0","","","","","a23al000006gvsGAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5B2AW","false","CLA-BD-0004436","a1WWD0000033wfF2AQ","0.0","","Ceramic Tile","","17.0","","","","","a23al000006gvsHAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5C2AW","false","CLA-BD-0004437","a1WWD0000033wfF2AQ","0.0","","Landscaping","","3.0","","","","","a23al000006gvsIAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5D2AW","false","CLA-BD-0004438","a1WWD0000033wfF2AQ","0.0","","Cast in Place Concrete","","5.0","","","","","a23al000006gvsJAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5E2AW","false","CLA-BD-0004439","a1WWD0000033wfF2AQ","0.0","","Bituminous Damproofing","","11.0","","","","","a23al000006gvsKAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5F2AW","false","CLA-BD-0004440","a1WWD0000033wfF2AQ","0.0","","Roofing &Sheetmetal Flashing","","12.0","","","","","a23al000006gvsLAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5G2AW","false","CLA-BD-0004441","a1WWD0000033wfF2AQ","0.0","","Linear Metal Ceilings","","19.0","","","","","a23al000006gvsMAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5H2AW","false","CLA-BD-0004442","a1WWD0000033wfF2AQ","0.0","","Studs/Drywall/EIFS","","16.0","","","","","a23al000006gvsNAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5I2AW","false","CLA-BD-0004443","a1WWD0000033wfF2AQ","0.0","","Hydraulic Elevators","","24.0","","","","","a23al000006gvsOAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5J2AW","false","CLA-BD-0004444","a1WWD0000033wfF2AQ","0.0","","Tilt-Up Precast Concrete","","6.0","","","","","a23al000006gvsPAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5K2AW","false","CLA-BD-0004445","a1WWD0000033wfF2AQ","0.0","","Glass/Glazing","","15.0","","","","","a23al000006gvsQAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5L2AW","false","CLA-BD-0004446","a1WWD0000033wfF2AQ","0.0","","Change Orders","","36.0","","","","","a23al000006gvsRAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5M2AW","false","CLA-BD-0004447","a1WWD0000033wfF2AQ","0.0","","General Conditions","","29.0","","","","","a23al000006gvsSAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5N2AW","false","CLA-BD-0004448","a1WWD0000033wfF2AQ","0.0","","Allowance - Precast Concrete Pane","","35.0","","","","","a23al000006gvsTAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5O2AW","false","CLA-BD-0004449","a1WWD0000033wfF2AQ","0.0","","S & C Bond","","30.0","","","","","a23al000006gvsUAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5P2AW","false","CLA-BD-0004450","a1WWD0000033wfF2AQ","0.0","","Allowance - Drywall Support/Finishing","","34.0","","","","","a23al000006gvsVAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5Q2AW","false","CLA-BD-0004451","a1WWD0000033wfF2AQ","0.0","","Rough Carpentry","","9.0","","","","","a23al000006gvsWAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5R2AW","false","CLA-BD-0004452","a1WWD0000033wfF2AQ","0.0","","Fee","","31.0","","","","","a23al000006gvsXAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5S2AW","false","CLA-BD-0004453","a1WWD0000033wfF2AQ","0.0","","Finish Carpentry/Millwork","","10.0","","","","","a23al000006gvsYAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5T2AW","false","CLA-BD-0004454","a1WWD0000033wfF2AQ","0.0","","Allowance - Add'l Steel Support","","33.0","","","","","a23al000006gvsZAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5U2AW","false","CLA-BD-0004455","a1WWD0000033wfF2AQ","0.0","","HVAC","","27.0","","","","","a23al000006gvsaAAA","0.0","0.0","","0.0"
"a1UWD000006OG5V2AW","false","CLA-BD-0004456","a1WWD0000033wfF2AQ","0.0","","Allowance - Mis Paving Earthwork","","32.0","","","","","a23al000006gvsbAAA","0.0","0.0","","0.0"
"a1UWD000006OG5W2AW","false","CLA-BD-0004457","a1WWD0000033wfF2AQ","0.0","","Acoustical Ceilings","","18.0","","","","","a23al000006gvscAAA","0.0","0.0","","0.0"
"a1UWD000006OG5X2AW","false","CLA-BD-0004458","a1WWD0000033wfG2AQ","0.0","","Exterior Glass (7xS450)","","21.0","","","","","a23al000006gvsdAAA","0.0","0.0","","0.0"
"a1UWD000006OG5Y2AW","false","CLA-BD-0004459","a1WWD0000033wfF2AQ","0.0","","Structural Steel","","8.0","","","","","a23al000006gvseAAA","0.0","0.0","","0.0"
"a1UWD000006OG5Z2AW","false","CLA-BD-0004460","a1WWD0000033wfG2AQ","0.0","","General Conditions","","22.0","","","","","a23al000006gvsfAAA","0.0","0.0","","0.0"
"a1UWD000006OG5a2AG","false","CLA-BD-0004461","a1WWD0000033wfF2AQ","0.0","","Plumbing","","25.0","","","","","a23al000006gvsgAAA","0.0","0.0","","0.0"
"a1UWD000006OG5b2AG","false","CLA-BD-0004462","a1WWD0000033wfG2AQ","0.0","","O&P","","23.0","","","","","a23al000006gvshAAA","0.0","0.0","","0.0"
"a1UWD000006OG5c2AG","false","CLA-BD-0004463","a1WWD0000033wfF2AQ","0.0","","Fabric Awnings","","23.0","","","","","a23al000006gvsiAAA","0.0","0.0","","0.0"
