"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0oWD00000EBgSBYA1","005al00000RVcKvAAL","false","Loan Decisioning","","","","","","","","","",""
"a0oWD00000EBgSCYA1","005al00000RVcKvAAL","false","Retrieve Pricing Options","","","","","","","","","",""
"a0oWD00000EBgScYAL","005al00000RVcKvAAL","false","Pricing Options","","","","","","","","","",""
"a0oWD00000GPav7YAD","005al00000RVcKvAAL","false","Construction Loan Administration","","","","","","","","","",""
"a0oWD00000EBgSYYA1","005al00000RVcKvAAL","false","Contruction Loan Administration","","","","","","","","","",""
"a0oWD00000EBgSDYA1","005al00000RVcKvAAL","false","Proposed Pricing Option","","","","","","","","","",""
"a0oWD00000GPav8YAD","005al00000RVcKvAAL","false","Pricing Options","","","","","","","","","",""
"a0oWD00000EBgSEYA1","005al00000RVcKvAAL","false","Pricing Options","","","","","","","","","",""
"a0oWD00000EBgSlYAL","005al00000RVcKvAAL","false","Construction Loan Administration","","","","","","","","","",""
"a0oWD00000EBgSZYA1","005al00000RVcKvAAL","false","Credit Request","","","","","","","","","",""
"a0oWD00000EBgSaYAL","005al00000RVcKvAAL","false","Loan Policy Exception","","","","","","","","","",""
"a0oWD00000GPav9YAD","005al00000RVcKvAAL","false","Omnichannel","","","","","","","","","",""
"a0oWD00000GPavAYAT","005al00000RVcKvAAL","false","WK Esign","","","","","","","","","",""
"a0oWD00000EBgSFYA1","005al00000RVcKvAAL","false","Construction Loan Administration","","","","","","","","","",""
"a0oWD00000EBgSGYA1","005al00000RVcKvAAL","false","Pricing Options","","","","","","","","","",""
"a0oWD00000EBgSHYA1","005al00000RVcKvAAL","false","Construction Loan Administration","","","","","","","","","",""
"a0oWD00000GPavBYAT","005al00000RVcKvAAL","false","Loan Policy Exception","","","","","","","","","",""
"a0oWD00000GPavCYAT","005al00000RVcKvAAL","false","Loan Decisioning","","","","","","","","","",""
"a0oWD00000EBgSIYA1","005al00000RVcKvAAL","false","a32Hu000004edQQ","","","","","","","","","",""
"a0oWD00000GPavDYAT","005al00000RVcKvAAL","false","Credit Request","","","","","","","","","",""
"a0oWD00000EBgSJYA1","005al00000RVcKvAAL","false","Filter Pricing Options by DTI","","","","","","","","","",""
"a0oWD00000EBgSKYA1","005al00000RVcKvAAL","false","Lightning-Record-002-Context","","","","","","","","","",""
"a0oWD00000EBgSLYA1","005al00000RVcKvAAL","false","Lightning-Record-001-Context","","","","","","","","","",""
"a0oWD00000GPavEYAT","005al00000RVcKvAAL","false","Credit Card Online Application","","","","","","","","","",""
"a0oWD00000EBgSMYA1","005al00000RVcKvAAL","false","Loan Decisioning","","","","","","","","","",""
"a0oWD00000EBgSNYA1","005al00000RVcKvAAL","false","DocMan","","","","","","","","","",""
"a0oWD00000EBgSOYA1","005al00000RVcKvAAL","false","Retrieve Pricing Options","","","","","","","","","",""
"a0oWD00000EBgSPYA1","005al00000RVcKvAAL","false","Filter Pricing Options by DTI","","","","","","","","","",""
"a0oWD00000EBgSQYA1","005al00000RVcKvAAL","false","Credit Request","","","","","","","","","",""
"a0oWD00000EBgSRYA1","005al00000RVcKvAAL","false","Proposed Pricing Option","","","","","","","","","",""
"a0oWD00000EBgSSYA1","005al00000RVcKvAAL","false","Loan Policy Exception","","","","","","","","","",""
"a0oWD00000EBgSTYA1","005al00000RVcKvAAL","false","Contruction Loan Administration","","","","","","","","","",""
"a0oWD00000EBgSUYA1","005al00000RVcKvAAL","false","Construction Loan Administration","","","","","","","","","",""
"a0oWD00000EBgSVYA1","005al00000RVcKvAAL","false","Pricing Options","","","","","","","","","",""
"a0oWD00000EBgSbYAL","005al00000RVcKvAAL","false","DocMan","","","","","","","","","",""
"a0oWD00000EBgSdYAL","005al00000RVvFOAA1","false","DocMan","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-09-01T10:48:43.000Z","005al00000RVvFOAA1","2026-09-01T10:48:43.000Z","","","","","132h4hk5123498yhfoin"
"a0oWD00000EBgSBYA1","005al00000RVcKvAAL","false","Loan Decisioning","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-09-01T10:48:43.000Z","005al00000RVvFOAA1","2026-09-01T10:48:43.000Z","","","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42036220080364727"
"a0oWD00000EBgSCYA1","005al00000RVcKvAAL","false","Retrieve Pricing Options","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-09-01T10:48:43.000Z","005al00000RVvFOAA1","2026-09-01T10:48:43.000Z","","","","Create the pricing option(s) based on information in the Loan.","42064981411428099"
"a0oWD00000EBgScYAL","005al00000RVcKvAAL","false","Pricing Options","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-09-01T10:48:43.000Z","005al00000RVvFOAA1","2026-09-01T10:48:43.000Z","","","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42089961001116585"
"a0oWE00000C9TbpYAF","005al00000RVcKvAAL","false","Construction Loan Administration","2026-07-05T09:56:31.000Z","005al00000RVcKvAAL","2026-09-01T10:48:43.000Z","005al00000RVvFOAA1","2026-09-01T10:48:43.000Z","","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42106976230413220"
"a0oWD00000EBgSYYA1","005al00000RVcKvAAL","false","Contruction Loan Administration","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-09-01T10:48:43.000Z","005al00000RVvFOAA1","2026-09-01T10:48:43.000Z","","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42115817145944385"
"a0oWD00000EBgSkYAL","005al00000RVvFOAA1","false","Loan Policy Exception","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-09-01T11:04:01.000Z","005al00000RVvFOAA1","2026-09-01T11:04:01.000Z","","","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658"
