"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Is_Template__c","LLC_BI__Start_Date__c","LLC_BI__lookupKey__c","LLC_BI__Is_Disabled__c","LLC_BI__Show_Footnotes__c","LLC_BI__Selected_Scale__c","LLC_BI__Object_API_Name__c","LLC_BI__Source_Template__c","LLC_BI__Is_Consolidation__c","LLC_BI__Version__c","LLC_BI__Migration_Target__c"
"a1Gbn00002PhBaTEAV","005bn000003k2JdAAI","","1120 S Corp Template","Use this Template for Tax Return Spreading only. 1120 S-Corp with 8825 Schedule and Debt Schedule 2023","","true","","00000103_1748_4885","false","false","$","","","false","",""
"a1Gbn00002PhBaWEAV","005bn000003k2JdAAI","","Complex Commercial","Commercial Template with Complex Balance Sheet Layout (FLEX) w. Debt Schedule. PSO Master 2023","","true","","00000128_A8AC_4419","false","true","$","","","false","",""
"a1Gbn00002PhBaSEAV","005bn000003k2JdAAI","","Individual with Cash Flow Schedules","Individual Template with abbreviated Cash Flow Schedules. Final.","","true","","00000131_86CD_4675","false","false","$","","","false","",""
"a1Gbn00002PhBaYEAV","005bn000003k2JdAAI","","1065 Partnership Spreads Template","Use this Template for Tax Return Spreading only. 1065 Partnership with 8825 Schedule and Debt Schedule 2023","","true","","00000142_4AAC_4737","false","false","$","","","false","",""
"a1Gbn00002PhBaUEAV","005bn000003k2JdAAI","","Individual with Full Schedules","Individual FLEX Template Full Schedules","","true","","0000014F_5587_4584","false","false","$","","","false","",""
"a1Gbn00002PhBaXEAV","005bn000003k2JdAAI","","Commercial Real Estate Analysis (FLEX)","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage). Final for PSO Master May 2023","","true","","00000150_0CC9_4520","false","true","$","LLC_BI__Collateral__c","","false","",""
"a1Gbn00002PhBaREAV","005bn000003k2JdAAI","","Agriculture Owner/Operator Template","Agriculture Template with Schedules","","true","","00000151_9138_4416","false","true","$","","","false","",""
"a1Gbn00002PhBaVEAV","005bn000003k2JdAAI","","Small Business","Small Business Precision Template (FLEX). PSO Master 2023","","true","","00000171_E3B8_4847","false","false","$","","","false","",""
"a1Gbn00002PhBaQEAV","005bn000003k2JdAAI","","Hotel Analysis Template","Use this template for hotel property analysis.","","true","","04C882A0_6426_4F59","false","false","$","LLC_BI__Collateral__c","","false","",""
"a1Gbn00002PhBaJEAV","005bn000003k2JdAAI","","Individual (FLEX)","Individual Template (FLEX)","","true","","1755293B_6724_4570","false","false","$","","","false","",""
"a1Gbn00002PhBaMEAV","005bn000003k2JdAAI","","Complex Commercial FLEX","Commercial Template with Complex Balance Sheet Layout (FLEX)","","true","","31186C31_3F7C_486E","false","true","$","","","false","",""
"a1Gbn00002PhBaNEAV","005bn000003k2JdAAI","","Residential Real Estate Analysis Template","Use this template for residential real estate analysis.","","true","","3D1931A5_41B2_4748","false","false","$","LLC_BI__Collateral__c","","false","",""
"a1Gbn00002PhBaKEAV","005bn000003k2JdAAI","","Small Business (FLEX)","Small Business Precision Template (FLEX)","","true","","4D525D4A_264E_4536","false","false","$","","","false","",""
"a1Gbn00002PhBaLEAV","005bn000003k2JdAAI","","Commercial (FLEX)","Commercial  Precision Template with Simple Balance Sheet Layout (FLEX)","","true","","573E2A37_4400_4124","false","false","$","","","false","",""
"a1Gbn00002PhBaPEAV","005bn000003k2JdAAI","","Mixed-Use Property Analysis Template","Use this template for properties that have multiple types of tenants (commercial, residential, etc).","","true","","9BF2496F_E6FD_4E11","false","false","$","LLC_BI__Collateral__c","","false","",""
"a1Gbn00002PhBaOEAV","005bn000003k2JdAAI","","Retail Real Estate Analysis Template","Use this template for retail real estate analysis.","","true","","C6C30EDB_4294_4FA7","false","false","$","LLC_BI__Collateral__c","","false","",""
