"AutorabitExtId__c","Id","IsDeleted","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Remaining__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","Name","OwnerId"
"","a258c000004VBJpAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42021036359002676","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBCYAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42056301407591363","NcinoRecord-01","0058c00000BxeO9AAJ"
"","a25Ka000003Td4IIAS","false","","","","true","false","0.0","831.1042","1068.8958","0.0","0.0","-968.8958","-731.1042","0.0","-6230.0","5344.0","643.0","6873.0","0.0","0.0","-4701.0","0.0","42069451525749142","Elite budget","0058c00000BxeO9AAJ"
"","a25Ka000003Td4GIAS","false","","","","true","false","0.0","17.0406","154.4364","0.0","0.0","-54.4364","82.9594","0.0","-23780.0","7444.0","43684.0","67464.0","0.0","0.0","36240.0","0.0","42081875638704092","Contract budget","0058c00000BxeO9AAJ"
"","a258c000004VBJqAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42110583086880417","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBLJAA4","false","","","","false","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42152289717499210","New Rec 62 updated","0058c00000BxeO9AAJ"
"","a25Ka000003Td4DIAS","false","","","","true","false","883.0","1128.2258","113.3065","0.0","0.0","-131.9892","-1028.2258","0.0","-982.0","8394.0","744.0","843.0","0.0","0.0","-7650.0","0.0","42172159694687762","Services budget","0058c00000BxeO9AAJ"
"","a258c000004VBJrAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42190861640379324","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBJsAAO","false","","a258c000004VBJxAAO","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","42191334335403812","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBJtAAO","false","","a258c000004VBJwAAO","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","42228810885640343","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a25Ka000003SBbuIAG","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42235077918149309","newJob001","0058c00000BxeO9AAJ"
"","a258c000004VBCaAAO","false","","a258c000004VBKUAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","42244306118689534","New Budgets 01","0058c00000BxeO9AAJ"
"","a258c000004VBJuAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42253046241412123","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a25Ka000003Td4RIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42290867984417717","A budget 2","0058c00000BxeO9AAJ"
"","a25Ka000003Td4HIAS","false","","","","true","false","0.0","9.541","9.6764","0.0","0.0","90.3236","90.459","0.0","6002.0","634.0","6645.0","643.0","0.0","0.0","6011.0","0.0","42319798035310692","Intake budget","0058c00000BxeO9AAJ"
"","a25Ka000003Td4LIAS","false","","","","true","false","0.0","136024.5723","1188.647","0.0","0.0","-1088.647","-135924.5723","0.0","-7000.0","874638.0","643.0","7643.0","0.0","0.0","-873995.0","0.0","42426512277583364","semi annual budget","0058c00000BxeO9AAJ"
"","a25Ka000003Td4UIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42499909363725076","AA budget 3","0058c00000BxeO9AAJ"
"","a25Ka000003Td4JIAS","false","","","","true","false","0.0","5.3028","100.2058","0.0","0.0","-0.2058","94.6972","0.0","-180.0","4638.0","87463.0","87643.0","0.0","0.0","82825.0","0.0","42507880177204313","overall budget","0058c00000BxeO9AAJ"
"","a25Ka000003Td4TIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42513768554706735","AA budget 2","0058c00000BxeO9AAJ"
"","a258c000004VBJvAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42516101622084174","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBJwAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42522583177688671","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a25Ka000003Td4FIAS","false","","","","true","false","0.0","83.3748","47.7401","0.0","0.0","52.2599","16.6252","0.0","3989.0","6364.0","7633.0","3644.0","0.0","0.0","1269.0","0.0","42529092827833181","Security budget","0058c00000BxeO9AAJ"
"","a258c000004VBJxAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42542914142876583","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBLOAA4","false","","","Budget for programming tools and classes_Metzger","true","false","3000.0","80.0","50.0","0.0","0.0","20.0","20.0","0.0","2000.0","8000.0","10000.0","5000.0","0.0","0.0","2000.0","0.0","42580408335031508","Programming Budget","0058c00000BxeO9AAJ"
"","a25Ka000003SBEjIAO","false","","","","false","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42591324258334766","Hello","0058c00000BxeO9AAJ"
"","a25Ka000003SBbvIAG","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42599791086129440","test1","0058c00000BxeO9AAJ"
"","a258c000004VBJyAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42618541838166399","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a25Ka000003Td4SIAS","false","","","","true","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","425.0","","425.0","","0.0","0.0","425.0","0.0","42630031178698104","AA budget 1","0058c00000BxeO9AAJ"
"","a25Ka000003Td4QIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42649749863455617","A budget 1","0058c00000BxeO9AAJ"
"","a258c000004VBJzAAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42658567736529257","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBK0AAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42663125339013752","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a25Ka000003SBA3IAO","false","","","","true","false","0.0","50.0","0.0","0.0","0.0","100.0","50.0","0.0","10000.0","5000.0","10000.0","0.0","0.0","0.0","5000.0","0.0","42663723825006159","TravelBudget","0058c00000BxeO9AAJ"
"","a25Ka000003Td4VIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42666151341517648","AA budget 4","0058c00000BxeO9AAJ"
"","a258c000004VBK1AAO","false","","a258c000004VBK2AAO","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","42677360520917603","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a25Ka000003Td4KIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42690342141278924","annual budget","0058c00000BxeO9AAJ"
"","a258c000004VBCSAA4","false","","","","true","false","500.0","150.0","100.0","0.0","0.0","-50.0","-50.0","0.0","-500.0","1500.0","1000.0","1000.0","0.0","0.0","-500.0","0.0","42693514141402985","Test User Budget","0058c00000BxeO9AAJ"
"","a258c000004VBK2AAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42733685110282543","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a25Ka000003Td4PIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42747788292289601","RS budget 12","0058c00000BxeO9AAJ"
"","a25Ka000003Td4NIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42803096663066142","semi annual budget","0058c00000BxeO9AAJ"
"","a25Ka000003SB4FIAW","false","","","","true","false","0.0","50.0","0.0","0.0","0.0","100.0","50.0","0.0","50.0","25.0","50.0","0.0","0.0","0.0","25.0","0.0","42816171803932625","TrainingBudget","0058c00000BxeO9AAJ"
