"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Automate_Collateral_Pledge__c","LLC_BI__Collateral_Type__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Filter_In_Branch_Collateral__c","LLC_BI__Filter_In_Branch_Leased_Asset__c","LLC_BI__Is_Default__c","LLC_BI__Product__c","LLC_BI__Valuation_Providers__c","LLC_BI__lookupKey__c"
"a3rWD000001kazNYAQ","005al00000RVcKvAAL","false","PCT-00000012","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3rYAE","","false","false","false","a48WD000001PAlTYAW","","42067453078286121"
"a3rWD000001kazCYAQ","005al00000RVcKvAAL","false","PCT-00000001","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3nYAE","","false","false","false","a48WD000001PAlSYAW","","42080064210953874"
"a3rWD000001kazIYAQ","005al00000RVcKvAAL","false","PCT-00000007","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K48YAE","","false","false","false","a48WD000001PAlSYAW","","42082128476127682"
"a3rWD000001kazLYAQ","005al00000RVcKvAAL","false","PCT-00000010","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K4LYAU","","false","false","false","a48WD000001PAlNYAW","","42082224992716307"
"a3rWD000001kazOYAQ","005al00000RVcKvAAL","false","PCT-00000013","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K47YAE","","false","false","false","a48WD000001PAlTYAW","","42330343645059870"
"a3rWD000001kazJYAQ","005al00000RVcKvAAL","false","PCT-00000008","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3vYAE","","false","false","false","a48WD000001PAlNYAW","","42395615082121958"
"a3rWD000001kazEYAQ","005al00000RVcKvAAL","false","PCT-00000003","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3rYAE","","false","false","false","a48WD000001PAlSYAW","","42446717035563040"
"a3rWD000001kazRYAQ","005al00000RVcKvAAL","false","PCT-00000016","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K48YAE","","false","false","false","a48WD000001PAlRYAW","","42479331933660465"
"a3rWD000001kazKYAQ","005al00000RVcKvAAL","false","PCT-00000009","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K4GYAU","","false","false","false","a48WD000001PAlNYAW","","42493838306586662"
"a3rWD000001kazHYAQ","005al00000RVcKvAAL","false","PCT-00000006","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3uYAE","","false","false","false","a48WD000001PAlSYAW","","42495165643102811"
"a3rWD000001kazGYAQ","005al00000RVcKvAAL","false","PCT-00000005","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3sYAE","","false","false","false","a48WD000001PAlSYAW","","42521698846750838"
"a3rWD000001kazFYAQ","005al00000RVcKvAAL","false","PCT-00000004","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K47YAE","","false","false","false","a48WD000001PAlSYAW","","42740069098375523"
"a3rWD000001kazMYAQ","005al00000RVcKvAAL","false","PCT-00000011","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K4NYAU","","false","false","false","a48WD000001PAlNYAW","","42751680411984640"
"a3rWD000001kazDYAQ","005al00000RVcKvAAL","false","PCT-00000002","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3qYAE","","false","false","false","a48WD000001PAlSYAW","","42769340570301526"
"a3rWD000001kazQYAQ","005al00000RVcKvAAL","false","PCT-00000015","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3uYAE","","false","false","false","a48WD000001PAlTYAW","","42830253017540857"
"a3rWD000001kazBYAQ","005al00000RVcKvAAL","false","PCT-00000000","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3mYAE","","false","false","false","a48WD000001PAlRYAW","","42934236837933053"
"a3rWD000001kazPYAQ","005al00000RVcKvAAL","false","PCT-00000014","2026-07-20T14:18:40.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","005al00000RVcKvAAL","2026-07-31T14:35:24.000Z","","","","false","a1lWD0000019K3sYAE","","false","false","false","a48WD000001PAlTYAW","","42961656754603237"
