"Id","IsDeleted","Name","OwnerId","nFORMS__Description__c","nFORMS__Document_Output_Type__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c"
"a1sbn0000010aXcAAI","false","Standard Commercial Form","005bn000003k2JdAAI","Standard Commercial Form","HTML","true","true","","Credit Memo","true","HTML","","","LLC_BI__Product_Package__c","false","HTML","42081037088623546"
"a1sbn0000010aXbAAI","false","Modification Request","005bn000003k2JdAAI","Modification Template","HTML","true","true","","Credit Memo","true","HTML","","","LLC_BI__Product_Package__c","true","HTML","42287555452295220"
"a1sbn0000010aXaAAI","false","Boarding Data Sheet","005bn000003k2JdAAI","Loan Boarding Data Sheet","Word","true","true","","General","true","Word","","","LLC_BI__Loan__c","false","Word","42720351860149510"
"a1sbn0000010aXdAAI","false","Standard Commercial Short Form","005bn000003k2JdAAI","Use this credit template for standard commercial loans.","HTML","true","true","","Credit Memo","true","HTML","","","LLC_BI__Product_Package__c","false","HTML","42739175983591357"
"a1sbn0000014PeTAAU","false","Small Business Credit Memo","005bn000003k2JdAAI","Credit Memo for all Small Business loans","HTML","true","true","","Credit Memo","true","HTML","","","LLC_BI__Loan__c","true","HTML","42782395031682678"
"a1sbn0000010aXnAAI","false","Review Credit Memo","005bn000003k2JdAAI","Review Credit Memo","HTML","true","true","","Credit Memo","true","HTML","","","LLC_BI__Review__c","false","HTML","42939755381098155"
"a1sbn0000010aXoAAI","false","Commerial Credit Memo","005bn000003k2JdAAI","","HTML","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","42966989010402205"
"a1sbn0000010aXeAAI","false","Commitment Letter / Term Sheet","005bn000003k2JdAAI","Generic Term Sheet","PDF","true","true","","General","true","PDF","","","LLC_BI__Loan__c","false","Word","42972107535279122"
"a1sbn0000010aXZAAY","false","Authorization to Pull Credit","005bn000003k2JdAAI","Use this form to collect a customer signature to pull credit score","Word","false","false","","","true","Word","","","Account","false","Word","a1sbn0000010aXZAAY"
"a1sbn0000010aXfAAI","false","Document Checklist","005bn000003k2JdAAI","","Word","false","true","","Credit Memo","false","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXfAAI"
"a1sbn0000010aXgAAI","false","Adverse Action Letter","005bn000003k2JdAAI","nCino Gold Standard Adverse Action Letter.","Word","false","false","","","true","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXgAAI"
"a1sbn0000010aXhAAI","false","Fees Checklist for Closing","005bn000003k2JdAAI","Fee Summary Document to help the bank closers prepare GL tickets.","Word","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" NOT=""Card""}}{{ENDIF}}","Credit Memo","false","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXhAAI"
"a1sbn0000010aXiAAI","false","General Ledger Tickets","005bn000003k2JdAAI","General Ledger Ticket that can used to process the Banks loan fees.","Word","false","false","","Credit Memo","false","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXiAAI"
"a1sbn0000010aXjAAI","false","MSA SCH A Change Service Form","005bn000003k2JdAAI","Use this form to remove Treasury Services","Word","false","false","","","true","Word","","","LLC_BI__Treasury_Service__c","false","Word","a1sbn0000010aXjAAI"
"a1sbn0000010aXkAAI","false","Covenant Letter","005bn000003k2JdAAI","Form letter used to notify my relationship accounts of when covenants are coming due","Word","false","false","","","true","Word","","","Account","false","Word","a1sbn0000010aXkAAI"
"a1sbn0000010aXlAAI","false","Master Services Agreement","005bn000003k2JdAAI","Master Services Agreement for nCino Financial Treasury Services","Word","false","false","","","true","Word","","","LLC_BI__Treasury_Service__c","false","Word","a1sbn0000010aXlAAI"
"a1sbn0000010aXmAAI","false","Executive Pricing Summary","005bn000003k2JdAAI","Treasury Service- Executive Pricing Summary for nCino Financial Treasury Services","Word","false","false","","","true","Word","","","LLC_BI__Scenario__c","false","Word","a1sbn0000010aXmAAI"
"a1sbn0000010aXpAAI","false","Proposal Letter","005bn000003k2JdAAI","nCino Gold Standard Proposal Letter.","Word","false","false","","","true","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXpAAI"
