"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c"
"a1ZWD000002I6Af2AK","005al00000Q6IbCAAV","false","CFG-CV00000616","Credit Action","This value controls which fields should not clone when you do a renewal or modification. The value should be the field set which includes the fields you do not want cloned.","Fields_To_Not_Clone","","Fields_To_Not_Clone_Renewal","42013176837116171"
"a1ZWD000002I6Ag2AK","005al00000Q6IbCAAV","false","CFG-CV00000617","Copy Loan","","Fields_To_Not_Clone","","cm_Fields_Not_To_Clone_Sub_Loan_DMW","42023525899140988"
"a1ZWD000002I6Ah2AK","005al00000Q6IbCAAV","false","CFG-CV00000618","Create New Sub Loan","","Fields_To_Not_Clone","","cm_Fields_Not_To_Clone_Sub_Loan_DMW","42026525999140936"
"a1ZWD000002I6Ai2AK","005al00000Q6IbCAAV","false","CFG-CV00000619","Credit Action","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value.","Name_Format","","_R","42042792201932624"
"a1ZWD000002I6Aj2AK","005al00000Q6IbCAAV","false","CFG-CV00000620","Credit Action","This Configuration will specify what status a loan must be in before a specific credit action can be performed on it","Status_Renewal_Allowed","","Open","42047431713720027"
"a1ZWD000002I6Ak2AK","005al00000Q6IbCAAV","false","CFG-CV00000621","Copy Loan","","field_set:override_fields","","cm_DMW_Loan_Creation_Addition_Fields","42154837463632753"
"a1ZWD000002I6Al2AK","005al00000Q6IbCAAV","false","CFG-CV00000622","Copy Loan","","field_set:override_fields","","cm_DMW_Add_Sub_Loan_Override","42194832463632951"
"a1ZWD000002I6Am2AK","005al00000Q6IbCAAV","false","CFG-CV00000623","Credit Action","","Fields_To_Not_Clone","","Fields_To_Not_Clone_Modification","42205899172674511"
"a1ZWD000002I6An2AK","005al00000Q6IbCAAV","false","CFG-CV00000624","Copy Loan","","Relatives_To_Clone","","[
{""relative"":""LLC_BI__Legal_Entities__r"",""required"":false},
{""relative"": ""LLC_BI__Legal_Entities__r"", ""required"": true,""children"": [{""relative"": ""LLC_BI__Contingent_Liabilties__r""},{""relative"": ""LLC_BI__Authorized_Accounts__r""}]},
{""relative"": ""LLC_BI__Loan_Collateral__r"", ""required"": false},
{""relative"": ""LLC_BI__Policy_Exceptions__r"", ""required"": false},
{""relative"": ""LLC_BI__Loan_Teams__r"", ""required"": false}
]","42236262719945881"
"a1ZWD000002I6Ao2AK","005al00000Q6IbCAAV","false","CFG-CV00000625","Credit Action","This Configuration will specify what stage a loan must be in before a specific credit action can be performed on it","Stages_Renewal_Allowed","","Booked","42367445419086240"
"a1ZWD000002I6Ap2AK","005al00000Q6IbCAAV","false","CFG-CV00000626","Credit Action","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value.","Name_Format","","_M","42384509260746486"
"a1ZWD000002I6Aq2AK","005al00000Q6IbCAAV","false","CFG-CV00000627","Credit Action","You should specify true in the value field to specify the Rate and Payment Structure should clone. It always performs asynchronously.","Clone_Rate_and_Payment_Structures","","false","42390322604356729"
"a1ZWD000002I6Ar2AK","005al00000Q6IbCAAV","false","CFG-CV00000628","Credit Action","You should specify true in the value field to specify the Credit Memo should clone. It always performs asynchronously.","Clone_Credit_Memo","","false","42439628166151715"
"a1ZWD000002I6As2AK","005al00000Q6IbCAAV","false","CFG-CV00000629","Credit Action","You should specify true in the value field to specify the Budget should clone. It always performs asynchronously.","Clone_Budget","","false","42452837413171255"
