"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Covenant_Creation_Field_Set__c","LLC_BI__Covenant_Details_Field_Set__c","LLC_BI__Covenant_Edit_Field_Set__c","LLC_BI__Document_Sources__c","LLC_BI__Financial_Statement__c","LLC_BI__Grace_Days__c","LLC_BI__Is_Financial_Indicator__c","LLC_BI__lookupKey__c"
"a1yWD000001dmvYYAQ","005al00000RVcKvAAL","false","Real Estate Taxes","Collateral","","","","","false","","false","1558457345664583"
"a1yWD000001aZebYAE","005al00000Q6IbCAAV","false","Business Financial Statement","Financial Statement Requirements","","","","","true","30.0","false","42030619573947151"
"a1yWD000001aZecYAE","005al00000Q6IbCAAV","false","Maintain Corporate Existence","Affirmative Covenants","","","","","false","15.0","false","42081818818812093"
"a1yWD000001aZedYAE","005al00000Q6IbCAAV","false","Line Rest","Default Covenant","","","","","false","15.0","false","42083061122119645"
"a1yWD000001aZeeYAE","005al00000Q6IbCAAV","false","No Loans to Officers/Owners","Negative Covenants","","","","","false","15.0","false","42109402165092258"
"a1yWD000001aZefYAE","005al00000Q6IbCAAV","false","Lease Requirements","Term Covenants","","","","","false","15.0","false","42147630879941531"
"a1yWD000001aZegYAE","005al00000Q6IbCAAV","false","Minimum Net Worth","Financial Indicators","","","","","false","60.0","true","42148518087104789"
"a1yWD000001aZehYAE","005al00000Q6IbCAAV","false","Global Cash Flow","Financial Indicators","","","","","false","60.0","true","42173916650513418"
"a1yWD000001aZeiYAE","005al00000Q6IbCAAV","false","Change of Ownership","Default Covenant","","","","","false","15.0","false","42204542123097694"
"a1yWD000001aZejYAE","005al00000Q6IbCAAV","false","Limitation on Additional Debt","Default Covenant","","","","","false","15.0","false","42213199645035052"
"a1yWD000001aZekYAE","005al00000Q6IbCAAV","false","Maintain Licenses/Permits","Affirmative Covenants","","","","","false","15.0","false","42217176175628265"
"a1yWD000001aZelYAE","005al00000Q6IbCAAV","false","Maximum Debt to Worth","Financial Indicators","","","","","false","60.0","true","42236563194869976"
"a1yWD000001aZemYAE","005al00000Q6IbCAAV","false","Fixed Charge Coverage","Financial Indicators","","","","","false","60.0","true","42259432651547202"
"a1yWD000001aZenYAE","005al00000Q6IbCAAV","false","Debt Schedule","Financial Statement Requirements","","","","","true","15.0","false","42279508663557232"
"a1yWD000001aZeoYAE","005al00000Q6IbCAAV","false","No Distributions Without Approval","Negative Covenants","","","","","false","15.0","false","42296299323593475"
"a1yWD000001aZepYAE","005al00000Q6IbCAAV","false","Flood Insurance","Insurance Requirements","","","","","false","15.0","false","42303495771079612"
"a1yWD000001aZeqYAE","005al00000Q6IbCAAV","false","Out of Debt Period","Term Covenants","","","","","false","15.0","false","42304354370355169"
"a1yWD000001aZerYAE","005al00000Q6IbCAAV","false","Floor Plan Inspections","Collateral Requirements","","","","","false","15.0","false","42326800528350706"
"a1yWD000001aZesYAE","005al00000Q6IbCAAV","false","Accounts Payable Aging","Financial Statement Requirements","","","","","true","15.0","false","42329852002289556"
"a1yWD000001aZetYAE","005al00000Q6IbCAAV","false","Marketable Securities Statement","Financial Statement Requirements","","","","","true","15.0","false","42356308999462135"
"a1yWD000001aZeuYAE","005al00000Q6IbCAAV","false","No Asset Sales","Negative Covenants","","","","","false","15.0","false","42363504712863389"
"a1yWD000001aZevYAE","005al00000Q6IbCAAV","false","No Change in Ownership","Negative Covenants","","","","","false","15.0","false","42373555063279360"
"a1yWD000001aZewYAE","005al00000Q6IbCAAV","false","Debt Service Coverage Ratio (DSCR)","Financial Indicators","","","","","false","60.0","true","42389314858762986"
