"Id","OwnerId","IsDeleted","Name","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD0000011TLxYAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","01081666029078575"
"a0bWD0000011TTHYA2","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","01681619447516419"
"a0bWD0000011UEKYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","03681641354326563"
"a0bWD0000011UELYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","04001641831942815"
"a0bWD0000011UEMYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","04271641831942814"
"a0bWD0000011TTIYA2","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","04431620937673263"
"a0bWD0000011TTJYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06041619447516421"
"a0bWD0000011TYXYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06771663700626753"
"a0bWD0000011TTKYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06951620937673263"
"a0bWD0000011TYYYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","07351640791249090"
"a0bWD0000011TQmYAM","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","0A6B1D582F6E404D876831747D6E7A24"
"a0bWD0000011TQnYAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","0F3F3A611F244D5C973C096A301A0440"
"a0bWD0000011WA9YAM","005al00000RVcKvAAL","false","a2Cbn000002Vb7P","","Html.Layouts.TableLayout","","","","1.193733913374961"
"a0bWD0000011TLyYAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","1.95854780623117E"
"a0bWD0000011TLzYAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","11821663700626751"
"a0bWD0000011TM0YAM","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","12171602764632749"
"a0bWD0000011TTLYA2","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","12551620937673259"
"a0bWD0000011UENYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","12931640206780120"
"a0bWD0000011TYZYA2","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","13621640791249091"
"a0bWD0000011TYaYAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","14301640791249090"
"a0bWD0000011TTMYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","14431560278867960"
"a0bWD0000011TM1YAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","15531663700626749"
"a0bWD0000011TTNYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","16931619447516420"
"a0bWD0000011TTOYA2","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","16941567002572494"
"a0bWD0000011TM2YAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","17201666029078572"
"a0bWD0000011TYbYAM","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","18171640791249089"
"a0bWD0000011TM3YAM","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","18881663700626752"
"a0bWD0000011TTPYA2","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","19081620937673264"
"a0bWD0000011UEOYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","19191641354326565"
"a0bWD0000011TM4YAM","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","19751663700626753"
"a0bWD0000011TM5YAM","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","19811666029078570"
"a0bWD0000011TYcYAM","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","2.721376314360757"
"a0bWD0000011TYdYAM","005al00000RVcKvAAL","false","a2Cbn000002Vb76","","Html.Layouts.NoLayout","","","","2.995585592039385"
"a0bWD0000011TM6YAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","20471666029078577"
"a0bWD0000011TNnYAM","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","21931701790672164"
"a0bWD0000011TM7YAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","22451602764632751"
"a0bWD0000011TTQYA2","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","23381560278867959"
"a0bWD0000011TYeYAM","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","24071640791249091"
"a0bWD0000011UEPYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","25521641354326564"
"a0bWD0000011UEQYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","26471641831942812"
"a0bWD0000011UERYA2","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","26531641354326563"
"a0bWD0000011TM8YAM","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","26681663700626752"
"a0bWD0000011UESYA2","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","27241641354326566"
"a0bWD0000011TM9YAM","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","28431666029078571"
