"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a0sWD00000XpfSfYAJ","005al00000RVcKvAAL","false","ReviewSubmitLoan","false","false","false","000008C4_2C2C_4944_8EBC_E365C3EC842C","","","",""
"a0sWD00000XpfSgYAJ","005al00000RVcKvAAL","false","ReviewSubmitDeposit","false","false","false","000029C4_2C2C_4944_8EBC_E365C3EC842C","","","",""
"a0sWD00000XpesnYAB","005al00000RVcKvAAL","false","Associated Accounts","false","false","true","00031576590189623","","","",""
"a0sWD00000XpesoYAB","005al00000RVcKvAAL","false","tests","false","false","true","001","","","",""
"a0sWD00000XpespYAB","005al00000RVcKvAAL","false","Loan Compliance Screen","false","false","true","00231585311469503","","","",""
"a0sWD00000XpbEgYAJ","005al00000RVcKvAAL","false","Entity Compliance Screen","false","false","true","0072177E254843688F532C1E20705574","","","",""
"a0sWD00000XpbMqYAJ","005al00000RVcKvAAL","false","CRA Screen","false","false","true","01051619447514585","","","",""
"a0sWD00000XpesqYAB","005al00000RVcKvAAL","false","Fees Approved","false","false","true","014c353c-6571-4298","","","",""
"a0sWD00000XpesrYAB","005al00000RVcKvAAL","false","ReviewSubmitLoan","false","false","false","0174307F_066F_4F4F_846D_7F326A724E02","","","",""
"a0sWD00000XpessYAB","005al00000RVcKvAAL","false","Onboarding","false","false","true","02531576590678794","","","",""
"a0sWD00000XpbMGYAZ","005al00000RVcKvAAL","false","Borrowing Structure Information","false","false","true","02551560278745076","","","",""
"a0sWD00000XpestYAB","005al00000RVcKvAAL","false","Booked Information","false","false","true","0263eb1b-cfd2-c8ca","","","",""
"a0sWD00000XpesuYAB","005al00000RVcKvAAL","false","Loan Details","false","false","true","0282af63-6548-9614","","","",""
"a0sWD00000XpbEhYAJ","005al00000RVcKvAAL","false","Referral","false","false","true","033A51341F29453B88353A5D3C775058","","","",""
"a0sWD00000XpUSWYA3","005al00000RVcKvAAL","false","Underwriting Details","false","false","true","03471560278867077","","","",""
"a0sWD00000XpesvYAB","005al00000RVcKvAAL","false","Equipment","false","false","true","03761575852395434","","","",""
"a0sWD00000XpeswYAB","005al00000RVcKvAAL","false","Onboarding","false","false","true","03821575852747845","","","",""
"a0sWD00000XpUSXYA3","005al00000RVcKvAAL","false","Site Visit","false","false","true","0398747383","","","",""
"a0sWD00000XpesxYAB","005al00000RVcKvAAL","false","Construction Details","false","false","true","03a77448-16ac-7206","","","",""
"a0sWD00000XpesyYAB","005al00000RVcKvAAL","false","Opportunities","false","false","true","03ef8918-73a6-f820","","","",""
"a0sWD00000XpUSYYA3","005al00000RVcKvAAL","false","Change Memo","false","false","true","04391620937671559","","","",""
"a0sWD00000XpeszYAB","005al00000RVcKvAAL","false","Underwriting Details","false","false","true","04671592857387269","","","",""
"a0sWD00000Xpet0YAB","005al00000RVcKvAAL","false","Application Details","false","false","true","04851663700624861","","","",""
"a0sWD00000Xpet1YAB","005al00000RVcKvAAL","false","Onboarding","false","false","true","05521575852600761","","","",""
"a0sWD00000Xpet2YAB","005al00000RVcKvAAL","false","Enhanced Fees Management","false","false","true","05561592857387269","","","",""
"a0sWD00000XpfU1YAJ","005al00000RVcKvAAL","false","SBA Form 159","false","false","true","05616D1E7F194D29A84D6F09151E2E63","","","",""
"a0sWD00000XpbLQYAZ","005al00000RVcKvAAL","false","Product Summary","false","false","true","05641567002571747","","","",""
"a0sWD00000Xpet3YAB","005al00000RVcKvAAL","false","Underwriting Details1","false","false","true","06031640791247589","","","",""
"a0sWD00000Xpet4YAB","005al00000RVcKvAAL","false","Previous SBA Loan","false","false","true","0612db1a-363f-224c","","","",""
"a0sWD00000XpbCfYAJ","005al00000RVcKvAAL","false","Borrowing Structure Information","false","false","true","06531585311469510","","","",""
"a0sWD00000XpfU2YAJ","005al00000RVcKvAAL","false","Use of Proceeds","false","false","true","066D33475F32494EB24F2638652C0877","","","",""
"a0sWD00000Xpet5YAB","005al00000RVcKvAAL","false","Loan Team","false","false","true","06901640791247591","","","",""
"a0sWD00000Xpet6YAB","005al00000RVcKvAAL","false","Application Details","false","false","true","06991592857387268","","","",""
"a0sWD00000XpbKPYAZ","005al00000RVcKvAAL","false","Editable Fields","false","false","true","07281585604340854","","","",""
"a0sWD00000Xpet7YAB","005al00000RVcKvAAL","false","Counterparty Report Topbar","false","false","true","07892345089709872345","","","",""
"a0sWD00000XpbCgYAJ","005al00000RVcKvAAL","false","Underwriting Details1","false","false","true","07911600720267875","","","",""
"a0sWD00000Xpet8YAB","005al00000RVcKvAAL","false","Stage History","false","false","true","07df8b74-c25b-1685","","","",""
"a0sWD00000Xpet9YAB","005al00000RVcKvAAL","false","CRA Screen","false","false","true","08503942-05e7-28bc","","","",""
"a0sWD00000XpetAYAR","005al00000RVcKvAAL","false","Application Details","false","false","true","08571592334965450","","","",""
"a0sWD00000XpetBYAR","005al00000RVcKvAAL","false","Deposit Products","false","false","true","0865799c-7558-5aab","","","",""
"a0sWD00000XpbChYAJ","005al00000RVcKvAAL","false","CRA Screen","false","false","true","08841585311469499","","","",""
"a0sWD00000XpbMBYAZ","005al00000RVcKvAAL","false","Risk Ratings","false","false","true","08891585604340856","","","",""
"a0sWD00000XpetCYAR","005al00000RVcKvAAL","false","Available Screen Sections","false","false","true","09873240987234590875324","","","",""
"a0sWD00000XpbKoYAJ","005al00000RVcKvAAL","false","Product Summary","false","false","true","09911567002550278","","","",""
"a0sWD00000XpbEiYAJ","005al00000RVcKvAAL","false","Change Memo","false","false","true","0F42650F61684307B53C2F05566A6A16","","","",""
"a0sWD00000XpetDYAR","005al00000RVcKvAAL","false","Loan Information","false","false","true","0b50504a-3610-e812","","","",""
"a0sWD00000XpetEYAR","005al00000RVcKvAAL","false","Collateral Owned","false","false","true","0c38cb4c-fb15-eab7","","","",""
"a0sWD00000XpetFYAR","005al00000RVcKvAAL","false","Borrowing Structure Information","false","false","true","0ea98dc7-1543-d180","","","",""
"a0sWD00000XpetGYAR","005al00000RVcKvAAL","false","Etran Review","false","false","true","1010289392874123","","","",""
"a0sWD00000XpetHYAR","005al00000RVcKvAAL","false","Secured Comm Eligibility","false","false","true","10181579293659455","","","",""
"a0sWD00000XpetIYAR","005al00000RVcKvAAL","false","Pricing","false","false","true","10411585311469500","","","",""
"a0sWD00000XpetJYAR","005al00000RVcKvAAL","false","Pricing","false","false","true","10621578346510229","","","",""
"a0sWD00000XpetKYAR","005al00000RVcKvAAL","false","SBA Express Loan Authorization","false","false","true","10691585311469510","","","",""
"a0sWD00000XpUSZYA3","005al00000RVcKvAAL","false","Narrative Booked","false","false","true","10941585604340854","","","",""
"a0sWD00000XpetLYAR","005al00000RVcKvAAL","false","Edit Equipment","false","false","true","109621646563293041","","","",""
"a0sWD00000XpbCiYAJ","005al00000RVcKvAAL","false","Adverse Actions/Counter Offers","false","false","true","11031663700624864","","","",""
"a0sWD00000XpetMYAR","005al00000RVcKvAAL","false","Loan Pledges","false","false","true","111b046f-2324-9876-801c-ebdf0f04743c","","","",""
"a0sWD00000XpetNYAR","005al00000RVcKvAAL","false","Adverse Actions","false","false","true","11381640791247587","","","",""
"a0sWD00000XpbLdYAJ","005al00000RVcKvAAL","false","Pricing Required Fields","false","false","true","11671619447514581","","","",""
"a0sWD00000XpbLfYAJ","005al00000RVcKvAAL","false","Draw History Screen","false","false","true","12061619447514587","","","",""
"a0sWD00000XpetOYAR","005al00000RVcKvAAL","false","Onboarding Conditional Screen","false","false","true","12091576590025974","","","",""
"a0sWD00000XpetPYAR","005al00000RVcKvAAL","false","EMEA Collateral Creation Screen","false","false","true","121356185612375173","","","",""
"a0sWD00000XpetQYAR","005al00000RVcKvAAL","false","EMEA Add Sub Screen","false","false","true","122901792722120281","","","",""
