"Id","OwnerId","IsDeleted","Name","LLC_BI__EmailTemplate__c","LLC_BI__Email_Template_Purpose__c","LLC_BI__Institution__c","LLC_BI__lookupKey__c"
"a2gWE000001XG0bYAG","005al00000RVcKvAAL","false","ETI-000000010","00X3g000000QlqH","Account Document Assigned - Bulk","a31WE000001anG9YAI","a4o3g000000k9wvAAA"
"a2gWE000001XG0cYAG","005al00000RVcKvAAL","false","ETI-000000011","00X3g000000QlqIEAS","Account Document Rejected-arun","a31WE000001anG9YAI","a4o3g000000k9wwAAA"
"a2gWE000001XG0dYAG","005al00000RVcKvAAL","false","ETI-000000012","00X3g000000QlqJ","Borrower Added (Existing)","a31WE000001anG9YAI","a4o3g000000k9wxAAA"
"a2gWE000001XG0eYAG","005al00000RVcKvAAL","false","ETI-000000013","00X3g000000QlqK","Borrower Added (New)","a31WE000001anG9YAI","a4o3g000000k9wyAAA"
"a2gWE000001XG0fYAG","005al00000RVcKvAAL","false","ETI-000000014","00X3g000000QlqL","Co-Owner Added (Existing)","a31WE000001anG9YAI","a4o3g000000k9wzAAA"
"a2gWE000001XG0gYAG","005al00000RVcKvAAL","false","ETI-000000015","00X3g000000QlqM","Co-Owner Added (New)","a31WE000001anG9YAI","a4o3g000000k9x0AAA"
"a2gWE000001XG0hYAG","005al00000RVcKvAAL","false","ETI-000000016","00X3g000000QlqO","Deposit Documents Assigned","a31WE000001anG9YAI","a4o3g000000k9x1AAA"
"a2gWE000001XG0iYAG","005al00000RVcKvAAL","false","ETI-000000017","00X3g000000QlqN","Deposit Document Rejected","a31WE000001anG9YAI","a4o3g000000k9x2AAA"
"a2gWE000001XG0jYAG","005al00000RVcKvAAL","false","ETI-000000018","00X3g000000Qlq3","Guarantor Added (Existing)","a31WE000001anG9YAI","a4o3g000000k9x3AAA"
"a2gWE000001XG0kYAG","005al00000RVcKvAAL","false","ETI-000000019","00X3g000000Qlq4","Guarantor Added (New)","a31WE000001anG9YAI","a4o3g000000k9x4AAA"
"a2gWE000001XG0lYAG","005al00000RVcKvAAL","false","ETI-000000020","00X3g000000Qlq6","Loan Document Assigned Email - Bulk","a31WE000001anG9YAI","a4o3g000000k9x5AAA"
"a2gWE000001XG0mYAG","005al00000RVcKvAAL","false","ETI-000000021","00X3g000000QlqP","Loan Document Rejected Email","a31WE000001anG9YAI","a4o3g000000k9x6AAA"
"a2gWE000001XG0nYAG","005al00000RVcKvAAL","false","ETI-000000022","00X3g000000QlqD","Save and Continue","a31WE000001anG9YAI","a4o3g000000k9x7AAA"
"a2gWE000001XG0oYAG","005al00000RVcKvAAL","false","ETI-000000023","00X4T000000GTs7","null","a31WE000001anG9YAI","dth56htrshrh5"
