"Id","OwnerId","IsDeleted","Name","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__End_Days__c","LLC_BI__High_Balance__c","LLC_BI__Interest_Rate__c","LLC_BI__Low_Balance__c","LLC_BI__Relationship_Grade__c","LLC_BI__Start_Days__c","LLC_BI__lookupKey__c","LLC_BI__Tier_Template__c","cm_Annual_Percentage_Yield__c","cm_Approval_Complete__c","cm_Original_APY__c","cm_Original_Interest_Rate__c","cm_Rate_Change_Reason__c"
"a42bn000001K6SEAA0","005bn000003k2JdAAI","false","Tier 2","a3ybn0000002k0jAAA","","49999.99","0.3","10000.0","","","42120736293237784","","","","","",""
"a42bn000001K6SLAA0","005bn000003k2JdAAI","false","Tier 2","a3ybn0000002k0lAAA","","1000000.0","0.3","0.01","","","42496207323023003","","","","","",""
"a42bn000001K6SCAA0","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0iAAA","","1000000.0","0.075","5000.0","","","42520794247599065","","","","","",""
"a42bn000001K6SAAA0","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0dAAA","","100000.0","0.5","1000.0","","","42562667599043842","","","","","",""
"a42bn000001K6SMAA0","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0kAAA","","500000.0","0.05","0.01","","","42597291125131752","","","","","",""
"a42bn000001K6SFAA0","005bn000003k2JdAAI","false","Tier 3","a3ybn0000002k0jAAA","","1000000.0","0.4","50000.0","","","42619466738834965","","","","","",""
"a42bn000001K6SBAA0","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0hAAA","","100000.0","0.75","1000.0","","","42645141722533944","","","","","",""
"a42bn000001K6S5AAK","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0gAAA","","1000000.0","0.05","5000.0","","","42661083759372378","","","","","",""
"a42bn000001K6SKAA0","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0lAAA","","1000000.0","0.15","0.01","","","42667474917220776","","","","","",""
"a42bn000001K6S8AAK","005bn000003k2JdAAI","false","Tier 2","a3ybn0000002k0eAAA","","49999.99","0.1","10000.0","","","42702913677795644","","","","","",""
"a42bn000001K6SDAA0","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0jAAA","","9999.99","0.1","1000.0","","","42760271690345501","","","","","",""
"a42bn000001K6SNAA0","005bn000003k2JdAAI","false","Tier 2","a3ybn0000002k0kAAA","","1000000.0","0.1","500000.0","","","42832907736378449","","","","","",""
"a42bn000001K6S6AAK","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0fAAA","","1000000.0","0.03","1.0","","","42842414807934949","","","","","",""
"a42bn000001K6S7AAK","005bn000003k2JdAAI","false","Tier 1","a3ybn0000002k0eAAA","","9999.99","0.075","5001.0","","","42856784579913739","","","","","",""
"a42bn000001K6S9AAK","005bn000003k2JdAAI","false","Tier 3","a3ybn0000002k0eAAA","","1000000.0","0.15","50000.0","","","42881681541754718","","","","","",""
