"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Linked__c","LLC_BI__Linked_Spread_Statement_Record__c","LLC_BI__Linked_Spread_Statement_Total_Group__c","LLC_BI__Operation_Add__c","LLC_BI__Operation_Divide__c","LLC_BI__Operation_Multiply__c","LLC_BI__Operation_Subtract__c","LLC_BI__Operation__c","LLC_BI__Period_Over_Period_Change__c","LLC_BI__Row_Number__c","LLC_BI__Spread_Statement_Record_Total__c","LLC_BI__lookupKey__c","LLC_BI__Record_Type__c","LLC_BI__Prior_Fiscal_Year__c","LLC_BI__Display_Type__c","LLC_BI__KPI_Type__c","LLC_BI__Period_Over_Prior_Fiscal_Year__c","LLC_BI__Formula__c","LLC_BI__Source_Row__c","LLC_BI__Cloned_Source_Row__c","LLC_BI__Formula_Long_Text__c","LLC_BI__Associated_Parent_Record__c"
"a18bn000001a1nNAAQ","","Capital Expenditures","a19bn000001uMUSAA2","false","true","","","","","","","","ADD","false","11.0","a16bn00000108J6AAI","06a1a9bc-e1b3-4775-9976-8f21d83acda7","Simulated","false","Group","","false","","","","<#Capital_Expenditure_ACCTGRD>",""
"a18bn000001a1alAAA","","Accounts Receivable - Manual Adj.","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","11.0","a16bn00000108J7AAI","11439c3d-f709-47e9-a530-5bb6228b0137","Standard","false","Group","","false","","","","",""
"a18bn000001a1CnAAI","","Other Expenses","a19bn000001uMdjAAE","false","true","","","","","","","","ADD","false","5200.0","a16bn00000108gqAAA","13f252a8-bfdc-49a5-8b9e-9f7a21f28a99","Standard","false","Group","","false","","","","",""
"a18bn000001a1aaAAA","","Chg. Accrued Interest","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108J4AAI","17a0d46d-49f2-4159-ac4a-78511e78bdc6","Simulated","false","Group","","true","","","","<#Interest_Payable_ACCTGRD>",""
"a18bn000001a1acAAA","","Capital Sales","a19bn000001uMUSAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108J6AAI","28e3a4f9-1afa-4dda-8ac4-0718b43cc784","Standard","false","Group","","false","","","","",""
"a18bn000001a14bAAA","","Other Revenue","a19bn000001uMdjAAE","false","true","","","","","","","","ADD","false","6000.0","a16bn00000108gtAAA","296c824d-3d8a-4723-875a-6e9d0f743755","Standard","false","Group","","false","","","","",""
"a18bn000001a1RXAAY","","Prepaids - Manual Adj.","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","11.0","a16bn00000108JAAAY","2f04936c-6e6c-4660-b7c1-710b453e0295","Standard","false","Group","","false","","","","",""
"a18bn000001a1ngAAA","","Capital Expenditures","a19bn000001uMUXAA2","true","true","","","","","","","","ADD","false","387.875","a16bn00000108JMAAY","2f540f31-1b7f-463f-911d-b3b9548f0e5e","Simulated","false","Group","","false","","","","<#Capital_Expenditure_ACCTGRD>",""
"a18bn000001a1ahAAA","","Chg. Crop Inventory","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108J8AAI","309706f2-fb21-44ab-a362-3cd469e5ba7b","Simulated","false","Financial","","true","","","","<#Crop_Inventory_ACCTGRD>",""
"a18bn000001a1RWAAY","","Other Current Assets - Manual Adj.","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","11.0","a16bn00000108JBAAY","33017e8e-abb5-49f9-8dac-5c6f20ff3461","Standard","false","Group","","false","","","","",""
"a18bn000001a1abAAA","","Chg. Livestock Inventory","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108IgAAI","34f4a432-fe7b-4538-a868-c5e2c00660bf","Simulated","false","Group","","true","","","","<#MarketLivestock_andPoultry_ACCTGRD>",""
"a18bn000001a147AAA","","Rooms Occupied","a19bn000001uMdjAAE","false","true","","a18bn000001a14nAAA","","","","","","ADD","false","100.0","a16bn00000108gkAAA","35531f7e-a910-4825-bfec-a491588b81bf","Standard","false","Group","","false","","","","",""
"a18bn000001a1RRAAY","","Chg. Breeding Livestock","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108JCAAY","36fc410f-1d46-4153-9c7b-a38566dc1e2b","Simulated","false","Group","","true","","","","<#BreedingStock_Inventory_ACCTGRD>",""
"a18bn000001a14cAAA","","Total Rooms","a19bn000001uMdjAAE","false","true","","a18bn000001a14pAAA","","","","","","DIVIDE","false","1100.0","a16bn00000108gkAAA","3afc1925-c531-47ea-9285-9a8e814437dd","Standard","false","Group","","false","","","","",""
"a18bn000001a1eYAAQ","","Livestock Inventory  - Manual Adj.","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","11.0","a16bn00000108IgAAI","3b14e26e-339d-42f7-81f8-6841ea2c6d57","Standard","false","Group","","false","","","","",""
"a18bn000001a14DAAQ","","Total Available Rooms","a19bn000001uMdjAAE","false","true","","a18bn000001a14oAAA","","","","","","DIVIDE","false","1100.0","a16bn00000108grAAA","3bbd127b-e14b-4d44-8ad9-0978eb32547e","Standard","false","Group","","false","","","","",""
"a18bn000001a1aeAAA","","Chg. Grain Inventory","a19bn000001uMUTAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108IfAAI","3e067495-9a65-4dee-8ea5-9011ac491c31","Simulated","false","Group","","true","","","","<#Grain_Inventory_ACCTGRD>",""
"a18bn000001a149AAA","","Convention / Bankquet","a19bn000001uMdjAAE","false","true","","","","","","","","ADD","false","3000.0","a16bn00000108gtAAA","3ee11fff-49a7-43f0-859a-fab309fe6408","Standard","false","Group","","false","","","","",""
"a18bn000001a1stAAA","","Other Cash Flow Adjustments","a19bn000001uMUnAAM","false","true","","","","","","","","ADD","false","71.0","a16bn00000108WUAAY","4180c921-df75-4410-ba28-f3551909b75c","Standard","false","Financial","","false","","","","",""
"a18bn000001a1KlAAI","","Other General & Admin Expense","a19bn000001uMdeAAE","false","true","","","","","","","","ADD","false","20.0","a16bn00000108fdAAA","42001463618209827","Standard","false","Group","","false","","","","",""
"a18bn000001a1qMAAQ","","Historical Cash Flow Coverage","a19bn000001uMUgAAM","false","true","","","","","","","","ADD","false","11.0","a16bn00000108VdAAI","42001497615726770","Simulated","false","Decimal","","false","","","","<#TCF_Cash_Flow_Available_to_Service_Debt_ACCTGRD>/<#TCF_Historical_Debt_Service_ACCTGRD>",""
"a18bn000001a12BAAQ","","Capital Leases","a19bn000001uMdYAAU","false","true","","","","","","","","ADD","false","70.0","a16bn00000108ebAAA","42002170231289461","Standard","false","Group","","false","","","","",""
"a18bn000001Zt0vAAC","","Total Sales","a19bn000001uMdZAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108ekAAA","42002916097863520","Simulated","false","Group","","false","","","","<#Total_Net_SalesRevenue_ACCTGRD>",""
"a18bn000001a1XnAAI","","Accumulated OCI","a19bn000001uMV1AAM","false","true","","","","","","","","ADD","false","95.0","a16bn00000108aPAAQ","42003289408494823","Standard","false","Group","","false","","","","",""
"a18bn000001a1aRAAQ","","Legal & Professional Fees","a19bn000001uMV2AAM","false","true","","","","","","","","ADD","false","81.0","a16bn00000108aYAAQ","42003464158181488","Standard","false","Group","","false","","","","",""
"a18bn000001a1hdAAA","","EBITDAR","a19bn000001uMUWAA2","false","true","","","","","","","","ADD","false","31.0","a16bn00000108JKAAY","42003631646420522","Simulated","false","Group","","false","","","","<#EBITDAR_ACCTGRD>",""
"a18bn000001a100AAA","","Def Inc Tax Recover - CP","a19bn000001uMdYAAU","false","true","","","","","","","","ADD","false","100.0","a16bn00000108eaAAA","42003866593202312","Standard","false","Group","","false","","","","",""
