"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a0sWD00000XqCfYYAV","005al00000RVcKvAAL","false","3508 Review - Approved in Full","false","false","true","341535406464",""
"a0sWD00000XpwOwYAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Note/Instrument","false","false","true","42012862423685131",""
"a0sWD00000XpwP4YAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Bills of Lading","false","false","true","42069100893617569",""
"a0sWD00000XpwOtYAJ","005al00000RVcKvAAL","false","Collateral-Titled-Vessel","false","false","true","42193338758163888",""
"a0sWD00000XpwP7YAJ","005al00000RVcKvAAL","false","Collateral-Titled","false","false","true","42229309426024690",""
"a0sWD00000XpwPCYAZ","005al00000RVcKvAAL","false","Collateral-Possessory-Letter of Credit","false","false","true","42254692718045368",""
"a0sWD00000XpwOqYAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Key Person Insurance","false","false","true","42260456631626244",""
"a0sWD00000XpwPEYAZ","005al00000RVcKvAAL","false","Collateral-Possessory-Warehouse Receipts","false","false","true","42280349349038997",""
"a0sWD00000XqCitYAF","005al00000RVcKvAAL","false","Other Default Pledged Collateral Edit Screen","false","false","true","42343481268905692",""
"a0sWD00000XpwOoYAJ","005al00000RVcKvAAL","false","Collateral-Other-Government Contracts","false","false","true","42385715917275967",""
"a0sWD00000XpwP8YAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Credit Life","false","false","true","42394153288848601",""
"a0sWD00000XpwPBYAZ","005al00000RVcKvAAL","false","Collateral-Possessory-Life Insurance","false","false","true","42401059851966033",""
"a0sWD00000XqCjaYAF","005al00000RVcKvAAL","false","Real Estate Default Pledged Collateral Edit Screen","false","false","true","42434056664701194",""
"a0sWD00000XpwP1YAJ","005al00000RVcKvAAL","false","Collateral-Titled-Ship","false","false","true","42437151313046644",""
"a0sWD00000XpwPAYAZ","005al00000RVcKvAAL","false","Collateral-Possessory-Savings/CDs","false","false","true","42440767386795598",""
"a0sWD00000XpwOvYAJ","005al00000RVcKvAAL","false","Collateral-Titled-Mobile Home","false","false","true","42461395767237886",""
"a0sWD00000XpwP0YAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Stocks","false","false","true","42463981752592188",""
"a0sWD00000XpwOrYAJ","005al00000RVcKvAAL","false","Default Pledged Leased Asset Edit Screen","false","false","true","42524349854296463",""
"a0sWD00000XpwOyYAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Revocable Letter of Credit","false","false","true","42576262737384334",""
"a0sWD00000XpwP5YAJ","005al00000RVcKvAAL","false","Collateral-Titled-Aircraft","false","false","true","42581909766045101",""
"a0sWD00000XqClbYAF","005al00000RVcKvAAL","false","Titled Default Pledged Collateral Edit Screen","false","false","true","42617227847727072",""
"a0sWD00000XpwOpYAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Mutual Fund","false","false","true","42639155007632757",""
"a0sWD00000XpwP6YAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Securities","false","false","true","42653954664465365",""
"a0sWD00000XpwOzYAJ","005al00000RVcKvAAL","false","Collateral-Titled-Pleasure Boat","false","false","true","42703575356168779",""
"a0sWD00000XqCmxYAF","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42742750444485483",""
"a0sWD00000XpwOsYAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Irrevocable Letter of Credit","false","false","true","42801016480660056",""
"a0sWD00000XqCnsYAF","005al00000RVcKvAAL","false","UCC Default Pledged Collateral Edit Screen","false","false","true","42823550212584926",""
"a0sWD00000XqCoBYAV","005al00000RVcKvAAL","false","Possessory Default Pledged Collateral Edit Screen","false","false","true","42855467987240797",""
"a0sWD00000XpwOuYAJ","005al00000RVcKvAAL","false","Collateral-Titled-Trailer","false","false","true","42860084203432194",""
"a0sWD00000XpwP9YAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Other Possessory","false","false","true","42868736103271902",""
"a0sWD00000XqDPbYAN","005al00000RVcKvAAL","false","Default Pledged Collateral Edit Screen","false","false","true","42871665770611153",""
"a0sWD00000XpwOxYAJ","005al00000RVcKvAAL","false","Collateral-Real Estate","false","false","true","42875581032868363",""
"a0sWD00000XpwP2YAJ","005al00000RVcKvAAL","false","Collateral-Possessory-Term Life","false","false","true","42902788784356696",""
"a0sWD00000XpwPDYAZ","005al00000RVcKvAAL","false","Collateral-Titled-Motor Vehicle","false","false","true","42913737407936953",""
"a0sWD00000XpwP3YAJ","005al00000RVcKvAAL","false","Collateral-UCC","false","false","true","42966783217336788",""
"a0sWD00000XqCq3YAF","005al00000RVcKvAAL","false","Test-47098","false","false","true","47098",""
