"Id","IsDeleted","LLC_BI__Amount_Budgeted__c","LLC_BI__Budget__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","AutorabitExtId__c"
"a238c0000054Ij5AAE","false","","","","","","","","","Stairs","","110.0","","a258c000004VBCVAA4","","","CLA-BD-0008235","","","","","","","","",""
"a238c0000054Ij7AAE","false","","","","","","","","","Water Pump","","80.0","","a258c000004VBK5AAO","","","CLA-BD-0008237","","","","","","","","",""
"a238c0000054Ij8AAE","false","","","","","","","","","Steel","","50.0","","a258c000004VBCVAA4","","","CLA-BD-0008238","","","","","","","","",""
"a238c0000054J8NAAU","false","","","","","","","","","Impact Fees","","20.0","","a258c000004VBK4AAO","900.0","","CLA-BD-0009577","","","","","","","","",""
"a238c0000054J8OAAU","false","","","","","","","","","Painting","","210.0","","a258c000004VBKIAA4","67500.0","","CLA-BD-0009578","","","","","","","","",""
"a238c0000054IjAAAU","false","","","","","","","","","Siding","","130.0","","a258c000004VBCVAA4","","","CLA-BD-0008240","","","","","","","","",""
"a238c0000054J8PAAU","false","","","","","","","","","Electrical","","160.0","","a258c000004VBK4AAO","8000.0","","CLA-BD-0009579","","","","","","","","",""
"a238c0000054J8QAAU","false","","","","","","","","","Surveys","","11.0","","a258c000004VBKIAA4","850.0","","CLA-BD-0009580","","","","","","","","",""
"a238c0000054J8TAAU","false","","","","","","","","","Water & Sewer Inspection","","30.0","","a258c000004VBK4AAO","800.0","","CLA-BD-0009583","","","","","","","","",""
"a238c0000054J8XAAU","false","","","","","","","","","Tile & Carpet","","230.0","","a258c000004VBKIAA4","85000.0","","CLA-BD-0009587","","","","","","","","",""
"a238c0000054IjDAAU","false","","","","","","","","","Permits / Fees","","10.0","0.0","a258c000004VBCWAA4","1200.0","","CLA-BD-0008243","","","","","","","","",""
"a238c0000054J8YAAU","false","","","","","","","","","Asphalt / Driveway","","270.0","","a258c000004VBK4AAO","12000.0","","CLA-BD-0009588","","","","","","","","",""
"a238c0000054IjGAAU","false","","","","","","","","","Electrical","","160.0","","a258c000004VBCWAA4","","","CLA-BD-0008246","","","","","","","","",""
"a238c0000054IjIAAU","false","","","","","","","","","Tile & Carpet","","230.0","","a258c000004VBCVAA4","","","CLA-BD-0008248","","","","","","","","",""
"a238c0000054IjKAAU","false","","","","","","","","","Insurance","","330.0","","a258c000004VBCWAA4","1800.0","","CLA-BD-0008250","","","","","","","","",""
"a238c0000054IjMAAU","false","","","","","","","","","Impact Fees","","20.0","","a258c000004VBCVAA4","900.0","","CLA-BD-0008252","","","","","","","","",""
"a238c0000054IjOAAU","false","","","","","","","","","Water & Sewer Inspection","","30.0","0.0","a258c000004VBCVAA4","800.0","","CLA-BD-0008254","","","","","","","","",""
"a238c0000054J8fAAE","false","","","","","","","","","Monument sign base construction Lang to verify if applicable","","31.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009595","","","","","","","","",""
"a238c0000054J8gAAE","false","","","","","","","","","Fire Sprinkler Service","","38.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009596","","","","","","","","",""
"a238c0000054J8hAAE","false","","","","","","","","","Hydraulic Elevators","","24.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009597","","","","","","","","",""
"a238c0000054J8iAAE","false","","","","","","","","","H.V.A.C. System","","74.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009598","","","","","","","","",""
