"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Remaining__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","AutorabitExtId__c","YM_ExternalIDDestination__c","YM_ExternalIDSource__c"
"a1WWE000004pp1d2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42021036359002676","","","","0.0","0.0","0.0","a1WWD000002M0Rd2AK","",""
"a1WWE000004pp1X2AQ","005al00000RVvFOAA1","false","NcinoRecord-01","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42056301407591363","","","","0.0","0.0","0.0","a1WWD000002QYEx2AO","",""
"a1WWE000004pp2b2AA","005al00000RVvFOAA1","false","Elite budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","831.1042","1068.8958","-968.8958","-731.1042","-6230.0","5344.0","643.0","6873.0","-4701.0","42069451525749142","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYEu2AO","",""
"a1WWE000004pp2Z2AQ","005al00000RVvFOAA1","false","Contract budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","17.0406","154.4364","-54.4364","82.9594","-23780.0","7444.0","43684.0","67464.0","36240.0","42081875638704092","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYEt2AO","",""
"a1WWE000004pp1e2AA","005al00000RVvFOAA1","false","CLA Simple Budget 2 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42110583086880417","","","","0.0","0.0","0.0","a1WWD000002M0Re2AK","",""
"a1WWE000004pp2H2AQ","005al00000RVvFOAA1","false","New Rec 62 updated","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","false","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42152289717499210","","","","0.0","0.0","0.0","a1WWD000002QYF02AO","",""
"a1WWE000004pp2W2AQ","005al00000RVvFOAA1","false","Services budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","883.0","1128.2258","113.3065","-131.9892","-1028.2258","-982.0","8394.0","744.0","843.0","-7650.0","42172159694687762","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYF82AO","",""
"a1WWE000004pp1f2AA","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42190861640379324","","","","0.0","0.0","0.0","a1WWD000002M0Rf2AK","",""
"a1WWE000004pp1g2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","a1WWE000004pp1l2AA","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42191334335403812","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002M0Rg2AK","",""
"a1WWE000004pp1h2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","a1WWE000004pp1k2AA","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42228810885640343","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002M0Rh2AK","",""
"a1WWE000004pp2S2AQ","005al00000RVvFOAA1","false","newJob001","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42235077918149309","","","","0.0","0.0","0.0","a1WWD000002QYFE2A4","",""
"a1WWE000004pp1O2AQ","005al00000RVvFOAA1","false","New Budgets 01","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","a1WWE000004pp1P2AQ","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42244306118689534","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYEz2AO","",""
"a1WWE000004pp1i2AA","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42253046241412123","","","","0.0","0.0","0.0","a1WWD000002M0Ri2AK","",""
"a1WWE000004pp2k2AA","005al00000RVvFOAA1","false","A budget 2","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42290867984417717","","","","0.0","0.0","0.0","a1WWD000002QYEc2AO","",""
"a1WWE000004pp2a2AA","005al00000RVvFOAA1","false","Intake budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","9.541","9.6764","90.3236","90.459","6002.0","634.0","6645.0","643.0","6011.0","42319798035310692","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYEw2AO","",""
