"Id","OwnerId","IsDeleted","Name","nFORMS__Description__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c","nFORMS__Document_Output_Type__c"
"a5rWD000000C7loYAC","005al00000RVvFOAA1","false","Standard Commercial Form","Standard Commercial Form","true","true","","Credit Memo","true","HTML","","","LLC_BI__Product_Package__c","false","HTML","42081037088623546","HTML"
"a5rWD000000C7lkYAC","005al00000RVvFOAA1","false","Modification Request","Modification Template","true","true","","Credit Memo","true","HTML","","","LLC_BI__Product_Package__c","true","HTML","42287555452295220","HTML"
"a5rWD000000C7llYAC","005al00000RVvFOAA1","false","Boarding Data Sheet","Loan Boarding Data Sheet","true","true","","General","true","Word","","","LLC_BI__Loan__c","false","Word","42720351860149510","Word"
"a5rWD000000C7ljYAC","005al00000RVvFOAA1","false","Standard Commercial Short Form","Use this credit template for standard commercial loans.","true","true","","Credit Memo","true","HTML","","","LLC_BI__Product_Package__c","false","HTML","42739175983591357","HTML"
"a5rWD000000C7k1YAC","005al00000RVvFOAA1","false","Small Business Credit Memo","Credit Memo for all Small Business loans","true","true","","Credit Memo","true","HTML","","","LLC_BI__Loan__c","true","HTML","42782395031682678","HTML"
"a5rWD000000C7lsYAC","005al00000RVvFOAA1","false","Review Credit Memo","Review Credit Memo","true","true","","Credit Memo","true","HTML","","","LLC_BI__Review__c","false","HTML","42939755381098155","HTML"
"a5rWD000000C7lpYAC","005al00000RVvFOAA1","false","Commerial Credit Memo","","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","42966989010402205","HTML"
"a5rWD000000C7ltYAC","005al00000RVvFOAA1","false","Commitment Letter / Term Sheet","Generic Term Sheet","true","true","","General","true","PDF","","","LLC_BI__Loan__c","false","Word","42972107535279122","PDF"
"a5rWD000000C7lPYAS","005al00000RVvFOAA1","false","Authorization to Pull Credit","Use this form to collect a customer signature to pull credit score","false","false","","","true","Word","","","Account","false","Word","a1sbn0000010aXZAAY","Word"
"a5rWD000000C7lQYAS","005al00000RVvFOAA1","false","Document Checklist","","false","true","","Credit Memo","false","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXfAAI","Word"
"a5rWD000000C7lRYAS","005al00000RVvFOAA1","false","Adverse Action Letter","nCino Gold Standard Adverse Action Letter.","false","false","","","true","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXgAAI","Word"
"a5rWD000000C7lSYAS","005al00000RVvFOAA1","false","Fees Checklist for Closing","Fee Summary Document to help the bank closers prepare GL tickets.","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" NOT=""Card""}}{{ENDIF}}","Credit Memo","false","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXhAAI","Word"
"a5rWD000000C7lTYAS","005al00000RVvFOAA1","false","General Ledger Tickets","General Ledger Ticket that can used to process the Banks loan fees.","false","false","","Credit Memo","false","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXiAAI","Word"
"a5rWD000000C7lUYAS","005al00000RVvFOAA1","false","MSA SCH A Change Service Form","Use this form to remove Treasury Services","false","false","","","true","Word","","","LLC_BI__Treasury_Service__c","false","Word","a1sbn0000010aXjAAI","Word"
"a5rWD000000C7lVYAS","005al00000RVvFOAA1","false","Covenant Letter","Form letter used to notify my relationship accounts of when covenants are coming due","false","false","","","true","Word","","","Account","false","Word","a1sbn0000010aXkAAI","Word"
"a5rWD000000C7lWYAS","005al00000RVvFOAA1","false","Master Services Agreement","Master Services Agreement for nCino Financial Treasury Services","false","false","","","true","Word","","","LLC_BI__Treasury_Service__c","false","Word","a1sbn0000010aXlAAI","Word"
"a5rWD000000C7lXYAS","005al00000RVvFOAA1","false","Executive Pricing Summary","Treasury Service- Executive Pricing Summary for nCino Financial Treasury Services","false","false","","","true","Word","","","LLC_BI__Scenario__c","false","Word","a1sbn0000010aXmAAI","Word"
"a5rWD000000C7lYYAS","005al00000RVvFOAA1","false","Proposal Letter","nCino Gold Standard Proposal Letter.","false","false","","","true","Word","","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXpAAI","Word"
