"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","nFORCE__Rule_Engine_Context__c","nFORCE__Description__c","nFORCE__lookupKey__c","LastViewedDate","LastReferencedDate"
"a0nWD0000018DsLYAU","false","Lightning-Record-001-ContextRule","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPbYAL","Lightning-Record-001-ContextRule","12387123981","",""
"a0nWD000001CUrNYAW","false","WK Esign","2026-07-20T15:30:13.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe84YAD","Used to Generate WK Docs under the context of another user","42053228319029560","",""
"a31bn000000i1ADAAY","","Retrieve Pricing Options Retail Pricing","","","","","","","a32bn000000i7qkAAA","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42124860362386702","",""
"a0nWD000001CUptYAG","false","Retrieve Pricing Options Retail Pricing","2026-07-20T15:30:11.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe9eYAD","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42141213278332970","",""
"a0nWD0000018DsiYAE","false","Loan Auto-Decision","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPRYA1","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","42225489045428711","",""
"a0nWD0000018DsMYAU","false","Retrieve Pricing Options Retail Pricing","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPWYA1","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42412341569562522","",""
"a0nWD0000018DsjYAE","false","Retrieve Pricing Options","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPSYA1","Create the pricing option(s) based on information in the Loan.","42512758419816123","",""
"a0nWD0000018DskYAE","false","DuplicateContentVersion","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPrYAL","","42519183972381251","",""
"a0nWD0000018DslYAE","false","Proposed Pricing Option","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPTYA1","Create the proposed pricing option based on information in the loan.","42586508393286456","",""
"a0nWD0000018DsZYAU","false","Retrieve Pricing Options Retail Pricing","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPsYAL","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42622769876416433","",""
