"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","nFORCE__Description__c","nFORCE__lookupKey__c","LastViewedDate","LastReferencedDate"
"a32bn000000i7qbAAA","005bn000003k2JdAAI","","DocMan","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","","132h4hk5123498yhfoin","",""
"a0oWD00000GDaPRYA1","005al00000RVcKvAAL","false","Loan Decisioning","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42036220080364727","",""
"a0oWD00000GDaPSYA1","005al00000RVcKvAAL","false","Retrieve Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Create the pricing option(s) based on information in the Loan.","42064981411428099","",""
"a0oWD00000GDaPsYAL","005al00000RVcKvAAL","false","Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42089961001116585","",""
"a0oWD00000GVe82YAD","005al00000RVcKvAAL","false","Construction Loan Administration","2026-07-20T15:29:57.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","42106976230413220","",""
"a0oWD00000GDaPoYAL","005al00000RVcKvAAL","false","Contruction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","42115817145944385","",""
"a32bn000000i7qhAAA","005bn000003k2JdAAI","","Loan Policy Exception","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658","",""
"a0oWD00000GDaPTYA1","005al00000RVcKvAAL","false","Proposed Pricing Option","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Create the proposed pricing option based on information in the loan.","42215523819185420","",""
"a0oWD00000GVe9eYAD","005al00000RVcKvAAL","false","Pricing Options","2026-07-20T15:30:03.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42260555746068736","",""
"a0oWD00000GDaPUYA1","005al00000RVcKvAAL","false","Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42281826358127939","",""
