"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Active__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","LastViewedDate","LastReferencedDate"
"a0pWD000002vqNJYAY","false","RER00025","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000000siFQYAY","false","Lightning-Record-002-RuleEngineDescription","2025-03-31","Lightning-Record-002-RuleEngine","Lightning-Record-002-Ref","Lightning-Record-002-Rule","2024-04-01","098654298012","",""
"a0pWD000002vqNKYAY","false","RER00026","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000000siFNYAY","false","Lightning-Record-001","2025-05-03","Lightning-Record-001","Lightning-Record-001-Ref","Lightning-Record-001-RuleEngine","2024-05-01","12378135634","",""
"a0pWD000003i5ThYAI","false","RER00040","2026-07-12T04:23:30.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000001BJUzYAO","true","","","WK_Auto_Launch","300am00000riHk1AAE","nFORCE.FlowRuleEngine:rule-engine","2021-10-17","42048563337471139","",""
"a0pWD000003i5TiYAI","false","RER00041","2026-07-12T04:23:30.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000001BJV6YAO","true","","","InspectionPlaceholder","300am00000riIk7AAE","nFORCE.FlowRuleEngine:rule-engine","2020-09-01","42090685926872421","",""
"a0pWD000002vqNLYAY","false","RER00027","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000000siFeYAI","true","CLA Inspection placeholder in Document Manager-01","","Insert-InspectionPlaceholder","3008c000001JVlUAAW","Lightning-Record-103-Rule","2025-02-17","42105110371538988","",""
"a0pWD000002vqNMYAY","false","RER00028","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000000siFNYAY","true","CLA Inspection placeholder in Document Manager-02","","Lightning-Record-103","Lightning-Record-103-Ref","Lightning-Record-104-Rule","2025-02-17","42105120371538988","",""
"a33bn000000asd1AAA","","RER00042","","","","","","","a31bn000000i1A8AAI","","","2042-03-31","Initial_Credit_Request_Preprocessing","3005f000001YRNSAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42105220371538988","",""
"a0pWD000002vqNOYAY","false","RER00030","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000000siFWYAY","true","CLA Inspection placeholder in Document Manager-01","","Initial_Credit_Request_Preprocssing","3005f000000llUtAAI","Lightning-Record-105-Rule","2025-02-17","4212510371538988","",""
"a0pWD000002vqNPYAY","false","RER00031","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","005al00000RVcKvAAL","2026-07-24T12:36:19.000Z","","a0nWD000000siFNYAY","true","CLA Inspection placeholder in Document Manager-02","","Lightning-Record-001","Lightning-Record-001-Ref","Lightning-Record-106-Rule","2025-02-17","4225120371538988","",""
"a33bn000000asd2AAA","","RER00043","","","","","","","a31bn000000i1A7AAI","","","2042-03-31","Initial_Display_Offers","3005f000001YRNTAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42511303862797440","",""
