"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c"
"a0XWD000002y1xl2AA","005al00000RVcKvAAL","false","HMDA Questionnaire","","","","false","","false","true","","","","","010B70686B5547768D54530668190A55",""
"a0XWD000002y2Dt2AI","005al00000RVcKvAAL","false","LOB Review","","lobreview","","false","","false","false","","","","","027C217E211F4778B3496A6F0D4C1F55",""
"a0XWD000002y2Du2AI","005al00000RVcKvAAL","false","LOB-SBA-Loan-Pre","","lobsba-loanpre","","false","","false","false","","","","","065E653D6D58421AB67438107A243B22","Live Oak Bank SBA Pre-Approval Loan UI"
"a0XWD000002y2Dv2AI","005al00000RVcKvAAL","false","LOB-SBA-Loan-Post","","lobsba-loanpost","","false","","false","false","","","","","073479326E0F4E3A8C0F713F3B240932","Live Oak SBA Post Approval UI"
"a0XWD000002y2Dw2AI","005al00000RVcKvAAL","false","Loan - Residential Mortgage Refinance - APAC","","apac-res-mtg-refinance","","false","","false","false","","","","","096E450C3B0C4F4284601C447D765211",""
"a0XWD000002y2Dx2AI","005al00000RVcKvAAL","false","First Draw Loan","","first-draw-loan","","false","","false","false","","","","","09921610326271972",""
"a0XWD000002y2Dy2AI","005al00000RVcKvAAL","false","Commercial Accelerate Loan","","comm-accel-loan","","false","","false","false","","","","comm-accel-loan","12091615577844223",""
"a0XWD000002y2Dz2AI","005al00000RVcKvAAL","false","Small Business Forgiveness","","sba-forgiv","","false","","false","false","","","","","194987166415",""
"a0XWD000002y2E02AI","005al00000RVcKvAAL","false","Loan - Residential Mortgage APAC - Primary UI","","apac-res-mtg-defaultui","","false","","false","false","","","","","1D71277579024345943759185B486D66",""
"a0XWD000002y2E12AI","005al00000RVcKvAAL","false","clone","","clone","Online Application","false","","false","false","a0bWD000001EB1SYAW","","","clone","21671598553323537",""
"a0XWD000002y1yQ2AQ","005al00000RVcKvAAL","false","atbk_Loan.Retail","","core-specific-info","","false","","false","true","","","","core-specific-info","23452345236546435",""
"a0XWD000002y1xm2AA","005al00000RVcKvAAL","false","Individual KYC","","","","false","","false","true","","","","","257E6F756B4A425095602C163A0F4E31",""
"a0XWD000002y2E22AI","005al00000RVcKvAAL","false","Second Draw Loan","","second-draw-loan","","false","","false","false","","","","","31321610041032562",""
"a0XWD000002y1xn2AA","005al00000RVcKvAAL","false","CRA","","","","false","","false","true","","","","","406D671A185344659B422A6E1E790811",""
"a0XWD000002y2E32AI","005al00000RVvFOAA1","false","Small Business Loan Online Application","","small-business-loan-online-application","Online Application","false","","false","false","","","","portal-sbloan","41241666029060795",""
"a0XWD000002y2HX2AY","005al00000RVcKvAAL","false","CP Group_M_03","","CP_UIConfig_M_03","","false","","false","false","","a0XWD000002y2HV2AY","","","42006593820447392",""
"a0XWD000002y2E42AI","005al00000RVcKvAAL","false","OB Security Services","","tmmg-OBSecurityServices00-00","","false","","false","false","","","a0sWD00000cQ1LkYAK","","42013006377047603",""
"a0XWD000002y2E52AI","005al00000RVcKvAAL","false","Deposit Ancillary Services","","tm-deposit-a-74","","false","","false","false","","","","","42015437848862616",""
"a0XWD000002y2Hy2AI","005al00000RVcKvAAL","false","New PP Group","","new pp-group","","false","","false","false","","","","","42016060607857011",""
"a0XWD000002y2E62AI","005al00000RVcKvAAL","false","CD-Rom","","tmmg-CDRom00-00","","false","","false","false","","","a0sWD00000cQ1M3YAK","","42024555182888674",""
"a0XWD000002y2E72AI","005al00000RVcKvAAL","false","Wire Incoming","","tmmg-WireIncoming00-00","","false","","false","false","","","a0sWD00000cQ1KyYAK","","42027612952237912",""
"a0XWD000002y2E82AI","005al00000RVcKvAAL","false","OB Book Transfer","","tmmg-OBBookTransfer00-00","","false","","false","false","","","a0sWD00000cQ1IZYA0","","42028332044179256",""
"a0XWD000002y2Hl2AI","005al00000RVcKvAAL","false","Loan Main","","loan-main","","false","","false","false","","","","loan-main","42028527396766642",""
"a0XWD000002y2E92AI","005al00000RVcKvAAL","false","Overdraft","","tmmg-Overdraft00-00","","false","","false","false","","","a0sWD00000cQ1I5YAK","","42039719763403573",""
"a0XWD000002y2EA2AY","005al00000RVcKvAAL","false","Online Banking","","tmmg-OnlineBanking01-00","","false","","false","false","","","a0sWD00000cQ1IEYA0","","42043961427872817",""
"a0XWD000002y2GZ2AY","005al00000RVcKvAAL","false","MASTER-Loan","","m-loan","","false","","false","false","","","","m-loan","42044771180104939","Used in the Loan object's Commercial Workspace flexipage. Displays during Loan Stages before Approval."
"a0XWD000002y2Hq2AI","005al00000RVcKvAAL","false","Remote Deposit Capture","","tmmg-RemoteDepositCapture00-00","","false","","false","false","","","","tmmg-RemoteDepositCapture00-00","42045189276028424",""
"a0XWD000002y2EB2AY","005al00000RVcKvAAL","false","Retail Loan Application","","portal-rl","Online Application","false","","false","false","a0bWD000001EB1TYAW","","","","42063034156622212",""
"a0XWD000002y2Ga2AI","005al00000RVcKvAAL","false","Memo","","memo","","false","","false","false","","","","memo","42064981524503220",""
