"Id","OwnerId","IsDeleted","Name","nFORCE__Agreement_Text__c","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Document__c","nFORCE__Review_And_Accept_Document__c","nFORCE__Route__c","nFORCE__lookupKey__c"
"a0kWD000007fDotYAE","005al00000RVcKvAAL","false","E-Sign Agreement","I consent to receive electronic communications and transactions from nCino Demo Bank.","","","0155f000000Wb7d","true","a0mWD000003qw0rYAA","26511666029077879"
"a0kWD000007fDouYAE","005al00000RVcKvAAL","false","Sample All In One Disclosure","Please review and accept the terms of this {0}.","","","0154S0000000tmq","true","a0mWD000003qvz1YAA","42011415873586934"
"a0kWD000007fDovYAE","005al00000RVcKvAAL","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","","","x","false","a0mWD000003qw1YYAQ","42063010710328926"
"a0kWD000007fDowYAE","005al00000RVcKvAAL","false","Sample Consent","I consent to receive electronic communications and transactions from nCino Demo Bank.","","","4ergsad4gs","false","a0mWD000003qvyGYAQ","42236359093427903"
"a0kWD000007fDoxYAE","005al00000RVcKvAAL","false","Credit Consent","I have read the {0} document and authorize Demo Bank to pull my credit.","","","0","false","a0mWD000003qvyAYAQ","42394404889756043"
"a0kWD000007fDoyYAE","005al00000RVcKvAAL","false","Sample Consent","I consent to receive electronic communications and transactions from nCino Demo Bank.","","","0","false","a0mWD000003qvyYYAQ","42492542544276623"
"a0kWD000007fDozYAE","005al00000RVcKvAAL","false","Credit Consent","I agree to the credit consent report and authorize TigerStrike Bank to pull my credit.","","","0","false","a0mWD000003qvyYYAQ","42579037291547076"
"a0kWD000007fDp0YAE","005al00000RVcKvAAL","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","","","x","false","a0mWD000003qvz1YAA","42653973224039443"
"a0kWD000007fDp1YAE","005al00000RVcKvAAL","false","E-Sign Agreement","I consent to receive electronic communications and transactions from nCino Demo Bank. {0}","","","0155f000001tJqc","false","a0mWD000003qw0iYAA","42717674538143031"
"a0kWD000007fDp2YAE","005al00000RVcKvAAL","false","Sample Route Terms","I, {0}, acknowledge that the above information is up-to-date and that {1} has reviewed {2}.","","","null","false","a0mWD000003qw1QYAQ","42891312219419775"
"a0kWD000007fDp3YAE","005al00000RVcKvAAL","false","Sample Consent","I consent to receive electronic communications and transactions from Demo Bank.","","","4ergsad4gs","false","a0mWD000003qvyAYAQ","42965142988363175"
"a0kWD000007fDp4YAE","005al00000RVcKvAAL","false","Sample All In One Disclosure","Please review and accept the terms of this {0}.","","","0155f000000VvvX","true","a0mWD000003qw0xYAA","46251666029077878"
"a0kWD000007fDp5YAE","005al00000RVcKvAAL","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","","","x","false","a0mWD000003qw0xYAA","76921666029077878"
"a0kWD000007fDp6YAE","005al00000RVcKvAAL","false","Credit Consent","I have read the {0} document and authorize Demo Bank to pull my credit.","","","0","false","a0mWD000003qvxbYAA","86211666029077877"
"a0kWD000007fDp7YAE","005al00000RVcKvAAL","false","Joint Intent","I agree to Joint Intent","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Applying_with_Co_Applicant__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}","0","false","a0mWD000003qvxbYAA","86991666029077878"
"a0kWD000007fDonYAE","005al00000RVcKvAAL","false","Terms and Conditions","I acknowledge and agree to these {0}.","","","0153g000000EdiX","true","a0mWD000003qvi4YAA","a0O3g000000aj43EAA"
"a0kWD000007fDooYAE","005al00000RVcKvAAL","false","Privacy Policy","I have read this {0} and agree to its terms.","","","0153g000000EdiY","false","a0mWD000003qvi4YAA","a0O3g000000aj44EAA"
"a0kWD000007fDopYAE","005al00000RVcKvAAL","false","Terms and Conditons","I acknowledge and agree to these {0}.","","","0153g000000EdiX","true","a0mWD000003qvmTYAQ","a0O3g000000aj4FEAQ"
"a0kWD000007fDoqYAE","005al00000RVcKvAAL","false","Privacy Policy","I have read this {0} and agree to its terms.","","","0153g000000EdiY","false","a0mWD000003qvmTYAQ","a0O3g000000aj4GEAQ"
"a0kWD000007fDorYAE","005al00000RVcKvAAL","false","Terms and Conditons","I acknowledge and agree to these {0}.","","","0153g000000EdiX","true","a0mWD000003qvhbYAA","a0O3g000000aj4HEAQ"
"a0kWD000007fDosYAE","005al00000RVcKvAAL","false","Privacy Policy","I have read this {0} and agree to its terms.","","","0153g000000EdiY","false","a0mWD000003qvhbYAA","a0O3g000000aj4IEAQ"
