"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qWD00000GSgUNYA1","false","Loan Compliance","","","a0sWD00000Xo7ccYAB","false","false","false","false","","false","true","false","false","false","15.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","000008EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c",""
"a0qWD00000GSgUOYA1","false","Loan Compliance","","","a0sWD00000Xo7d2YAB","false","false","false","false","","true","true","false","false","false","15.0","slide","true","false","false","false","","true","","","","","a16WD000005UIagYAG","MappedSObjectScreenResource","","","000009EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c",""
"a0qWD00000GSgQpYAL","false","SBL Eligibility Business","","","a0sWD00000Xo7cxYAB","false","false","false","false","","false","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","00201666029075344","Account",""
"a0qWD00000GSTTPYA5","false","Participations","","","a0sWD00000Xo7ZxYAJ","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UIdpYAG","MappedSObjectHierarchyScreenResource","","","00551620937672162","LLC_BI__Loan__c",""
"a0qWD00000GSgftYAD","false","Risk Ratings","","","a0sWD00000Xo7lBYAR","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","00601585604341051","LLC_BI__Loan__c",""
"a0qWD00000GSgQqYAL","false","Enhanced Fees Management","","","a0sWD00000Xo7btYAB","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","00741663700625418","LLC_BI__Loan__c",""
"a0qWD00000GSgfuYAD","false","Third Party Reports","","","a0sWD00000Xo7kbYAB","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UIeXYAW","MappedSObjectHierarchyScreenResource","","","01211620937672162","LLC_BI__Loan__c",""
"a0qWD00000GSghPYAT","false","Rate Structure","","","a0sWD00000Xo7kjYAB","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","01391620937672158","LLC_BI__Loan__c",""
"a0qWD00000GSgfvYAD","false","Balance Details","","","a0sWD00000Xo7l5YAB","false","false","false","false","","false","true","false","false","false","3.0","slide","true","false","false","false","","false","","","","","a16WD000005UIAFYA4","MappedSObjectScreenResource","","","01481585604341049","LLC_BI__Loan__c",""
"a0qWD00000GSgQrYAL","false","Underwriting_Overview","","","a0sWD00000Xo7buYAB","false","false","false","false","","true","true","false","false","false","60.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","01721663700625422","LLC_BI__Loan__c",""
