"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000CzUb3YAF","false","SC-000020206","a0qWD00000JHNA9YAP","1.01","","","a0bWD000001HFzwYAG","0.0","false","","","","","false","00001602764632534","LLC_BI__Loan__c"
"a0vWD00000CzRT9YAN","false","SC-000022123","a0qWD00000JHN5jYAH","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","","a0bWD000001HGIeYAO","0.0","false","a0vWD00000CzUyEYAV","LLC_BI__Contingent_Liabilties__r","","","false","00231560278867809","LLC_BI__Contingent_Liabilty__c"
"a0vWD00000CzUb4YAF","false","SC-000020207","a0qWD00000JHNC3YAP","1.01","","","a0bWD000001HGJ4YAO","0.0","false","","","","","false","00321663700626422","LLC_BI__Loan__c"
"a0vWD00000CzUobYAF","false","SC-000021046","a0qWD00000JHNNBYA5","1.01","","","","","false","","","","","false","00801620937672786","LLC_BI__Loan__c"
"a0vWD00000CzUThYAN","false","SC-000019750","a0qWD00000JHN0YYAX","1.01","","","a0bWD000001HG0ZYAW","0.0","false","","","","","false","01231620937672796","LLC_BI__Loan__c"
"a0vWD00000CzUb5YAF","false","SC-000020208","a0qWD00000JHNBoYAP","0.0","LLC_BI__Income_Schedule","","","","false","","","Income Schedule","","false","01261602764632532","LLC_BI__Income__c"
"a0vWD00000CzV0VYAV","false","SC-000021754","a0qWD00000JHNN3YAP","2.01","","","a0bWD000001HGJRYA4","0.0","false","a0vWD00000CzUovYAF","LLC_BI__Product_Package__r","","","false","01341567002572391","LLC_BI__Product_Package__c"
"a0vWD00000CzUocYAF","false","SC-000021047","a0qWD00000JHNMLYA5","1.01","LLC_BI__UI_Budget_Details","","a0bWD000001HG14YAG","","false","","","","","false","01501620937672803","LLC_BI__Loan__c"
"a0vWD00000CzUb6YAF","false","SC-000020209","a0qWD00000JHN9DYAX","1.01","NPORTAL__Secured_RL_Eligibility_Loan","","","","false","","","","","false","01671602078251889","LLC_BI__Loan__c"
"a0vWD00000CzUTiYAN","false","SC-000019751","a0qWD00000JHN5XYAX","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","Property Location","","false","01841620937672801","LLC_BI__Loan__c"
"a0vWD00000CzUb7YAF","false","SC-000020210","a0qWD00000JHN9CYAX","1.01","UI_Compliance_Information","","","","false","","","","","false","02091585311472179","LLC_BI__Loan__c"
"a0vWD00000CzUz8YAF","false","SC-000021669","a0qWD00000JHNEhYAP","1.01","Loan_UI_Third_Party_Mgmt_Route","","","","false","a0vWD00000CzUfrYAF","LLC_BI__Service_Mgmt__r","","","false","0240312506404973B853312B2B112446","LLC_BI__Service_Mgmt__c"
"a0vWD00000CzUb8YAF","false","SC-000020211","a0qWD00000JHNCHYA5","0.0","LLC_BI__UI_CRA_Loan_Information","","","","false","","","Loan Information","","false","02511585311472184","LLC_BI__Loan__c"
"a0vWD00000CzUeYYAV","false","SC-000020423","a0qWD00000JHNDDYA5","10.0","","","","","false","","","","","false","02551701790671954","LLC_BI__Deposit__c"
"a0vWD00000CzUb9YAF","false","SC-000020212","a0qWD00000JHN8sYAH","1.01","IBCL_Consumer_Next_Steps","","a0bWD000001HGItYAO","0.0","false","","","","","false","02651602764632535","LLC_BI__Loan__c"
"a0vWD00000CzUbAYAV","false","SC-000020213","a0qWD00000JHN9AYAX","1.01","OA_Primary_ID_Details","","a0bWD000001HGeJYAW","0.0","false","","","","","false","02691598553324362","Contact"
"a0vWD00000CzUvDYAV","false","SC-000021426","a0qWD00000JHN0cYAH","2.01","UI_Borrowing_Structure","","","","false","a0vWD00000CzUaRYAV","LLC_BI__Legal_Entities__r","Borrowing Structure","","false","02741560278867810","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUeZYAV","false","SC-000020424","a0qWD00000JHNDBYA5","1.01","","","a0bWD000001HGImYAO","0.0","false","","","","","false","03111701790671952","LLC_BI__Deposit__c"
"a0vWD00000CzUfcYAF","false","SC-000020489","a0qWD00000JHNDOYA5","1.01","UI_Loan_Details","","a0bWD000001HHCbYAO","","false","","","","","false","033E170D704C4E2F896F103579001216","LLC_BI__Loan__c"
"a0vWD00000CzV25YAF","false","SC-000021852","a0qWD00000JHNO1YAP","1.01","nRetail__Third_Party_Related_List","","","","false","a0vWD00000CzUtOYAV","LLC_BI__Service_Mgmt__r","","","false","03561619447516044","LLC_BI__Service_Mgmt__c"
"a0vWD00000CzUbBYAV","false","SC-000020214","a0qWD00000JHNC1YAP","0.0","nRetail__Decision_Overview","","","","false","","","Decision_Overview","","false","03711600720268232","LLC_BI__Loan__c"
"a0vWD00000CzUbCYAV","false","SC-000020215","a0qWD00000JHN8oYAH","0.0","nRetail__Underwriting_Overview","","","","false","","","Underwriting_Overview","","false","04461663700626418","LLC_BI__Loan__c"
"a0vWD00000CzUu4YAF","false","SC-000021385","a0qWD00000JHNNnYAP","1.01","","","","","false","","","Risk Rating","","false","04551619447516057","LLC_BI__Loan__c"
"a0vWD00000CzUbDYAV","false","SC-000020216","a0qWD00000JHNBXYA5","1.01","nPortal__SBL_Others_Involved_Multi_Record","","","","false","","","","","false","04571666029078196","Contact"
"a0vWD00000CzUbEYAV","false","SC-000020217","a0qWD00000JHNBpYAP","0.0","LLC_BI__UI_CRA_Action_Taken","","","","false","","","Action Taken","","false","05651585311472159","LLC_BI__Loan__c"
"a0vWD00000CzUvEYAV","false","SC-000021427","a0qWD00000JHN49YAH","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000CzUaWYAV","LLC_BI__Legal_Entities__r","HMDA","","false","05841620937672802","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUbFYAV","false","SC-000020218","a0qWD00000JHN8zYAH","1.01","SBL_Eligibility_Loan","","","","false","","","","","false","05921666029078200","LLC_BI__Loan__c"
"a0vWD00000CzRT8YAN","false","SC-000022122","a0qWD00000JHNRcYAP","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","","","false","a0vWD00000CzV0tYAF","LLC_BI__Entity_Compliances__r","Entity Compliance","","false","06051619447516050","LLC_BI__Entity_Compliance__c"
"a0vWD00000CzUbGYAV","false","SC-000020219","a0qWD00000JHN9VYAX","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","06621600720268231","LLC_BI__Income__c"
"a0vWD00000CzUbHYAV","false","SC-000020220","a0qWD00000JHNC5YAP","1.01","","","","","false","","","Loan Relationship","","false","07361585311472189","LLC_BI__Loan__c"
"a0vWD00000CzUfdYAF","false","SC-000020490","a0qWD00000JHNEbYAP","1.01","","","a0bWD000001HHCZYA4","0.0","false","","","","","false","07691B0A7C6F4D2BA75D060F435A6C7D","LLC_BI__Loan__c"
"a0vWD00000CzUeaYAF","false","SC-000020425","a0qWD00000JHNDCYA5","1.01","","","a0bWD000001HG0FYAW","0.0","false","","","","","false","07901701790671951","LLC_BI__Deposit__c"
"a0vWD00000CzUbIYAV","false","SC-000020221","a0qWD00000JHNBeYAP","1.01","RequiredLoanFieldsToCreateRateOrPayment","","","0.0","false","","","","","false","08241585311472167","LLC_BI__Loan__c"
"a0vWD00000CzUu5YAF","false","SC-000021386","a0qWD00000JHNRZYA5","0.0","LLC_BI__Payment_Component_Extended_Fields","","","","false","","","","","false","08271619447516047","LLC_BI__Pricing_Payment_Component__c"
"a0vWD00000CzUbJYAV","false","SC-000020222","a0qWD00000JHNBmYAP","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","Property Location","","false","08661585311472160","LLC_BI__Loan__c"
"a0vWD00000CzUbKYAV","false","SC-000020223","a0qWD00000JHNB5YAP","1.01","SBL_Approver_2_Details","","a0bWD000001HFzvYAG","0.0","false","","","","","false","08911663700626421","LLC_BI__Loan__c"
"a0vWD00000CzUTjYAN","false","SC-000019752","a0qWD00000JHN5VYAX","1.0","","","","","false","","","Change Memo","","false","08981560278867804","LLC_BI__Loan__c"
"a0vWD00000CzUodYAF","false","SC-000021048","a0qWD00000JHNMkYAP","1.01","","","","","false","","","Loan Compliance","","false","09111619447516050","LLC_BI__Loan__c"
