"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","LLC_BI__Is_Grand_Total__c"
"a51WD00000i3welYAA","false","Growing Crops - Total Adj.","a55WD00001ejwbZYAQ","","false","None","Financial","false","false","false","true","false","false","","","","8.75","false","","Growing Crops Change","Standard","016d2a8e-3f2d-4544-9f3f-3f28825f9603","false"
"a51WD00000i3wenYAA","false","Livestock Inventory - Total Adj.","a55WD00001ejwbZYAQ","","false","None","Financial","false","false","false","true","false","false","","","","9.6875","false","","Livestock Inventory Change","Standard","08a5945f-4709-433b-b1ec-56425a7efa3b","false"
"a51WD00000i3wfKYAQ","false","Accounts Payable - Total Adjust","a55WD00001ejwbZYAQ","","false","None","Financial","false","false","false","true","false","false","","","","9.990234375","false","","Accounts Payable Change","Standard","27517c44-e256-4580-9e53-d2b1920e0317","false"
"a51WD00000i45gpYAA","false","Cash After Financing","a55WD00001ejwbnYAA","","false","None","Financial","false","false","false","true","false","false","","","","220.0","false","","Cash After Financing","Standard","3.423068353313185","false"
"a51WD00000i3wfLYAQ","false","Income Taxes Payable - Total Adjust","a55WD00001ejwbZYAQ","","false","None","Financial","false","false","false","true","false","false","","","","9.9951171875","false","","Income Taxes Payable Change","Standard","32f979dd-ebaf-473b-a113-653d10211ff7","false"
"a51WD00000i3wfMYAQ","false","Other Current Liabilities - Total Adjust","a55WD00001ejwbZYAQ","","false","None","Financial","false","false","false","true","false","false","","","","9.99755859375","false","","Other Current Liabilities Change","Standard","3ecd0f86-6c20-4755-83f8-0b3483bf1c87","false"
"a51WD00000i45h9YAA","false","Book Other Income (Expense)","a55WD00001ejwbqYAA","","false","None","Financial","false","false","false","true","false","false","","","","60.0","false","","Book Other Income (Expense)","Standard","42001515854377996","false"
"a51WD00000i45p9YAA","false","Change in Net Fixed Assets","a55WD00001R5BNeYAN","","false","None","Financial","false","false","false","true","false","false","","","","11.0","false","","Change in Net Fixed Assets","Standard","42001865691724166","false"
"a51WD00000i45mwYAA","false","Total Stated Net Worth (subT)","a55WD00001R5BNmYAN","","false","Total Equity","Financial","true","false","false","true","false","false","","","","50.0","false","","Stated Net Worth (Subtotal)","Standard","42003406963362553","false"
"a51WD00000i45naYAA","false","Partial Year Adjustment","a55WD00001R5BNoYAN","","false","None","Decimal","false","false","false","true","false","false","","","","10.0","false","","Partial Year Adjustment","Standard","42005280418166961","false"
"a51WD00000i45ouYAA","false","Coverage","a55WD00001R5BMjYAN","","false","None","Decimal","false","true","false","true","false","false","","","","41.0","false","","Coverage","Standard","42009109441138057","false"
"a51WD00000i45nZYAQ","false","Unexplained Difference","a55WD00001R5BN9YAN","","false","None","Financial","false","false","false","true","true","false","","","","80.0","false","","Balance Check","Standard","42013467159291865","false"
"a51WD00000i45pLYAQ","false","Total Operating Expense","a55WD00001R5BMpYAN","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","Operating Expense","Standard","42014494498503595","false"
"a51WD00000i45nxYAA","false","Total Pro Forma DS","a55WD00001R5BMyYAN","","false","Debt Service","Financial","false","false","false","true","false","false","","","","30.0","false","","Pro Forma Debt Service","Standard","42017108418753674","false"
"a51WD00000i3wedYAA","false","Net Farm Income","a55WD00001ejwbZYAQ","","false","None","Financial","false","false","false","true","false","false","","","","70.0","false","","Farm Income","Standard","42020288825167884","false"
"a51WD00000i45kjYAA","false","Net Cash Provided by Financing","a55WD00001ejwc5YAA","","false","None","Financial","true","false","false","true","false","false","","","","71.0","false","","Cash Provided by Financing","Standard","42020311423315643","false"
"a51WD00000i45psYAA","false","Change in Net Intangibles","a55WD00001R5BNMYA3","","false","None","Financial","false","false","false","true","false","false","","","","141.0","false","","Change in Net Intangibles","Standard","42020686727650154","false"
"a51WD00000i45smYAA","false","Estimated Value","a55WD00001R5BNyYAN","","false","None","Financial","false","false","false","true","false","false","","","","8000.0","false","","Estimated Value","Standard","42020776820091236","false"
"a51WD00000i45nCYAQ","false","Net Profit/(Loss)","a55WD00001R5BN7YAN","","false","None","Financial","true","false","false","true","false","false","","","","70.0","false","","Net Profit/(Loss)","Standard","42020912471766237","false"
"a51WD00000i45o8YAA","false","Net Cash Income","a55WD00001R5BNjYAN","","false","None","Financial","true","false","false","true","false","false","","","","100.0","false","","Net Cash Income","Standard","42021911595128920","false"
"a51WD00000i45m6YAA","false","Total Taxes Paid","a55WD00001ejwcCYAQ","","false","None","Financial","false","false","false","true","false","false","","","","85.0","false","","Taxes Paid","Standard","42022446136432261","false"
"a51WD00000i45l7YAA","false","Total Other Non-Current Assets","a55WD00001ejwc7YAA","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Other Non-Current Assets","Standard","42024311777662746","false"
"a51WD00000i45hhYAA","false","Income/(Loss) from REMICS","a55WD00001ejwbvYAA","","false","None","Financial","false","false","false","false","false","false","","","","50.0","false","","Income/(Loss) from Real Estate Mortgage Investment Conduits","Standard","42026303096664249","false"
"a51WD00000i45kgYAA","false","Change in Net Intangibles","a55WD00001ejwc5YAA","","false","None","Financial","false","false","false","true","false","false","","","","31.0","false","","Change in Net Intangibles","Standard","42026397997138926","false"
"a51WD00000i45gxYAA","false","Deductions","a55WD00001ejwbpYAA","","false","None","Financial","false","false","false","true","false","false","","","","30.0","false","","Deductions","Standard","42027631129189426","false"
"a51WD00000i45hCYAQ","false","Rental Real Estate Income","a55WD00001ejwbrYAA","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","Rental Real Estate Income","Standard","42028102407887780","false"
"a51WD00000i3wehYAA","false","Accrual Debt Service","a55WD00001ejwbZYAQ","","false","None","Financial","false","false","false","true","false","false","","","","97.5","false","","Accrual Debt Service","Standard","42031230089226123","false"
"a51WD00000i45g5YAA","false","Total Liabilities","a55WD00001ejwbjYAA","","false","Total Liabilities","Financial","true","false","false","true","false","false","","","","60.0","false","","Total Liabilities (SubT)","Standard","42031530976963424","false"
"a51WD00000i45fwYAA","false","Gross Cash Flow (subT)","a55WD00001ejwbhYAA","","false","Cash Flow","Financial","false","false","false","true","false","false","","","","70.0","false","","Gross Cash Flow (Subtotal)","Standard","42031917807374217","false"
"a51WD00000i45muYAA","false","Total Assets","a55WD00001R5BNmYAN","","false","Total Assets","Financial","true","false","false","true","false","false","","","","30.0","false","","Total Assets","Standard","42033736906888553","false"
"a51WD00000i45mxYAA","false","Total Other Assets","a55WD00001R5BNmYAN","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Other Assets","Standard","42035581648098537","false"
"a51WD00000i45lUYAQ","false","Cash Flow","a55WD00001ejwc8YAA","","false","None","Financial","false","true","false","true","false","false","","","","70.0","false","","Cash Flow","Standard","42036165618102399","false"
"a51WD00000i45qiYAA","false","Gross Fixed Assets","a55WD00001R5BMsYAN","","false","None","Financial","false","false","false","true","false","false","","","","13.75","false","","Gross Fixed Assets","Standard","42037235039626120","false"
"a51WD00000i45oiYAA","false","Extraordinary and Non-Cash Items","a55WD00001R5BMPYA3","","false","None","Financial","false","false","false","true","false","false","","","","161.0","false","","Extraordinary and Non-Cash Items","Standard","42038260923002367","false"
"a51WD00000i45p3YAA","false","Unexplained Difference","a55WD00001R5BNsYAN","","false","None","Financial","false","false","false","true","false","false","","","","51.0","false","","Unexplained Difference","Standard","42039520825157807","false"
"a51WD00000i45m9YAA","false","Total Cash Collected from Sales","a55WD00001ejwcDYAQ","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","Cash Collected from Sales","Standard","42039838499007529","false"
"a51WD00000i45iDYAQ","false","Cash Flow Coverage","a55WD00001ejwc1YAA","","false","None","Financial","false","true","false","true","false","false","","","","41.0","false","","Cash Flow Coverage","Standard","42041699086251785","false"
"a51WD00000i45kmYAA","false","Net/Sales/Revenue","a55WD00001ejwc6YAA","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","Sales","Standard","42041846286779299","false"
"a51WD00000i45stYAA","false","Effective Gross Income","a55WD00001R5BNYYA3","","false","None","Financial","false","false","false","true","false","false","","","","3000.0","false","","Effective Gross Income","Standard","42042373976708451","false"
"a51WD00000i45ogYAA","false","Change in Net Intangibles","a55WD00001R5BMPYA3","","false","None","Financial","false","false","false","true","false","false","","","","141.0","false","","Change in Net Intangibles","Standard","42042805586749591","false"
"a51WD00000i45h2YAA","false","Shareholder Pro Rata Share Items","a55WD00001ejwbpYAA","","false","None","Financial","false","false","false","true","false","false","","","","70.0","false","","Shareholder Pro Rata Share Items","Standard","42043758080970147","false"
"a51WD00000i45nPYAQ","false","Net Farm Income/(Loss)","a55WD00001R5BNtYAN","","false","None","Financial","true","false","false","true","false","false","","","","30.0","false","","Net Farm Income/(Loss)","Standard","42043783317622273","false"
"a51WD00000i45q8YAA","false","Activity","a55WD00001R5BMtYAN","","false","None","Decimal","false","true","false","true","false","false","","","","61.0","false","","Activity","Standard","42043971898039451","false"
"a51WD00000i45poYAA","false","CASH AFTER DEBT AMORT","a55WD00001R5BNMYA3","","false","None","Financial","true","false","false","true","false","false","","","","111.0","false","","Cash After Debt Amort","Standard","42044466318799150","false"
"a51WD00000i45pQYAQ","false","Profit Before Extraordinary Items","a55WD00001R5BMpYAN","","false","None","Financial","true","false","false","true","false","false","","","","100.0","false","","Profit Before Extraordinary Items","Standard","42044775931922490","false"
"a51WD00000i45mnYAA","false","Book Income Taxes","a55WD00001ejwcGYAQ","","false","None","Financial","false","false","false","true","false","false","","","","70.0","false","","Book Income Taxes","Standard","42045339232913156","false"
"a51WD00000i45oxYAA","false","Growth (%)","a55WD00001R5BMjYAN","","false","None","Percentage","false","true","false","true","false","false","","","","71.0","false","","Growth (%)","Standard","42045770598728661","false"
"a51WD00000i45hrYAA","false","Cash Flow Coverage","a55WD00001ejwbyYAA","","false","None","Financial","false","true","false","true","false","false","","","","40.0","false","","Cash Flow Coverage","Standard","42045998388581972","false"
"a51WD00000i45oVYAQ","false","Taxes Paid","a55WD00001R5BMPYA3","","false","None","Financial","false","false","false","true","false","false","","","","61.0","false","","Taxes Paid","Standard","42046252363911252","false"
"a51WD00000i45pZYAQ","false","Total Shareholders Equity","a55WD00001R5BNZYA3","","false","Total Equity","Financial","false","false","false","true","false","false","","","","70.0","false","","EQUITY","Standard","42046740833139189","false"
"a51WD00000i45lOYAQ","false","Total Vacancy","a55WD00001ejwc8YAA","","false","None","Percentage","false","true","false","true","false","false","","","","15.0","false","","Vacancy Amount","Standard","42046740887284265","false"
"a51WD00000i45gCYAQ","false","Leverage","a55WD00001ejwbkYAA","","false","None","Financial","false","true","false","true","false","false","","","","50.0","false","","Leverage","Standard","42048261040793549","false"
"a51WD00000i45iGYAQ","false","Net Cash from Funding","a55WD00001ejwbzYAA","","false","None","Financial","false","false","false","true","false","false","","","","210.0","false","","Cash from Funding","Standard","42049042469228401","false"
"a51WD00000i45iBYAQ","false","Historical Debt Service","a55WD00001ejwc1YAA","","false","None","Financial","false","false","false","true","false","false","","","","21.0","false","","Historical Debt Service","Standard","42050526769431370","false"
"a51WD00000i45hsYAA","false","Total Cash Collected from Sales","a55WD00001ejwbzYAA","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","Cash Collected from Sales","Standard","42053977794890033","false"
"a51WD00000i45o9YAA","false","Cash Effect Debt Amortization","a55WD00001R5BNjYAN","","false","None","Financial","false","false","false","true","false","false","","","","110.0","false","","Debt Amortization","Standard","42054360948296131","false"
"a51WD00000i45koYAA","false","Gross Profit","a55WD00001ejwc6YAA","","false","None","Financial","true","false","false","true","false","false","","","","30.0","false","","Gross Profit","Standard","42055668142317345","false"
"a51WD00000i45pXYAQ","false","Total Non-Current Liabilities","a55WD00001R5BNZYA3","","false","None","Financial","false","false","false","true","false","false","","","","50.0","false","","NON-CURRENT LIABILITIES","Standard","42056250032197753","false"
"a51WD00000i45lEYAQ","false","Total Other Current Liabilities","a55WD00001ejwc7YAA","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","Other Current Liabilities","Standard","42060337680222585","false"
"a51WD00000i45pDYAQ","false","Net Change in Borrowing","a55WD00001R5BNeYAN","","false","None","Financial","false","false","false","true","false","false","","","","51.0","false","","Change in Borrowing","Standard","42060390475032798","false"
"a51WD00000i45i7YAA","false","Total Extraordinary & Non-Cash Items","a55WD00001ejwbzYAA","","false","None","Financial","false","false","false","true","false","false","","","","170.0","false","","Extraordinary & Non-Cash Items","Standard","42060446102752023","false"
"a51WD00000i45nQYAQ","false","Total Farm Expenses","a55WD00001R5BNtYAN","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Farm Expenses","Standard","42060554277573406","false"
"a51WD00000i45nhYAA","false","Coverage","a55WD00001R5BNoYAN","","false","None","Financial","false","true","false","true","false","false","","","","80.0","false","","Coverage","Standard","42060616215433002","false"
"a51WD00000i45qCYAQ","false","Total Adjustments to Net Worth","a55WD00001R5BNgYAN","","false","None","Financial","false","false","false","true","false","false","","","","31.0","false","","Adjustments to Net Worth","Standard","42063510840686859","false"
"a51WD00000i45i9YAA","false","Total Changes in Equity Accounts","a55WD00001ejwc0YAA","","false","None","Financial","false","false","false","true","false","false","","","","30.0","false","","Changes in Equity Accounts","Standard","42063657807280141","false"
"a51WD00000i45nGYAQ","false","Total Cost of Goods Sold","a55WD00001R5BN7YAN","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Cost of Goods Sold","Standard","42065286762229107","false"
"a51WD00000i45tUYAQ","false","Depreciation & Amortization","a55WD00001R5BNbYAN","","false","None","Financial","false","false","false","true","false","false","","","","8000.0","false","","Depreciation & Amortization","Standard","42066129644917193","false"
"a51WD00000i3wf0YAA","false","Leverage","a55WD00001ejwbbYAA","","false","None","Financial","false","true","false","true","false","false","","","","50.0","false","","Leverage","Standard","42068181686069055","false"
"a51WD00000i45lIYAQ","false","Total Shareholders Equity","a55WD00001ejwc7YAA","","false","Total Equity","Financial","false","false","false","true","false","false","","","","70.0","false","","Equity","Standard","42068863604086693","false"
"a51WD00000i45qyYAA","false","Net Worth Calcs","a55WD00001R5BMsYAN","","false","Adjusted Total Equity","Financial","false","true","false","true","false","false","","","","85.0","false","","Net Worth Calcs","Standard","42069066714241818","false"
"a51WD00000i45h0YAA","false","International Transactions","a55WD00001ejwbpYAA","","false","None","Financial","false","false","false","true","false","false","","","","45.0","false","","International Transactions","Standard","42071124520964601","false"
"a51WD00000i45hZYAQ","false","Gross Income","a55WD00001ejwbuYAA","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","Gross Income","Standard","42072593586691800","false"
"a51WD00000i45m7YAA","false","Tax Detail","a55WD00001ejwcCYAQ","","false","None","Financial","false","true","false","true","false","false","","","","87.5","false","","Tax Detail","Standard","42073953782139117","false"
"a51WD00000i45m4YAA","false","Profit Before Taxes","a55WD00001ejwcCYAQ","","false","None","Financial","false","false","false","false","false","false","","","","70.0","false","","Profit Before Taxes","Standard","42074272585317340","false"
"a51WD00000i45lYYAQ","false","Loan Assumption 2","a55WD00001ejwc8YAA","","false","None","Financial","false","true","false","false","false","false","","","","75.0","false","","Loan Assumption 2","Standard","42075065152313139","false"
"a51WD00000i45t3YAA","false","PGI","a55WD00001R5BNnYAN","","false","None","Financial","false","false","false","true","false","false","","LLC_BI.Spreads.PGI_Record_Total.Init","LLC_BI.Spreads.PGI_Record_Total.Update","1000.0","false","","Potential Gross Income","Standard","42077384695665885","false"
"a51WD00000i45iSYAQ","false","CASH AFTER OPERATIONS","a55WD00001ejwc2YAA","","false","None","Financial","true","false","false","true","false","false","","","","41.0","false","","Cash After Operations","Standard","42077843241754744","false"
"a51WD00000i45g1YAA","false","Total Non-Current Assets","a55WD00001ejwbjYAA","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Non-Current Assets","Standard","42077899166301677","false"
"a51WD00000i3weXYAQ","false","Capital Expenditure","a55WD00001ejwbYYAQ","","false","None","Financial","false","false","false","true","false","false","","","","100.0","false","","Capex","Standard","42081219849447709","false"
"a51WD00000i45gbYAA","false","Cash After Operations","a55WD00001ejwbnYAA","","false","None","Financial","false","false","false","true","false","false","","","","50.0","false","","Cash After Operations","Standard","42082745410298384","false"
"a51WD00000i45nOYAQ","false","Recurring Farm Income","a55WD00001R5BNtYAN","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","Recurring Farm Income","Standard","42084769216597312","false"
"a51WD00000i3wfbYAA","false","Term Debt Service","a55WD00001ejwbfYAA","","false","Debt Service","Financial","false","false","false","true","false","false","","","","120.0","false","","Term Debt Service","Standard","42085215176220322","false"
"a51WD00000i45hJYAQ","false","Total Stated Net Worth (subT)","a55WD00001ejwbsYAA","","false","Total Equity","Financial","true","false","false","true","false","false","","","","50.0","false","","Stated Net Worth (Subtotal)","Standard","42085658571059736","false"
"a51WD00000i45sxYAA","false","Net Operating Income","a55WD00001R5BNYYA3","","false","None","Financial","false","false","false","true","false","false","","","","5000.0","false","","Net Operating Income","Standard","42085722714464392","false"
"a51WD00000i3weWYAQ","false","End Cash on Hand/LoC Balance","a55WD00001ejwbYYAQ","","false","None","Financial","false","false","false","true","false","false","","","","90.0","false","","End Cash on Hand/LoC Balance","Standard","42085944210466073","false"
"a51WD00000i45laYAA","false","Loan Metrics","a55WD00001ejwc8YAA","","false","None","Financial","false","true","false","true","false","false","","","","90.0","false","","Loan Metrics","Standard","42085954747524712","false"
"a51WD00000i45gKYAQ","false","Total Other Income/(Expense)","a55WD00001ejwblYAA","","false","None","Financial","false","false","false","true","false","false","","","","35.0","false","","Other Income/(Expense)","Standard","42086020812855683","false"
"a51WD00000i45n1YAA","false","Total Debt Service","a55WD00001R5BN6YAN","","false","Debt Service","Financial","false","false","false","true","false","false","","","","100.0","false","","Debt Service","Standard","42088039285440683","false"
"a51WD00000i45otYAA","false","Leverage","a55WD00001R5BMjYAN","","false","None","Financial","false","true","false","true","false","false","","","","31.0","false","","Leverage","Standard","42091917211387973","false"
"a51WD00000i45pTYAQ","false","Total Current Assets","a55WD00001R5BNZYA3","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","CURRENT ASSETS","Standard","42093744676073960","false"
"a51WD00000i45foYAA","false","Total Adjustments to Net Worth","a55WD00001ejwbgYAA","","false","Total Equity","Financial","false","false","false","true","false","false","","","","60.0","false","","Adjustments to Net Worth","Standard","42094055306922268","false"
"a51WD00000i45hgYAA","false","Income/(Loss) from Estates and Trusts","a55WD00001ejwbvYAA","","false","None","Financial","false","false","false","false","false","false","","","","40.0","false","","Income/(Loss) from Estates and Trusts","Standard","42094983927426437","false"
"a51WD00000i45qlYAA","false","Total Gross Intangibles","a55WD00001R5BMsYAN","","false","None","Financial","false","false","false","true","false","false","","","","22.5","false","","Gross Intangibles","Standard","42095794339195828","false"
"a51WD00000i3wfSYAQ","false","Net Worth Recon - Cost Basis","a55WD00001ejwbdYAA","","false","None","Financial","false","true","false","false","false","false","","","","10.0","false","","Net Worth Recon - Cost Basis","Standard","42097554940414416","false"
"a51WD00000i45owYAA","false","Activity","a55WD00001R5BMjYAN","","false","None","Decimal","false","true","false","true","false","false","","","","61.0","false","","Activity","Standard","42098688723697985","false"
"a51WD00000i45pWYAQ","false","Total Current Liabilities","a55WD00001R5BNZYA3","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","CURRENT LIABILITIES","Standard","42102983620417055","false"
"a51WD00000i45qrYAA","false","Total Other Current Liabilities","a55WD00001R5BMsYAN","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","Other Current Liabilities","Standard","42103143533524795","false"
"a51WD00000i45qjYAA","false","Net Fixed Assets","a55WD00001R5BMsYAN","","false","None","Financial","false","false","false","true","false","false","","","","15.0","false","","Net Fixed Assets","Standard","42103167371334758","false"
"a51WD00000i45pOYAQ","false","Profit Before Taxes","a55WD00001R5BMpYAN","","false","None","Financial","true","false","false","true","false","false","","","","80.0","false","","Profit Before Taxes","Standard","42103379587475932","false"
"a51WD00000i45p1YAA","false","Total Adjustments to Net Worth","a55WD00001R5BNsYAN","","false","None","Financial","false","false","false","true","false","false","","","","31.0","false","","Adjustments to Net Worth","Standard","42104496465864188","false"
"a51WD00000i45gNYAQ","false","Total Operating Expenses","a55WD00001ejwblYAA","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","Operating Expenses","Standard","42108598172194680","false"
"a51WD00000i45gDYAQ","false","Coverage","a55WD00001ejwbkYAA","","false","None","Financial","false","true","false","true","false","false","","","","80.0","false","","Coverage","Standard","42109158279076198","false"
