"Id","OwnerId","IsDeleted","Name","LLC_BI__Allow_Record_Filtering__c","LLC_BI__Balance_Total__c","LLC_BI__Borrower_Type__c","LLC_BI__Bundle__c","LLC_BI__Calc_Common_Sizing_Record__c","LLC_BI__Calc_Common_Sizing_Total_Group__c","LLC_BI__Description__c","LLC_BI__Display_Common_Sizing__c","LLC_BI__Display_Projection_Drivers__c","LLC_BI__Display_Trend__c","LLC_BI__End_Date__c","LLC_BI__Entity_Type__c","LLC_BI__Group_Columns__c","LLC_BI__Interaction__c","LLC_BI__Is_Cash_Flow_Statement__c","LLC_BI__Is_Multi_Currency__c","LLC_BI__Is_Template__c","LLC_BI__Sort_Order__c","LLC_BI__Source_Statement__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__Start_Date__c","LLC_BI__Static_Periods__c","LLC_BI__Total_Hide_Currency_Symbol__c","LLC_BI__Total_Row_Name__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","LLC_BI__End_Date_Quarter__c","LLC_BI__Is_Balance_Sheet__c","LLC_BI__Is_Budget__c","LLC_BI__Is_Global_Analysis__c","LLC_BI__Is_Income_Statement__c","LLC_BI__Is_Personal_Financial_Statement__c","LLC_BI__Is_Ratios__c","LLC_BI__Is_Traditional_Cash_Flow__c","LLC_BI__Is_UCA_Cash_Flow__c","LLC_BI__Start_Date_Quarter__c","LLC_BI__Supports_Common_Sizing__c","LLC_BI__Supports_Trend__c"
"a55WD00001R5BM9YAN","005al00000RVcKvAAL","false","000000385","true","false","","a5VWD000000GcZK2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","190.0","","","","false","false","","Schedule F","42002710459254279","4.0","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","false","false"
"a55WD00001ejwbxYAA","005al00000RVvFOAA1","false","000000625","true","false","","a5VWD000000HvTM2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","600.0","","","","false","false","","Ratios","42018667942209761","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WD00001ejwbeYAA","005al00000RVvFOAA1","false","000000606","true","false","","a5VWD000000HvTJ2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","700.0","","","","false","false","","Ratios","42019498493479344","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WD00001R5BMAYA3","005al00000RVcKvAAL","false","000000386","true","false","","a5VWD000000GcZP2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","200.0","","","","false","false","","Rent Roll","42025676028691938","4.0","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","false","false"
"a55WD00001R5BMBYA3","005al00000RVvFOAA1","false","000000387","true","false","","a5VWD000000GcZL2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","600.0","","","","false","false","","Ratios","42031914997206446","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WD00001R5BMCYA3","005al00000RVcKvAAL","false","000000388","true","false","","a5VWD000000GcZF2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","100.0","a55WD00001R5BMiYAN","","","false","false","","Balance Sheet","42046678884076826","4.0","1.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","true","true"
"a55WD00001ejwcHYAQ","005al00000RVvFOAA1","false","000000645","true","false","","a5VWD000000HvTQ2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","600.0","","","","false","false","","8825","42050878360955889","4.0","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","false","false"
"a55WD00001R5BMDYA3","005al00000RVcKvAAL","false","000000389","true","false","","a5VWD000000GcZX2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","100.0","","","","false","false","","Balance Sheet","42052791596502601","4.0","1.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","true","true"
"a55WD00001R5BMEYA3","005al00000RVcKvAAL","false","000000390","true","false","","a5VWD000000GcZB2A0","","","","true","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","100.0","","","","false","false","","NOI Statement","42059548650820581","4.0","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","false","false"
"a55WD00001R5BMFYA3","005al00000RVcKvAAL","false","000000391","true","false","","a5VWD000000GcZI2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","100.0","","","","false","false","","Balance Sheet","42069298244379020","4.0","1.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","true","true"
"a55WD00001ejwbkYAA","005al00000RVvFOAA1","false","000000612","true","false","","a5VWD000000HvTL2A0","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","900.0","","","","false","false","","Ratios","42069696641989829","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WD00001ejwbaYAA","005al00000RVvFOAA1","false","000000602","true","false","","a5VWD000000HvTN2A0","","a51WD00000i3weqYAA","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","100.0","","","","false","false","","Balance Sheet","42076416401899685","4.0","1.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","true","true"
