"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWD000000HvTL2A0","005al00000RVvFOAA1","false","1120 S Corp Template","Use this Template for Tax Return Spreading only. 1120 S-Corp with 8825 Schedule and Debt Schedule 2023","","false","false","false","true","","","$","false","","","","00000103_1748_4885"
"a5VWD000000GcZB2A0","005al00000RVcKvAAL","false","Commercial Real Estate Analysis (FLEX) w Schedules (No Rent Roll in Sch. in NOI)","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage)","","false","false","false","true","","LLC_BI__Collateral__c","$","false","","","","00000112_8380_4274"
"a5VWD000000GcZC2A0","005al00000RVcKvAAL","false","Commercial Real Estate Analysis (FLEX) w Schedules/Rent Roll to Calc PGI/WALE","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage). Nov.  2022 Updates by Adam Mann","","false","false","false","true","","LLC_BI__Collateral__c","$","false","","","","00000115_B857_4507"
"a5VWD000000HvTO2A0","005al00000RVvFOAA1","false","Complex Commercial","Commercial Template with Complex Balance Sheet Layout (FLEX) w. Debt Schedule. PSO Master 2023","","false","false","false","true","","","$","true","","","","00000128_A8AC_4419"
"a5VWD000000HvTK2A0","005al00000RVvFOAA1","false","Individual with Cash Flow Schedules","Individual Template with abbreviated Cash Flow Schedules. Final.","","false","false","false","true","","","$","false","","","","00000131_86CD_4675"
"a5VWD000000GcZD2A0","005al00000RVcKvAAL","false","Hotel Analysis Template (FLEX) w Schedules/Star Report Group","Use this template for Hotel Property Analysis.","","false","false","false","true","","LLC_BI__Collateral__c","$","false","","","","00000135_484F_4128"
"a5VWD000000HvTQ2A0","005al00000RVvFOAA1","false","1065 Partnership Spreads Template","Use this Template for Tax Return Spreading only. 1065 Partnership with 8825 Schedule and Debt Schedule 2023","","false","false","false","true","","","$","false","","","","00000142_4AAC_4737"
"a5VWD000000HvTM2A0","005al00000RVvFOAA1","false","Individual with Full Schedules","Individual FLEX Template Full Schedules","","false","false","false","true","","","$","false","","","","0000014F_5587_4584"
"a5VWD000000HvTP2A0","005al00000RVvFOAA1","false","Commercial Real Estate Analysis (FLEX)","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage). Final for PSO Master May 2023","","false","false","false","true","","LLC_BI__Collateral__c","$","true","","","","00000150_0CC9_4520"
"a5VWD000000HvTJ2A0","005al00000RVvFOAA1","false","Agriculture Owner/Operator Template","Agriculture Template with Schedules","","false","false","false","true","","","$","true","","","","00000151_9138_4416"
