"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Body__c","nFORCE__Header__c","nFORCE__Icon_Path__c","nFORCE__lookupKey__c"
"a11WD000006LpKDYA0","005al00000RVcKvAAL","false","sridhar-agfirst-ticket","","","<p><br></p><ul><li><a href=""https://www.agfirst.com/ccpa.aspx"" target=""_blank"" style=""font-size: 14px;"">California Consumer Privacy Act</a></li><li><a href=""https://www.agfirst.com/code-of-ethics.aspx"" target=""_blank"" style=""font-size: 14px;"">Code of Ethics &amp; Charter</a></li><li><a href=""https://www.agfirst.com/privacy-policy.aspx"" target=""_blank"" style=""font-size: 14px;"">Privacy Policy</a></li><li><a href=""https://www.agfirst.com/disclosures.aspx"" target=""_blank"" style=""font-size: 14px;"">Terms &amp; Conditions</a></li></ul>","","","42080644754773373"
"a11WD000006LpKEYA0","005al00000RVcKvAAL","false","RollBackTest-0719-001","","","","","","42130818514251094"
"a11WD000006LpKFYA0","005al00000RVcKvAAL","false","Test-Tile-001","","","This is RIXH Text Area Field.","","Test for NULL Value","42307282055305349"
"a11WD000006LpKGYA0","005al00000RVcKvAAL","false","RollBackTest-0722-002","","","","","","42471668042593066"
"a11WD000006LpKHYA0","005al00000RVcKvAAL","false","Tile-73371-Test","","","<ul><li><a target=""_blank"">Equal Housing Lender</a></li><li><a href=""https://www.agfirst.com/disclosures.aspx#Equal%20Credit%20Opportunity%20Act"" target=""_blank"">Equal Credit Opportunity</a></li><li><a href=""https://www.agfirst.com/disclosures.aspx#Equal%20Opportunity%20Employer"" target=""_blank"">Equal Opportunity Employer</a></li><li><a href=""https://www.agfirst.com/ccpa.aspx"" target=""_blank"">California Consumer Privacy Act</a></li><li><a href=""https://www.agfirst.com/code-of-ethics.aspx"" target=""_blank"">Code of Ethics &amp; Charter</a></li><li>href=&quot;https://www.agfirst.com/privacy-policy.aspx&quot; target=&quot;_blank&quot; style=&quot;font-size: 14px;&quot;&gt;Privacy Policy</li><li><strong>Terms &amp; Conditions</strong></li><li><a target=""_blank"">Vinay test</a></li></ul>","","","42555514070635446"
"a11WD000006LpKLYA0","005al00000RVcKvAAL","false","Income Disclaimer","","","<p style=""text-align: center;""><span style=""color: rgb(68, 68, 68);"">Note: You are not legally required to provide income details from Alimony or Child Support if you do not want it considered in determining your creditworthiness.</span></p>","","utility-sprite/svg/symbols.svg#info","42629667351181365"
"a11WD000006LpKIYA0","005al00000RVcKvAAL","false","RollBackTest-0724-001","","","","","","42726067001483098"
"a11WD000006LpKMYA0","005al00000RVcKvAAL","false","USA Patriot Act","","","To help the government fight the funding of terrorism and money laundering activities, Federal law requires all financial institutions to obtain, verify, and record information that identifies each person who opens an account.<br><br>What this means for you: When you open an account, we will ask for your name, address, date of birth, and other information that will allow us to identify you. We may also ask to see your driver’s license or other identifying documents.<br> ","USA Patriot Act","","42942675889941202"
"a11WD000006LpKJYA0","005al00000RVcKvAAL","false","FAQs-Personal","","","<div style=""text-align: center;""><a href=""http://www.ncino.com"" target=""_blank"">C</a><a href=""http://www.ncino.com"" target=""_blank"">an I apply for this loan if I am not the business owner?</a></div>

<div style=""text-align: center;""><a href=""http://www.ncino.com"" target=""_blank"">Why do you need to review my credit history?</a></div>

<div style=""text-align: center;""><a href=""http://www.ncino.com"" target=""_blank"">How do I save and come back later?</a></div>","FAQs","action-sprite/svg/symbols.svg#question_post_action","a5q3g000000XZRHAA4"
"a11WD000006LpKKYA0","005al00000RVcKvAAL","false","Need Help","","","<div style=""text-align: center;"">Your Personal Banker is here to help.  Contact us now!<br><br></div>","Need Help?","action-sprite/svg/symbols.svg#add_contact","a5q3g000000XZRIAA4"
