"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9jIzYAJ","false","SC-000022857","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiXYAT","1.01","Pledge_Collateral_Override","","","false","","","","","false","123471263486124956","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJ0YAJ","false","SC-000022858","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiZYAT","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","128346834124926912","LLC_BI__Collateral__c"
"a0vWD00000B9kcXYAR","false","SC-000024123","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTACfYAP","1.01","","","","false","","","","","false","2435764","test-object"
"a0vWD00000B9jJ1YAJ","false","SC-000022859","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmivYAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","345665435346723627545","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJ2YAJ","false","SC-000022860","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiEYAT","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","34566786551456374667","LLC_BI__Collateral__c"
"a0vWD00000B9jJ3YAJ","false","SC-000022861","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmicYAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","34597864358734287569","LLC_BI__Collateral__c"
"a0vWD00000B9jJ4YAJ","false","SC-000022862","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmioYAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","366562457038518356","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJ5YAJ","false","SC-000022863","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmi7YAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42001121331500796","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJ6YAJ","false","SC-000022864","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiQYAT","1.01","UCC_Collateral_Valuation","","0.0","false","","","Collateral Valuation","","false","42001690159558524","LLC_BI__Collateral__c"
"a0vWD00000B9jJ7YAJ","false","SC-000022865","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiCYAT","1.01","Collateral_Valuation_Titled_Ship","","0.0","false","","","Collateral Valuation","","false","42012762933282167","LLC_BI__Collateral__c"
"a0vWD00000B9jJ8YAJ","false","SC-000022866","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiMYAT","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016530666628131","LLC_BI__Collateral__c"
"a0vWD00000B9jJ9YAJ","false","SC-000022867","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmj2YAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016811662619443","LLC_BI__Collateral__c"
"a0vWD00000B9jJAYAZ","false","SC-000022868","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiBYAT","1.01","Collateral_Valuation_Titled_Aircraft","","0.0","false","","","Collateral Valuation","","false","42017258841327368","LLC_BI__Collateral__c"
"a0vWD00000B9kSqYAJ","false","SC-000023622","2026-04-07T19:28:42.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSLXhYAP","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42021803137064143","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJBYAZ","false","SC-000022869","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiOYAT","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42035299851856958","LLC_BI__Collateral__c"
"a0vWD00000B9jJCYAZ","false","SC-000022870","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiWYAT","1.01","Collateral_Valuation_Possessory_Securiti","","","false","","","","","false","42056536356227109","LLC_BI__Collateral__c"
"a0vWD00000B9jJDYAZ","false","SC-000022871","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiLYAT","1.01","Collateral_Valuation_Possessory_Other","","","false","","","","","false","42062414693837949","LLC_BI__Collateral__c"
"a0vWD00000B9kSsYAJ","false","SC-000023624","2026-04-07T19:28:42.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GT9VZYA1","1.01","SBL_Pledge_Collateral_Override","","","false","","","","","false","42080298160439060","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kf8YAB","false","SC-000024284","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAdDYAX","1.01","LLC_BI__Bulk_Pledge_Details","","","false","","","","","false","42102009094136500","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJEYAZ","false","SC-000022872","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2hYAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42105504139904275","LLC_BI__Collateral__c"
"a0vWD00000B9jIvYAJ","false","SC-000022853","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2TYAT","1.01","LLC_BI__Collateral_Modal_Details","","","false","","","Details","","false","42107958853547987","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kSwYAJ","false","SC-000023628","2026-04-07T19:28:42.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GT9ZWYA1","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42143434852308312","LLC_BI__Collateral__c"
"a0vWD00000B9jJFYAZ","false","SC-000022873","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiFYAT","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42147866350266157","LLC_BI__Collateral__c"
"a0vWD00000B9jJGYAZ","false","SC-000022874","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiGYAT","1.01","Pledge_Collateral_Override","","","false","","","","","false","42159007666787935","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jIwYAJ","false","SC-000022854","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2WYAT","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42166220978297466","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJHYAZ","false","SC-000022875","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmj7YAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42183608085695102","LLC_BI__Collateral__c"
"a0vWD00000B9jJIYAZ","false","SC-000022876","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmi4YAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42194095530043933","LLC_BI__Collateral__c"
"a0vWD00000B9kgjYAB","false","SC-000024383","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAZ7YAP","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42201324532349364","LLC_BI__Collateral__c"
