"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Description__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a4eWD000000f5AFYAY","005al00000RVcKvAAL","false","Loan Assistant","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","42146639854510830"
"a4eWD000000f5AGYAY","005al00000Q6IbCAAV","false","Loan Processor","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","42353013574271057"
"a4eWD000000f5AHYAY","005al00000Q6IbCAAV","false","Document Specialist","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","42904076123240639"
"a4eWE000001HxkgYAC","005al00000RVcKvAAL","false","Borrower","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","Primary borrower responsible for the loan obligation","","ROLE_BRW01"
"a4eWE000001HxkiYAC","005al00000RVcKvAAL","false","Co-Borrower","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","Secondary borrower sharing responsibility for the loan","","ROLE_CBR03"
"a4eWE000001HxkjYAC","005al00000RVcKvAAL","false","Collateral Owner","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","Owner of collateral pledged against the credit facility","","ROLE_COW04"
"a4eWE000001HxkhYAC","005al00000RVcKvAAL","false","Guarantor","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","Individual or entity guaranteeing repayment of the loan","","ROLE_GRT02"
"a4eWE000001HxkfYAC","005al00000RVcKvAAL","false","Trustee","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","Fiduciary party managing assets on behalf of the trust","","ROLE_TRS05"
"a4eWD000000f5AEYAY","005al00000Q6IbCAAV","false","Credit Analyst / Underwriter","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nal00000H3k69AAB"
"a4eWD000000f5AIYAY","005al00000Q6IbCAAV","false","Closer","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nal00000H3k6AAAR"
